,syn rates,syn SE,recomb ns rates,recomb ns SE,recomb ms rates,recomb ms SE
0,,,,,,
1,,,,,,
2,-5.245944280169306,0.19422239514471054,,,-2.5900880521824465,0.06622887152708345
3,-5.118211800460201,0.19422239632406924,,,-2.559414673825938,0.050830323854526745
4,-5.075820225459995,0.07929095900701165,-3.838649731094317,0.30709256989255246,-2.570487733523598,0.0162758730651711
5,-4.957972940359864,0.05471596156380245,-3.8781769804225097,0.25073780131486034,-2.5429106379906874,0.012115260242647202
6,-4.837263251368032,0.03823749632710599,-4.060641189552579,0.21714724059699514,-2.517181156574231,0.008242796545142593
7,-4.7524545408781895,0.02961863734901691,-4.042654253167792,0.13733597367421968,-2.6873032051405046,0.006508156139947455
8,-4.6477520683160884,0.016391388695760498,-3.8099841506604255,0.08685889637036696,-2.528925547542591,0.00435954111770756
9,-4.538866074629196,0.011401201001806268,-3.6629458376174204,0.04825494243126658,-2.5500265824433157,0.002935427046548779
10,-4.438450312036318,0.0066798726670021,-3.701891178762928,0.027577727177540593,-2.6331593098984536,0.0017880681618113036
11,-4.339764168877124,0.005009793386176893,-3.7489548825455223,0.022921186085412867,-2.6157384284373326,0.0013790184285098945
12,-4.240479689596835,0.004087126742304291,-3.690370067583449,0.018569063975014958,-2.556003984484169,0.0011045137070274955
13,-4.13657641701949,0.00336915559076098,-3.68534341605423,0.014766448088701424,-2.5097473988761756,0.0008272290766514242
14,-4.0350899496268875,0.00269524661721521,-3.635785417900508,0.011331134317241294,-2.4770428357735272,0.0006406052909847329
15,-3.93221700120841,0.002341831237864314,-3.566670900359206,0.009463572707617397,-2.4765292540298813,0.0005694623534062562
16,-3.831511603255008,0.0021369458256496063,-3.5381389137315935,0.009418954076050408,-2.4809403008051114,0.0005849642336197052
17,-3.7330596215216447,0.002276384137686156,-3.5335684121947146,0.010747098230018914,-2.5067491146227714,0.0006892243576735123
18,-3.6348280266197825,0.003375255095231015,-3.5763031521800226,0.01822259113631213,-2.5526017212357504,0.0011707028894208204
19,-3.5242764785624856,0.004882487851523554,-3.5382716299988606,0.0318440161124271,-2.5424879866646335,0.0021030038520277504
20,-3.4239658245034987,0.006791657167767611,-3.4570061834298187,0.054286808031293675,-2.543950833955549,0.003956478491328029
21,-3.3321722486435315,0.010932785089387251,-3.6635494288149983,0.10533173099677368,-2.568445379582064,0.006333488682950985
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
