,syn rates,syn SE,ns rates,ns SE,ms rates,ms SE
Faecalibacterium_cf_62236,-1.601568519152086,0.0015636373988343311,-3.7014756384943666,0.051182059054568935,-2.5169992477422087,0.0023863410851890673
Bacteroides_finegoldii_57739,-1.5682557321473871,0.0011134914087778738,-3.9846955934307613,0.037800481748664023,-2.4989391517616357,0.0015643269709395356
Bacteroides_xylanisolvens_57185,-1.5542836997888703,0.002419101877579599,-3.834221420868904,0.06866798689409599,-2.6075500223474406,0.003884758728248438
Eubacterium_eligens_61678,-1.3978457257884673,0.0012161915109516624,-3.6686847948948755,0.0338097792182582,-2.463074072561671,0.0019245983683239451
Bacteroides_thetaiotaomicron_56941,-1.5455508909292026,0.0009283484910053641,-3.7444702471337776,0.02503231778243818,-2.5764261700924407,0.0014718718233402974
Bacteroides_caccae_53434,-2.007822675784436,0.0014544760954906014,-3.8680280889765997,0.025907836713981315,-2.8359724747511916,0.0018150040639593535
Ruminococcus_bromii_62047,-1.4967555639357315,0.0013146984784214132,-3.759985581638275,0.038386571358053165,-2.443551125961075,0.001815860577684645
Parabacteroides_distasonis_56985,-1.6044403298184375,0.0010426554782161947,-3.8020134048679837,0.027037993437049872,-2.616633815203885,0.0015982378369893482
Alistipes_finegoldii_56071,-1.6937992616599857,0.0012139705970672862,-3.5626981982641013,0.028270162677809702,-2.5246003613752968,0.0016758760752555247
Faecalibacterium_prausnitzii_62201,-1.422683995797469,0.001216129530145709,-3.7181785174290822,0.049816991858113925,-2.304054044143048,0.001774953321491088
Faecalibacterium_prausnitzii_61481,-1.4115336561760576,0.0010893574357153876,-3.5711779893905615,0.038537403544334804,-2.39130342792365,0.0017840354823512082
Bacteroides_fragilis_54507,-1.8959724957971584,0.0012593484307648877,-3.841816229678844,0.0252856023078832,-2.750218894246424,0.0016404363322888452
Barnesiella_intestinihominis_62208,-1.4998199974432675,0.0009266964339896275,-3.660366805540078,0.02311516290902195,-2.407527623922065,0.0012680467122525535
Alistipes_shahii_62199,-1.8932007105841886,0.0016929532490307729,-3.4435544648509566,0.027975362928821416,-2.5920338968305225,0.0020341271447132945
Akkermansia_muciniphila_55290,-1.5373164023930643,0.0011018728390362865,-3.3884612840458046,0.025328568524214334,-2.350825203030755,0.0014916900395521193
Bacteroides_massiliensis_44749,-2.000761760981262,0.0017143039991776108,-3.979244398781169,0.03433399343931391,-2.876668203340047,0.0022409845591850118
