sample,div_to_ref_4D,covered_4D,clade
700013603,0.005457474319892512,276868,vulgatus
700013672,0.005831832359530818,273156,vulgatus
700013693,0.0593075671494492,224946,dorei
700013715,0.05722204496426003,209989,dorei
700014486,0.0056105764571166014,278581,vulgatus
700014562,0.005916083916083916,286000,vulgatus
700015113,0.006013086433483475,269745,vulgatus
700015415,0.0056924572127598095,266493,vulgatus
700015857,0.006511129399605734,261245,vulgatus
700015922,0.05650784640905065,204361,dorei
700016142,0.057876164196188136,210553,dorei
700016210,0.004906284454244763,272100,vulgatus
700016456,0.05725413542608746,205662,dorei
700016542,0.005891228855469962,277022,vulgatus
700016765,0.004840820690545099,271235,vulgatus
700021295,0.06460381128693378,272244,dorei
700021361,0.006495692715309341,273258,vulgatus
700021876,0.00550983765990873,267340,vulgatus
700021902,0.0047292346632918135,270234,vulgatus
700023188,0.005111778296148308,268791,vulgatus
700023267,0.057521006362620815,205890,dorei
700023390,0.004749406324209474,272034,vulgatus
700023509,0.007180743982494529,285625,vulgatus
700023603,0.0050540232099716914,269884,vulgatus
700023720,0.00599652272646631,281830,vulgatus
700023845,0.004873846711853648,264678,vulgatus
700023872,0.004812365784153197,270553,vulgatus
700024233,0.0051412745646857785,271528,vulgatus
700024349,0.005729460407336996,267739,vulgatus
700024509,0.007159477985393683,285356,vulgatus
700024545,0.05804769302156677,198268,dorei
700024615,0.004807337826080545,271252,vulgatus
700024711,0.005231220678537142,276035,vulgatus
700024752,0.005157957860735138,271813,vulgatus
700024789,0.007660340570273752,281058,vulgatus
700032068,0.06492202225440467,274822,dorei
700032133,0.0057300493767379074,272598,vulgatus
700032222,0.005282206425509011,269395,vulgatus
700032944,0.0062917308680020545,264792,vulgatus
700033502,0.007198931794506474,279347,vulgatus
700033797,0.005053686041629177,266736,vulgatus
700033922,0.004675757598106097,271186,vulgatus
700033989,0.004938555611623972,269512,vulgatus
700034254,0.005426646014853041,270517,vulgatus
700034794,0.006601756238827582,267959,vulgatus
700035157,0.00648245350929814,266720,vulgatus
700035533,0.05691295809274741,204189,dorei
700035785,0.00677727212167535,285218,vulgatus
700035861,0.008100985667214063,281941,vulgatus
700037008,0.05865069605459546,213058,dorei
700037042,0.05758116099300612,209183,dorei
700037090,0.005817998734305564,286009,vulgatus
700037284,0.004801898232796327,266353,vulgatus
700037453,0.05805029515819775,198707,dorei
700037649,0.004927064077456669,273185,vulgatus
700037738,0.004694005074193135,265658,vulgatus
700037757,0.05970045020927515,214789,dorei
700037852,0.004743739477316507,263716,vulgatus
700037967,0.007292632229431758,284808,vulgatus
700038053,0.006707948415272367,248213,vulgatus
700038386,0.007460130308897711,277341,vulgatus
700038472,0.005017698657266795,270642,vulgatus
700038493,0.05916805669427874,212226,dorei
700038546,0.005581564171321057,269996,vulgatus
700038594,0.057528966829667814,207565,dorei
700038702,0.005876739533324245,271409,vulgatus
700038761,0.004938069006157668,268121,vulgatus
700095213,0.005313903801906431,273810,vulgatus
700095647,0.004971925443548086,267502,vulgatus
700095717,0.005400250647628164,273691,vulgatus
700095831,0.005391744503103788,275792,vulgatus
700096047,0.005573595696214802,268229,vulgatus
