species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_vulgatus_57955,700013715,700037042,1304,1459411,202782,948351,469,351,61775,288448,458,282,141007,659903,11,69,102589,1873790,3330,44631,819453,1260,2,67,0,2,280,0
Bacteroides_vulgatus_57955,700013715,ERR911986,1284,1410926,196014,916729,461,351,54485,253345,434,257,141529,663384,27,94,103463,1883380,3309,39009,719892,1134,1,93,0,1,256,0
Bacteroides_vulgatus_57955,700013715,ERR912181,1435,1491050,207315,968955,514,375,67450,313894,498,296,139865,655061,16,79,101877,1860111,3195,48543,891807,1332,0,79,0,1,295,0
Bacteroides_vulgatus_57955,700014486,700161429,1606,1991038,277876,1294001,594,399,65040,302783,585,368,212836,991218,9,31,152636,2815972,5046,46489,860345,1515,2,29,0,0,368,0
Bacteroides_vulgatus_57955,700014486,ERR912153,1147,1994059,278301,1295917,395,298,41418,191383,358,220,236883,1104534,37,78,170587,3137378,5637,28855,544355,939,3,75,0,0,219,1
Bacteroides_vulgatus_57955,700014562,700024711,1891,1974246,275513,1283008,698,428,87478,405431,677,363,188035,877577,21,65,135573,2492667,4491,62155,1152128,2010,1,64,0,2,361,0
Bacteroides_vulgatus_57955,700015415,700111296,403,1911911,266274,1242169,166,97,11721,53429,154,63,254553,1188740,12,34,183957,3376152,6111,8100,151941,246,1,33,0,0,63,0
Bacteroides_vulgatus_57955,700015415,SRR341723,495,1909297,265773,1240465,202,122,15880,73069,186,84,249893,1167396,16,38,180734,3315469,5985,11139,207729,339,1,37,0,0,84,0
Bacteroides_vulgatus_57955,700016142,ERR912152,1409,1501113,209041,975810,541,332,13633,61978,489,264,195408,913832,52,68,141200,2596120,4176,9404,176275,255,0,68,0,0,264,0
Bacteroides_vulgatus_57955,700016765,700021902,764,1916320,267184,1245305,257,194,29519,137922,250,157,237665,1107383,7,37,171196,3145409,5544,20929,392141,696,0,37,0,0,157,0
Bacteroides_vulgatus_57955,700016765,700023390,303,1921090,267930,1248388,97,92,12071,56294,90,77,255859,1192094,7,15,183950,3386344,5988,8566,160067,249,0,15,0,1,75,1
Bacteroides_vulgatus_57955,700016765,700033922,631,1920228,267649,1247847,234,149,34747,163013,230,125,232902,1084834,4,24,167558,3081457,5487,24993,463281,765,0,24,0,0,124,1
Bacteroides_vulgatus_57955,700016765,700161743,1824,1913772,266664,1243675,637,455,91708,427681,624,396,174956,815994,13,59,126544,2317457,3981,65392,1215434,2217,1,58,0,0,396,0
Bacteroides_vulgatus_57955,700021361,700034794,1772,1908313,265798,1240029,666,429,66448,308351,636,346,199350,931678,30,83,143995,2646302,4737,47272,876110,1671,2,81,0,1,345,0
Bacteroides_vulgatus_57955,700021361,700111745,1854,1919665,267624,1247453,681,468,81404,379772,666,382,186220,867681,15,86,134069,2464534,4440,58209,1079133,1974,1,85,0,2,380,0
Bacteroides_vulgatus_57955,700021361,700161872,1772,1937038,270194,1258781,646,444,73343,340814,631,370,196851,917967,15,74,141761,2607505,4635,52184,968404,1854,1,73,0,2,368,0
Bacteroides_vulgatus_57955,700021361,700163811,1778,1928278,269029,1253054,644,448,67589,314149,624,370,201440,938905,20,78,144865,2667107,4743,48085,892640,1722,0,78,0,3,367,0
Bacteroides_vulgatus_57955,700021361,700172498,660,1933568,269570,1256514,236,176,19412,90384,225,110,250158,1166130,11,66,179621,3312727,6042,13983,256719,450,0,66,0,0,110,0
Bacteroides_vulgatus_57955,700021361,ERR912110,2111,1952245,272282,1268721,788,507,80399,372863,762,426,191883,895858,26,81,138867,2544084,4623,56632,1060055,1902,0,81,0,1,425,0
Bacteroides_vulgatus_57955,700021902,700023390,1019,1922980,268110,1249558,339,267,38481,179871,329,222,229629,1069687,10,45,165301,3038255,5505,27370,511346,897,0,45,0,1,220,1
Bacteroides_vulgatus_57955,700021902,700033922,1279,1924428,268204,1250508,447,320,57647,269979,433,266,210557,980529,14,54,151627,2784893,5067,41263,767324,1350,0,54,0,0,265,1
Bacteroides_vulgatus_57955,700021902,700113705,755,1930659,269168,1254616,254,198,25226,118114,239,151,243942,1136502,15,47,175458,3228234,5814,17996,335728,618,0,47,0,0,151,0
Bacteroides_vulgatus_57955,700021902,SRR341721,844,1927369,268466,1252433,290,210,29986,140168,281,173,238480,1112265,9,37,171976,3159098,5721,21364,398405,735,0,37,0,0,173,0
Bacteroides_vulgatus_57955,700021902,SRR413643,847,1935222,269801,1257582,289,215,30840,143812,280,176,238961,1113770,9,39,172125,3163476,5709,21864,408822,750,0,39,0,1,175,0
Bacteroides_vulgatus_57955,700023188,700033989,910,1899181,264717,1234135,330,259,43920,201370,317,199,220797,1032765,13,60,159764,2933443,5088,30522,572556,1032,3,57,0,2,197,0
Bacteroides_vulgatus_57955,700023188,700111439,1773,1909785,266037,1241030,662,464,90416,417409,640,388,175621,823621,22,76,127806,2338779,4278,63530,1186561,2136,0,75,1,5,383,0
Bacteroides_vulgatus_57955,700023188,700164354,1485,1910286,266255,1241338,537,407,78207,359798,509,338,188048,881540,28,69,136731,2503323,4566,54552,1023051,1791,6,63,0,2,336,0
Bacteroides_vulgatus_57955,700023267,700161219,1186,1433903,199110,931868,385,370,33941,156789,351,292,165169,775079,34,78,120416,2201257,3564,23832,445710,825,1,77,0,1,291,0
Bacteroides_vulgatus_57955,700023267,ERR912035,293,1468298,203622,954223,104,85,1235,5888,101,67,202387,948335,3,18,147159,2693334,4512,961,16679,24,1,17,0,0,67,0
Bacteroides_vulgatus_57955,700023267,ERR912100,1170,1473953,204344,957895,387,341,62334,290248,365,268,142010,667647,22,73,104191,1895540,3210,44539,824789,1416,1,72,0,0,268,0
Bacteroides_vulgatus_57955,700023267,ERR912201,290,1419907,196759,922672,106,83,1235,5895,101,67,195524,916777,5,16,142432,2603405,4494,961,16700,24,1,15,0,0,67,0
Bacteroides_vulgatus_57955,700023267,SRR341638,1050,1424117,196778,925648,356,293,53320,249508,342,226,143458,676140,14,67,105593,1919674,3153,38343,708984,1197,1,66,0,0,226,0
Bacteroides_vulgatus_57955,700023267,SRR341714,66,1458123,201795,947574,17,22,430,1946,13,4,201365,945628,4,18,147049,2685329,4506,276,5559,3,1,16,1,0,4,0
Bacteroides_vulgatus_57955,700023267,SRR413585,177,1456382,201746,946525,50,59,1161,5006,50,43,200585,941519,0,16,146282,2673910,4365,694,14276,48,1,14,1,0,43,0
Bacteroides_vulgatus_57955,700023267,SRR413603,1120,1457317,202043,947165,371,326,54183,252697,353,250,147860,694468,18,76,108337,1971902,3165,38746,718154,1191,1,74,1,0,250,0
Bacteroides_vulgatus_57955,700023267,SRR413610,1118,1441147,200052,936736,373,310,53802,250622,357,246,146250,686114,16,64,106844,1948408,3090,38348,712357,1161,1,62,1,0,246,0
Bacteroides_vulgatus_57955,700023390,700033922,769,1930759,269122,1254625,276,201,41826,196067,273,182,227296,1058558,3,19,163521,3006696,5457,29964,557277,960,0,19,0,1,181,0
Bacteroides_vulgatus_57955,700023390,700113705,298,1936871,270162,1258609,97,90,12509,58444,89,75,257653,1200165,8,15,185044,3409286,6165,8881,166181,270,0,15,0,1,73,1
Bacteroides_vulgatus_57955,700023390,700161743,2004,1921081,267680,1248298,691,508,94949,443527,672,437,172731,804771,19,71,124315,2285915,4083,68187,1260135,2259,1,70,0,1,435,1
Bacteroides_vulgatus_57955,700023390,SRR341721,392,1938521,270160,1259702,134,102,12897,60167,127,89,257263,1199535,7,13,185107,3407336,6162,9162,171069,270,0,13,0,1,87,1
Bacteroides_vulgatus_57955,700023390,SRR413643,394,1946393,271524,1264845,138,107,12928,60279,129,91,258596,1204566,9,16,185747,3421786,6165,9166,171401,270,1,15,0,1,89,1
Bacteroides_vulgatus_57955,700023603,700038761,731,1902090,265010,1235937,266,222,32959,149902,251,136,232051,1086035,15,86,167990,3084676,5439,22832,426061,813,3,83,0,0,135,1
Bacteroides_vulgatus_57955,700023720,700023845,1467,1892776,263230,1229872,507,403,82922,384476,497,329,180308,845396,10,74,131496,2400333,4359,58707,1092687,2034,1,72,1,2,326,1
Bacteroides_vulgatus_57955,700023720,700037284,873,1903937,265519,1237084,324,206,39563,181104,308,170,225956,1055980,16,36,163590,2998920,5430,27204,515166,942,0,36,0,1,169,0
Bacteroides_vulgatus_57955,700023720,SRR413688,458,2013562,281465,1308585,158,127,25026,116911,152,100,256439,1191674,6,27,183578,3385408,6036,17731,332378,624,0,27,0,1,99,0
Bacteroides_vulgatus_57955,700023845,700037284,1789,1868736,259984,1214162,626,473,78734,363953,588,365,181250,850209,38,108,132553,2413619,4455,55142,1034854,1863,0,106,2,2,363,0
Bacteroides_vulgatus_57955,700023845,SRR413688,1736,1895961,263737,1231955,614,458,82624,382913,601,384,181113,849042,13,74,132199,2410574,4353,58271,1088428,2040,1,72,1,1,382,1
Bacteroides_vulgatus_57955,700023872,SRR413661,1491,1935937,270042,1257976,537,340,66023,306318,524,279,204019,951658,13,61,147616,2702450,4908,46371,870996,1587,0,61,0,2,277,0
Bacteroides_vulgatus_57955,700024233,700033989,895,1919216,267596,1247147,329,251,44093,202195,318,199,223503,1044952,11,52,161677,2968061,5118,30635,574912,1038,1,51,0,2,197,0
Bacteroides_vulgatus_57955,700024233,700111439,1775,1925359,268184,1251133,671,460,91145,420994,651,389,177039,830139,20,71,128839,2357294,4284,64119,1196709,2154,0,70,1,3,386,0
Bacteroides_vulgatus_57955,700024233,700123827,1850,1934154,269463,1256839,699,479,93775,432283,677,418,175688,824556,22,61,128206,2341241,4221,65638,1228973,2238,0,61,0,3,415,0
Bacteroides_vulgatus_57955,700024233,700164354,1468,1924813,268257,1250808,539,398,78875,362935,512,333,189382,887873,27,65,137831,2521210,4578,54993,1032006,1806,4,61,0,2,331,0
Bacteroides_vulgatus_57955,700024349,SRR341691,2266,1913135,266549,1243031,856,556,82234,382489,829,459,184315,860542,27,97,133324,2443922,4380,58452,1087071,1944,1,96,0,3,455,1
Bacteroides_vulgatus_57955,700024349,SRR413658,1572,1915888,267003,1244865,579,395,50061,232570,546,285,216942,1012295,33,110,156739,2875007,5139,35310,661212,1188,1,109,0,2,283,0
Bacteroides_vulgatus_57955,700024545,700037008,384,1404721,194688,912703,140,117,20834,96434,127,97,173854,816269,13,20,126823,2318042,3942,14824,273974,504,1,19,0,0,97,0
Bacteroides_vulgatus_57955,700024545,700116296,132,1399452,194095,909266,50,32,592,2920,7,1,193503,906346,43,31,140488,2574185,4365,520,8219,21,0,30,1,0,1,0
Bacteroides_vulgatus_57955,700024545,ERR911961,570,1417364,196451,920906,206,120,5962,27239,191,84,190489,893667,15,36,138872,2537887,4242,3964,77630,123,0,36,0,0,84,0
Bacteroides_vulgatus_57955,700024711,ERR912159,1071,1978200,276017,1285602,378,281,41092,187142,348,194,234925,1098460,30,87,169948,3119831,5601,28189,532187,1050,0,87,0,3,191,0
Bacteroides_vulgatus_57955,700024752,700032222,1302,1913400,266121,1243099,480,323,56642,261936,459,237,209479,981163,21,86,152674,2785712,5103,39513,744924,1371,0,86,0,0,237,0
Bacteroides_vulgatus_57955,700032068,700101581,1276,1476382,205418,959391,489,326,47209,219948,412,213,158209,739443,77,113,114615,2100330,3384,33936,624906,1002,1,112,0,0,213,0
Bacteroides_vulgatus_57955,700032222,700095213,1657,1911826,266171,1242127,611,411,96832,453338,598,341,169339,788789,13,70,121657,2240621,4089,70151,1287526,2337,0,70,0,0,341,0
Bacteroides_vulgatus_57955,700032944,ERR911959,2249,1880111,262667,1221726,794,623,93856,437785,768,495,168811,783941,26,128,120422,2227522,3879,67692,1243626,2037,1,125,2,3,491,1
Bacteroides_vulgatus_57955,700033502,700035861,1820,1989870,278207,1293283,657,468,46166,209337,642,396,232041,1083946,15,72,167715,3078855,5268,31187,595783,1041,3,69,0,1,395,0
Bacteroides_vulgatus_57955,700033502,700097688,1515,1890132,263585,1228178,555,360,31526,142731,540,298,232059,1085447,15,62,167876,3082894,5571,21273,406227,693,2,60,0,1,297,0
Bacteroides_vulgatus_57955,700033502,700161342,920,1915530,267113,1244692,297,253,35459,161102,282,186,231654,1083590,15,67,167620,3077618,5532,23929,458585,792,2,65,0,2,184,0
Bacteroides_vulgatus_57955,700033502,ERR912145,1307,1992342,278181,1294859,456,317,40823,186120,438,249,237358,1108739,18,68,171211,3149402,5604,27982,529457,921,2,66,0,1,248,0
Bacteroides_vulgatus_57955,700033797,700106198,1578,1880820,261690,1222150,580,371,65998,306383,558,301,195692,915767,22,70,142476,2600214,4611,46416,871254,1479,1,69,0,1,300,0
Bacteroides_vulgatus_57955,700033797,700113810,1930,1897351,264304,1232988,707,465,85585,396484,687,382,178719,836504,20,83,130089,2375274,4149,60081,1127439,1932,0,82,1,0,382,0
Bacteroides_vulgatus_57955,700033797,700116148,1616,1886349,262733,1225823,597,388,74179,343484,576,308,188554,882339,21,80,137266,2505338,4413,51780,976977,1695,0,80,0,0,308,0
Bacteroides_vulgatus_57955,700033922,700113705,634,1934638,269612,1257202,237,154,35475,166520,229,126,234137,1090682,8,28,168383,3098029,5634,25527,473220,813,0,28,0,0,125,1
Bacteroides_vulgatus_57955,700033922,SRR341721,701,1934707,269411,1257225,266,159,35150,164713,263,133,234261,1092512,3,26,168914,3102955,5667,25177,468167,795,0,26,0,0,132,1
Bacteroides_vulgatus_57955,700033922,SRR413643,702,1942451,270717,1262287,269,163,34771,162966,263,135,235946,1099321,6,28,169830,3122454,5679,24894,463218,786,0,28,0,1,133,1
Bacteroides_vulgatus_57955,700033989,700105312,1212,1913083,266805,1243092,445,295,61693,284611,417,229,205112,958481,28,66,148506,2722092,4845,43253,809311,1269,0,66,0,1,228,0
Bacteroides_vulgatus_57955,700033989,700111439,1059,1914216,266898,1243893,388,266,48851,225380,359,186,218047,1018513,29,80,157715,2892721,5103,34134,640959,1047,0,79,1,0,186,0
Bacteroides_vulgatus_57955,700033989,700116865,1552,1908418,266262,1240111,558,393,82735,382919,530,322,183527,857192,28,71,133195,2434178,4203,58092,1088736,1929,0,71,0,0,322,0
