species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Faecalibacterium_prausnitzii_61481,SRR413629,pluto4-11-30-0_,20209,1196752,210500,772893,8813,3370,72118,2241848,4713,7,3358,5
Faecalibacterium_prausnitzii_61481,700016765,700165778,15857,1096086,191474,706805,6909,2505,67016,2048998,4401,9,2493,3
Faecalibacterium_prausnitzii_61481,700117625,ERR912041,17062,1163666,203475,750380,7430,2750,71293,2175008,4839,7,2741,2
Faecalibacterium_prausnitzii_61481,700173023,700038870,18625,1217934,214359,786480,8152,3085,73325,2281195,4920,8,3072,5
Faecalibacterium_prausnitzii_61481,700023509,SRR413667,19147,1143893,200063,738698,8376,3127,69478,2142068,4548,6,3114,7
Faecalibacterium_prausnitzii_61481,pluto4-11-30-0_,700111296,18112,1206788,212295,779237,8021,2978,72747,2260101,4863,8,2967,3
Faecalibacterium_prausnitzii_61481,SRR413629,700117625,19410,1141985,199638,736479,8343,3242,69910,2134940,4587,6,3232,4
Faecalibacterium_prausnitzii_61481,700117625,700173086,17215,1160262,202900,748196,7446,2790,71037,2168730,4821,7,2777,6
Faecalibacterium_prausnitzii_61481,700021361,700105580,14998,1086627,188087,700959,6517,2371,67075,2031434,4368,6,2359,6
Faecalibacterium_prausnitzii_61481,SRR413629,ERR912051,21021,1206564,212563,779358,9159,3575,72588,2260791,4695,5,3564,6
Faecalibacterium_prausnitzii_61481,ERR912097,ERR912170,17923,1221538,215171,788824,7960,2836,73651,2287916,4905,5,2830,1
Faecalibacterium_prausnitzii_61481,SRR413653,700173086,20489,1195801,210760,772435,8975,3475,71771,2241028,4506,6,3462,7
Faecalibacterium_prausnitzii_61481,700100312,ERR912163,16200,1124113,196679,725107,7016,2621,68407,2102465,4449,6,2609,6
Faecalibacterium_prausnitzii_61481,700173176,700023919,18832,1215780,213723,785181,8260,3043,73297,2277359,4887,5,3033,5
Faecalibacterium_prausnitzii_61481,700015181,700023720,16758,1147038,200298,740152,7393,2669,69784,2146139,4533,3,2662,4
Faecalibacterium_prausnitzii_61481,700015250,SRR413633,19339,1153496,202757,744730,8473,3218,69667,2160080,4443,6,3212,0
Faecalibacterium_prausnitzii_61481,700013672,ERR912041,19011,1213963,213473,783994,8376,3145,73164,2274093,4725,5,3133,7
Faecalibacterium_prausnitzii_61481,SRR413663,ERR912041,19699,1154970,201891,746208,8626,3271,70036,2164073,4515,5,3260,6
Faecalibacterium_prausnitzii_61481,700023603,700161742,16503,1166962,204336,752572,7281,2691,71390,2181475,4851,8,2680,3
Faecalibacterium_prausnitzii_61481,700161742,700023919,16909,1172346,205346,755916,7412,2713,71640,2191245,4863,9,2702,2
