species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_cellulosilyticus_58046,700013588,700023113,380,2539444,366191,1656776,146,85,6538,28884,139,54,359653,1627892,7,31,235430,4640578,7668,3998,82576,78,0,31,0,0,54,0
Bacteroides_cellulosilyticus_58046,700014562,700024752,2648,2468347,355966,1610331,1029,487,38103,171491,1012,400,317863,1438840,17,87,208011,4101849,6660,24579,489228,666,2,85,0,1,399,0
Bacteroides_cellulosilyticus_58046,700014562,700098867,3383,2473131,356891,1613490,1298,662,54005,241773,1269,564,302886,1371717,29,98,198653,3910228,6270,34076,690211,1032,3,95,0,2,562,0
Bacteroides_cellulosilyticus_58046,700014562,700163419,1325,2451193,353596,1599150,532,229,9723,44078,518,174,343873,1555072,14,55,224228,4433857,7131,6462,125640,132,2,52,1,1,173,0
Bacteroides_cellulosilyticus_58046,700014562,700164192,1002,2416863,349621,1576936,374,203,8028,36647,366,150,341593,1540289,8,53,221628,4392258,6981,5469,104352,120,1,52,0,0,150,0
Bacteroides_cellulosilyticus_58046,700015181,700024866,192,2556798,369060,1668143,51,92,265,1291,19,16,368795,1666852,32,76,240473,4752364,7719,214,3653,6,1,75,0,0,16,0
Bacteroides_cellulosilyticus_58046,700015181,700173086,169,2559490,369387,1669915,40,78,364,1796,22,16,369023,1668119,18,62,240703,4755950,7704,291,5091,6,1,61,0,0,16,0
Bacteroides_cellulosilyticus_58046,700015181,ERR912176,3049,2532928,365497,1652487,1108,628,70722,315478,1064,485,294775,1337009,44,143,194062,3810845,6120,44457,900432,1545,2,141,0,2,483,0
Bacteroides_cellulosilyticus_58046,700015181,mickey4-11-7-0_,3133,2556532,368890,1667981,1138,648,69857,311760,1083,497,299033,1356221,55,151,197015,3865456,6192,43732,890039,1509,2,149,0,3,494,0
Bacteroides_cellulosilyticus_58046,700016456,700023845,1021,2486928,357766,1622282,378,244,12024,54840,350,161,345742,1567442,28,83,227249,4467586,7491,7902,156369,249,0,83,0,0,161,0
Bacteroides_cellulosilyticus_58046,700016456,700024086,1389,2475909,356497,1615238,526,288,22070,100899,510,195,334427,1514339,16,93,219170,4316599,7248,14675,287572,450,0,93,0,0,195,0
Bacteroides_cellulosilyticus_58046,700016456,700032222,5806,2385037,342931,1555733,2341,969,56474,259263,2314,880,286457,1296470,27,89,187260,3696015,6135,38074,738575,1140,1,88,0,3,876,1
Bacteroides_cellulosilyticus_58046,700016456,700033726,8389,2365977,340833,1543302,3384,1375,78124,357216,3360,1265,262709,1186086,24,110,170855,3381814,5589,51809,1018228,1611,1,109,0,5,1259,1
Bacteroides_cellulosilyticus_58046,700016456,700100540,8067,2369419,340930,1545558,3275,1262,77010,353834,3243,1177,263920,1191724,32,85,171615,3397860,5697,51643,1008308,1551,1,84,0,3,1172,2
Bacteroides_cellulosilyticus_58046,700016456,700106646,8295,2312813,332851,1508400,3351,1344,76535,350875,3325,1251,256316,1157525,26,93,166569,3300465,5541,51390,999669,1566,1,92,0,4,1246,1
Bacteroides_cellulosilyticus_58046,700016456,ERR911968,7660,2401484,345648,1566482,3107,1235,74599,342747,3084,1149,271049,1223735,23,86,176236,3489104,5865,50098,976640,1503,2,84,0,3,1144,2
Bacteroides_cellulosilyticus_58046,700016456,ERR912169,6720,2419215,348109,1578142,2700,1059,57629,262831,2680,980,290480,1315311,20,79,190257,3749394,6282,38142,749253,1098,1,78,0,1,978,1
Bacteroides_cellulosilyticus_58046,700016960,700033797,5050,2476340,357047,1615681,1926,992,86182,386591,1908,868,270865,1229090,18,124,178594,3503165,5511,54853,1103243,1677,3,121,0,2,866,0
Bacteroides_cellulosilyticus_58046,700016960,700034794,4580,2478562,357405,1617035,1722,976,88650,398248,1686,843,268755,1218787,36,133,176322,3474378,5661,57216,1135674,1854,1,132,0,3,840,0
Bacteroides_cellulosilyticus_58046,700016960,700038594,119,2506355,361222,1635160,37,52,1061,5236,27,5,360161,1629924,10,47,235504,4646711,7557,865,14810,33,0,47,0,0,5,0
Bacteroides_cellulosilyticus_58046,700016960,ERR912040,4943,2436035,351198,1589048,1866,976,91450,407817,1849,875,259748,1181231,17,101,171636,3366537,5520,57887,1163680,1884,2,99,0,2,873,0
Bacteroides_cellulosilyticus_58046,700016960,ERR912058,3937,2441145,351760,1592518,1477,786,61165,276018,1448,671,290595,1316500,29,115,190749,3752538,6213,39592,787247,1215,0,115,0,0,671,0
Bacteroides_cellulosilyticus_58046,700016960,ERR912114,2134,2482710,357847,1619704,832,432,28842,129472,801,341,329005,1490232,31,91,215685,4248084,6927,18421,369410,585,2,89,0,1,340,0
Bacteroides_cellulosilyticus_58046,700016960,SRR2822459,5256,2487667,358435,1623102,2044,1091,93210,416381,2003,958,265225,1206721,41,133,175497,3439062,5604,59208,1188051,1884,3,130,0,2,956,0
Bacteroides_cellulosilyticus_58046,700023845,700024086,1879,2477239,356626,1615987,707,390,23687,107893,680,263,332939,1508094,27,127,218510,4298485,7287,15522,307707,450,0,127,0,0,263,0
Bacteroides_cellulosilyticus_58046,700023845,700032222,5964,2384144,342734,1554999,2385,1031,55447,254560,2353,911,287287,1300439,32,120,187939,3707183,6195,37399,725168,1113,1,119,0,3,907,1
Bacteroides_cellulosilyticus_58046,700023845,700033726,8564,2369836,341227,1545638,3456,1443,77858,355270,3429,1298,263369,1190368,27,145,171634,3393803,5667,51575,1012642,1593,1,143,1,5,1293,0
Bacteroides_cellulosilyticus_58046,700023845,700100540,8457,2373181,341327,1547820,3415,1385,78478,360413,3378,1263,262849,1187407,37,122,171138,3385341,5742,52654,1027013,1572,1,121,0,3,1258,2
Bacteroides_cellulosilyticus_58046,700023845,700106646,8696,2313997,332970,1508987,3482,1473,78515,359812,3448,1346,254455,1149175,34,127,165417,3276564,5544,52778,1025059,1599,1,126,0,4,1341,1
Bacteroides_cellulosilyticus_58046,700023845,ERR911968,8119,2404663,345967,1568377,3275,1360,78307,359348,3242,1250,267660,1209029,33,110,174250,3446972,5865,52568,1023919,1557,1,109,0,4,1244,2
Bacteroides_cellulosilyticus_58046,700023845,ERR912169,6911,2423526,348561,1580784,2754,1127,57848,263706,2720,1019,290713,1317078,34,108,190740,3754179,6315,38230,751784,1104,1,107,0,1,1017,1
Bacteroides_cellulosilyticus_58046,700023845,ERR912197,1073,2497492,359505,1629188,391,266,12551,57091,363,170,346954,1572097,28,96,227770,4481021,7500,8248,162761,264,0,96,0,0,170,0
Bacteroides_cellulosilyticus_58046,700024086,700032222,6355,2380057,342641,1552453,2537,1070,62716,287279,2504,941,279925,1265174,33,129,182602,3606863,6057,41964,818625,1248,1,128,0,3,937,1
Bacteroides_cellulosilyticus_58046,700024086,700033726,9042,2359691,340347,1539202,3638,1488,86615,395775,3612,1345,253732,1143427,26,143,164523,3260277,5481,57223,1128353,1749,1,141,1,5,1340,0
Bacteroides_cellulosilyticus_58046,700024086,700100540,8473,2362404,340381,1540962,3401,1383,85493,392096,3374,1262,254888,1148866,27,121,165267,3275781,5550,57008,1117546,1734,1,120,0,3,1257,2
Bacteroides_cellulosilyticus_58046,700024086,700106646,8723,2312584,333259,1508214,3487,1465,83976,383729,3464,1326,249283,1124485,23,139,161681,3206332,5442,55976,1093504,1707,1,138,0,4,1321,1
Bacteroides_cellulosilyticus_58046,700024086,ERR911968,8120,2394810,345156,1562117,3265,1343,84540,387738,3243,1240,260616,1174379,22,103,168942,3348489,5706,56420,1105096,1698,1,102,0,4,1234,2
Bacteroides_cellulosilyticus_58046,700024086,ERR912169,7437,2415226,347987,1575528,2953,1187,66698,304725,2929,1067,281289,1270803,24,120,183554,3622720,6135,44113,868787,1275,1,119,0,1,1065,1
Bacteroides_cellulosilyticus_58046,700024086,ERR912197,1477,2487804,358762,1623056,556,309,22180,101321,536,199,336582,1521735,20,110,219881,4338034,7290,14679,288837,447,0,110,0,0,198,1
Bacteroides_cellulosilyticus_58046,700024234,700108840,382,2553886,368404,1666144,125,131,5460,25166,91,44,362944,1640978,34,87,236803,4678430,7701,3750,71613,135,4,83,0,0,44,0
Bacteroides_cellulosilyticus_58046,700024234,700122860,521,2700986,389987,1762489,181,136,5581,25716,149,64,384406,1736773,32,72,250292,4952011,8016,3914,73123,111,2,70,0,0,64,0
Bacteroides_cellulosilyticus_58046,700024545,700116401,2029,2394684,345053,1562124,760,431,33561,151928,734,370,311492,1410196,26,61,203884,4020062,6642,21944,433192,648,1,60,0,1,369,0
Bacteroides_cellulosilyticus_58046,700024545,700123562,2754,2397783,345594,1564092,1009,553,38439,174364,978,491,307155,1389728,31,62,200847,3961902,6435,25187,497143,762,1,61,0,2,489,0
Bacteroides_cellulosilyticus_58046,700024545,ERR911962,2286,2396811,345268,1563461,853,478,38351,174147,827,418,306917,1389314,26,60,200955,3960489,6498,25127,496582,732,2,58,0,1,417,0
Bacteroides_cellulosilyticus_58046,700024545,ERR912089,2201,2391740,344503,1560193,809,472,37386,169150,784,397,307117,1391043,25,75,201225,3965349,6555,24398,482341,711,3,72,0,1,396,0
Bacteroides_cellulosilyticus_58046,700024545,ERR912106,2309,2405585,346502,1569210,854,495,39793,179735,829,428,306709,1389475,25,67,200987,3960925,6513,25924,512498,783,2,65,0,1,427,0
Bacteroides_cellulosilyticus_58046,700024545,pluto3-11-30-0_,1797,2407854,346777,1570699,667,390,29416,133374,644,336,317361,1437325,23,54,207721,4097534,6720,19441,380105,576,2,52,0,1,335,0
Bacteroides_cellulosilyticus_58046,700024752,700098867,2625,2494602,359808,1627433,1014,524,48848,219500,982,420,310960,1407933,32,104,203842,4013309,6648,31159,626450,891,3,101,0,1,418,1
Bacteroides_cellulosilyticus_58046,700024752,700163419,3840,2457989,354214,1603522,1530,657,45646,205268,1504,555,308568,1398254,26,102,202116,3985950,6696,29516,585508,780,2,100,0,1,553,1
Bacteroides_cellulosilyticus_58046,700024752,700164192,3500,2423474,350314,1581153,1367,625,43393,194930,1340,522,306921,1386223,27,103,199988,3952102,6579,28090,555944,756,1,102,0,1,521,0
Bacteroides_cellulosilyticus_58046,700024866,ERR912176,3127,2577354,371654,1681562,1144,656,71593,319619,1089,495,300061,1361943,55,161,197881,3881543,6405,45001,912266,1590,3,158,0,2,493,0
Bacteroides_cellulosilyticus_58046,700024866,mickey4-11-7-0_,3428,2704538,390391,1764713,1262,704,72390,322866,1194,520,318001,1441847,68,184,209291,4109518,6732,45360,921678,1560,3,181,0,3,517,0
Bacteroides_cellulosilyticus_58046,700032222,700033726,5679,2331393,335582,1520594,2314,890,59131,268928,2286,785,276451,1251666,28,105,180683,3568444,5871,38816,766750,1218,1,104,0,1,784,0
Bacteroides_cellulosilyticus_58046,700032222,700100540,4606,2345914,337363,1530085,1846,743,55016,252549,1825,681,282347,1277536,21,62,184426,3642098,6084,36631,719897,1119,0,62,0,1,679,1
Bacteroides_cellulosilyticus_58046,700032222,700106646,5370,2311723,332587,1507646,2142,923,57615,262638,2118,836,274972,1245008,24,87,179597,3549487,5940,38238,748515,1161,0,87,0,1,834,1
Bacteroides_cellulosilyticus_58046,700032222,ERR911968,4401,2367067,340440,1543869,1765,726,53075,243848,1740,656,287365,1300021,25,70,187497,3706374,6192,35637,694836,1071,0,70,0,1,654,1
Bacteroides_cellulosilyticus_58046,700032222,ERR912169,4707,2378216,342155,1551291,1855,763,43998,200655,1834,695,298157,1350636,21,68,194950,3850598,6360,29347,571748,870,0,68,0,2,692,1
Bacteroides_cellulosilyticus_58046,700032222,ERR912197,5891,2396095,344917,1562971,2364,998,58632,268483,2341,899,286285,1294488,23,99,186787,3690542,6135,39236,765019,1194,1,98,0,3,895,1
Bacteroides_cellulosilyticus_58046,700033726,700100540,6294,2499022,360718,1630367,2548,956,49333,222419,2532,865,311385,1407948,16,91,202818,4014477,6549,31765,634601,891,1,90,0,1,863,1
Bacteroides_cellulosilyticus_58046,700033726,700106646,6093,2312989,333474,1508499,2520,970,51401,231631,2505,870,282073,1276868,15,100,184484,3640057,6063,33015,660903,975,0,100,0,1,868,1
Bacteroides_cellulosilyticus_58046,700033726,ERR911968,5488,2536503,366298,1654868,2217,862,42324,191442,2191,757,323974,1463426,26,105,210635,4172836,6807,27538,546026,762,1,104,0,1,755,1
Bacteroides_cellulosilyticus_58046,700033726,ERR912169,6655,2381473,343383,1553483,2675,1022,61888,282408,2649,921,281495,1271075,26,101,182908,3624341,5976,40934,805090,1200,1,100,0,3,917,1
Bacteroides_cellulosilyticus_58046,700033726,ERR912197,9381,2520528,364189,1644461,3786,1544,83831,381994,3765,1417,280358,1262467,21,127,181218,3600270,5913,55291,1089071,1620,1,125,1,6,1410,1
Bacteroides_cellulosilyticus_58046,700033797,700038594,5593,2652529,382865,1730892,2152,1056,89989,403702,2120,934,292876,1327190,32,122,192589,3783128,5853,57112,1152242,1752,3,119,0,2,932,0
Bacteroides_cellulosilyticus_58046,700033797,ERR912040,1981,2476735,357224,1615658,741,422,36428,163101,732,370,320796,1452557,9,52,210141,4140930,6600,23150,465493,660,1,51,0,0,370,0
Bacteroides_cellulosilyticus_58046,700033797,ERR912114,4977,2503075,360969,1633161,1901,942,79969,359225,1875,860,281000,1273936,26,82,185030,3631114,5664,50787,1025265,1623,1,81,0,3,857,0
Bacteroides_cellulosilyticus_58046,700034565,1089274-24-0-0_,74,2694259,388906,1758110,16,36,88,367,7,2,388818,1757743,9,34,253609,5011541,8079,61,1040,0,2,32,0,0,2,0
Bacteroides_cellulosilyticus_58046,700034794,700038594,5363,2660473,384060,1736002,2054,1070,97986,440443,2022,927,286074,1295559,32,143,187151,3693586,5940,63168,1256136,2025,1,142,0,3,924,0
Bacteroides_cellulosilyticus_58046,700034794,ERR912114,5174,2505024,361294,1634355,1989,1057,94701,425242,1948,939,266593,1209113,41,118,174642,3447120,5577,61250,1212448,2028,3,115,0,4,935,0
Bacteroides_cellulosilyticus_58046,700035861,ERR911965,265,2689756,388612,1755181,112,47,4689,20776,102,22,383923,1734405,10,25,250217,4945234,7764,2892,59346,90,1,24,0,0,22,0
Bacteroides_cellulosilyticus_58046,700037632,ERR911986,931,2688128,387925,1753984,311,280,13969,64448,300,220,373956,1689536,11,60,243415,4817306,7887,9666,183345,333,2,58,0,3,217,0
Bacteroides_cellulosilyticus_58046,700037738,700113975,88,2517072,362472,1642192,21,50,126,586,7,4,362346,1641606,14,46,237458,4679593,7767,108,1650,0,0,46,0,0,4,0
Bacteroides_cellulosilyticus_58046,700037738,ERR911970,88,2529134,364142,1650049,18,57,47,223,2,2,364095,1649826,16,55,238702,4702985,7791,39,630,0,1,54,0,0,2,0
Bacteroides_cellulosilyticus_58046,700037738,ERR912150,186,2511042,361489,1638231,53,77,2364,10532,45,45,359125,1627699,8,32,235513,4639844,7740,1548,30015,33,0,32,0,0,45,0
Bacteroides_cellulosilyticus_58046,700037738,donald3-11-7-0_,97,2515028,362140,1640907,26,53,126,598,6,2,362014,1640309,20,51,237256,4675910,7761,111,1683,0,0,51,0,0,2,0
Bacteroides_cellulosilyticus_58046,700038158,700108840,349,2550786,367751,1664174,108,113,6374,29279,87,46,361377,1634895,21,67,236030,4661005,7650,4373,83308,156,3,64,0,0,46,0
Bacteroides_cellulosilyticus_58046,700038158,700122860,497,2698640,389414,1760982,167,121,5551,25598,147,63,383863,1735384,20,58,250241,4947913,7998,3901,72788,105,1,57,0,0,63,0
Bacteroides_cellulosilyticus_58046,700038594,ERR912040,5238,2492992,359451,1626253,2000,1010,96921,433294,1982,916,262530,1192959,18,94,173191,3400112,5574,61670,1236214,1998,2,92,0,2,914,0
Bacteroides_cellulosilyticus_58046,700038594,ERR912058,4203,2487456,358406,1622737,1594,826,65353,294957,1570,716,293053,1327780,24,110,192312,3784731,6297,42381,841221,1269,0,110,0,0,716,0
Bacteroides_cellulosilyticus_58046,700038594,ERR912114,2234,2535298,365428,1654108,883,442,30516,137429,853,354,334912,1516679,30,88,219408,4323579,7050,19603,392057,627,2,86,0,1,353,0
Bacteroides_cellulosilyticus_58046,700038594,SRR2822459,6076,2669519,385096,1742030,2379,1204,100584,450178,2338,1064,284512,1291852,41,140,187483,3682139,5934,63961,1284563,2010,3,137,0,2,1062,0
Bacteroides_cellulosilyticus_58046,700098867,700163419,4488,2469323,356185,1611016,1761,831,60511,271179,1718,722,295674,1339837,43,109,193879,3819359,6273,38377,774023,1137,2,107,0,3,718,1
Bacteroides_cellulosilyticus_58046,700098867,700164192,4153,2431738,351941,1586597,1607,801,58054,259856,1575,693,293887,1326741,32,108,191453,3782650,6120,36878,741598,1092,2,106,0,2,690,1
Bacteroides_cellulosilyticus_58046,700100540,700106646,1822,2342210,337420,1527613,749,345,15937,71823,744,314,321483,1455790,5,31,210195,4150221,6954,10257,204924,288,0,31,0,0,314,0
Bacteroides_cellulosilyticus_58046,700100540,ERR911968,1892,2546971,367461,1661718,743,305,17053,77424,732,265,350408,1584294,11,40,227816,4517707,7359,11531,220408,333,0,40,0,0,265,0
Bacteroides_cellulosilyticus_58046,700100540,ERR912169,6827,2381433,343089,1553477,2709,1076,63939,292398,2698,1018,279150,1261079,11,58,181629,3595599,6009,42281,833707,1206,0,58,0,2,1014,2
Bacteroides_cellulosilyticus_58046,700100540,ERR912197,8983,2520194,363673,1644246,3657,1410,83606,382649,3629,1312,280067,1261597,28,98,180962,3597829,6000,55769,1090582,1596,1,97,0,3,1306,3
Bacteroides_cellulosilyticus_58046,700106465,1089274-24-0-0_,47,2535984,365574,1654428,6,24,59,272,3,1,365515,1654156,3,23,239164,4715528,7776,49,767,0,3,20,0,0,1,0
Bacteroides_cellulosilyticus_58046,700106646,ERR911968,3088,2350897,338804,1533244,1214,558,28354,129171,1203,507,310450,1404073,11,51,202306,4003220,6693,18955,367982,576,0,51,0,0,507,0
Bacteroides_cellulosilyticus_58046,700106646,ERR912169,6730,2315282,333561,1510067,2680,1090,62896,286438,2665,1008,270665,1223629,15,82,176248,3488744,5895,41524,816587,1203,0,82,0,3,1003,2
Bacteroides_cellulosilyticus_58046,700106646,ERR912197,8459,2327028,335460,1517685,3409,1390,78127,357334,3381,1282,257333,1160351,28,108,166692,3308799,5562,52234,1018178,1590,1,107,0,4,1277,1
