species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_finegoldii_57739,700108530,700165148,29510,1944903,278510,1267463,11717,5523,188959,3607712,5718,6,5514,3
Bacteroides_finegoldii_57739,700107189,700124429,6533,1988814,283544,1296009,2436,1655,193949,3687727,6351,4,1650,1
Bacteroides_finegoldii_57739,700038594,700105580,25475,1889107,270202,1231152,10127,4947,184008,3503844,5604,10,4934,3
Bacteroides_finegoldii_57739,700016542,ERR912191,10810,2014186,288592,1312459,4049,2616,195674,3735274,6429,5,2606,5
Bacteroides_finegoldii_57739,SRR413624,700116568,30227,1995446,286015,1300411,12073,5577,193749,3701523,5961,3,5570,4
Bacteroides_finegoldii_57739,700016716,700035533,7110,2021688,289592,1317380,2615,1855,196413,3749328,6399,5,1850,0
Bacteroides_finegoldii_57739,700102586,700032133,10709,2006606,287506,1307442,3983,2647,194868,3721104,6354,5,2637,5
Bacteroides_finegoldii_57739,700164159,700032133,28826,1927480,276302,1256236,11513,5486,187011,3575910,5787,11,5472,3
Bacteroides_finegoldii_57739,ERR912138,700024449,11648,1975579,283017,1287330,4445,2601,191785,3663986,6219,3,2597,1
Bacteroides_finegoldii_57739,700171648,700032133,6133,2022176,289134,1317641,2308,1543,196807,3749624,6492,4,1539,0
Bacteroides_finegoldii_57739,700105580,700163628,28666,1918507,274327,1250333,11391,5458,186799,3558449,5751,11,5445,2
Bacteroides_finegoldii_57739,700105580,ERR912191,28728,1922116,274921,1252667,11432,5434,187125,3565101,5775,9,5423,2
Bacteroides_finegoldii_57739,700097688,SRR341696,29205,1957706,279670,1275642,11552,5448,190564,3630428,5934,7,5436,5
Bacteroides_finegoldii_57739,700164159,700024437,28809,1917956,274922,1250035,11476,5520,186148,3558185,5772,12,5505,3
Bacteroides_finegoldii_57739,700165148,700098561,28855,1946097,278589,1268254,11396,5433,189017,3609928,5817,8,5423,2
Bacteroides_finegoldii_57739,700101581,700106694,6797,2032353,291015,1324344,2516,1752,197567,3768922,6543,4,1746,2
Bacteroides_finegoldii_57739,700038594,700096865,11751,2002404,286728,1304885,4474,2689,194719,3713663,6273,6,2682,1
Bacteroides_finegoldii_57739,700163238,700123827,12030,2020092,289219,1316401,4596,2740,196407,3746364,6432,4,2735,1
Bacteroides_finegoldii_57739,700098561,700113810,28672,1943999,278487,1266917,11324,5415,188622,3606354,5775,8,5406,1
Bacteroides_finegoldii_57739,SRR413624,SRR341699,16566,1880128,268959,1225403,6700,2916,182690,3487948,5571,7,2905,4
