species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Alistipes_shahii_62199,700099803,700034166,6553,1403775,253446,915733,2568,1780,99890,2641858,5451,14,1764,2
Alistipes_shahii_62199,ERR911997,ERR911954,7158,1471829,267332,960827,2785,2047,103757,2772808,5916,10,2033,4
Alistipes_shahii_62199,700034565,700096865,6661,1454684,264010,949283,2557,1869,102820,2739440,5589,13,1853,3
Alistipes_shahii_62199,ERR911995,700034166,6474,1430999,258865,933838,2560,1779,101485,2694422,5607,14,1762,3
Alistipes_shahii_62199,ERR912099,700164159,7193,1468932,266711,958963,2793,2039,103629,2767434,5826,8,2028,3
Alistipes_shahii_62199,700033665,700035533,6607,1421459,257319,927082,2597,1813,101081,2674675,5490,10,1800,3
Alistipes_shahii_62199,700165809,ERR911995,7391,1457722,264728,951630,2895,2081,102805,2746250,5835,16,2061,4
Alistipes_shahii_62199,700100022,700037649,7011,1457942,264797,951791,2711,2001,102731,2746828,5814,12,1984,5
Alistipes_shahii_62199,ERR912085,700164417,7090,1471953,267325,960975,2764,1951,103758,2773317,5850,6,1943,2
Alistipes_shahii_62199,700016716,ERR912175,6673,1432933,260112,935130,2493,1889,101118,2698455,5817,13,1875,1
Alistipes_shahii_62199,ERR912187,ERR911986,6623,1404781,254444,916750,2509,1810,99542,2644966,5742,8,1799,3
Alistipes_shahii_62199,ERR912034,700015250,8942,1439579,261551,939631,3533,2479,101530,2711636,5727,14,2464,1
Alistipes_shahii_62199,ERR912034,700163868,33770,999842,180581,652911,13585,8282,70891,1885262,2580,32,8245,5
Alistipes_shahii_62199,700100471,pluto4-11-7-0_,6083,1437933,260247,938438,2398,1661,101968,2707682,5664,9,1651,1
Alistipes_shahii_62199,700116028,ERR911971,7188,1470689,267189,960093,2779,2027,103636,2770790,5853,12,2013,2
Alistipes_shahii_62199,700102586,700037453,5822,1423175,257423,928367,2269,1608,101071,2678327,5703,8,1596,4
Alistipes_shahii_62199,ERR912144,ERR912093,7418,1439358,261566,939392,2887,2115,101584,2710811,5781,8,2105,2
Alistipes_shahii_62199,700035785,ERR911954,6960,1446282,262105,943758,2659,1993,102467,2723080,5727,10,1979,4
Alistipes_shahii_62199,700108530,ERR912170,7545,1462608,265592,954775,2918,2157,103102,2755361,5862,11,2142,4
Alistipes_shahii_62199,ERR912124,700014837,9122,1387154,250771,904476,3548,2502,98807,2609044,5577,13,2487,2
