species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Alistipes_putredinis_61533,700013715,700015250,1525,1433236,245630,929864,613,397,25160,95056,587,289,220470,834808,26,108,96096,2402175,6153,10857,273720,591,2,105,1,0,287,2
Alistipes_putredinis_61533,700013715,700015415,2354,1417836,242910,919633,941,596,46049,173290,903,434,196861,746343,38,162,86204,2147377,5448,19765,498869,1236,2,160,0,0,432,2
Alistipes_putredinis_61533,700013715,700021261,2688,1428757,244835,926908,1080,642,35980,136250,1053,500,208855,790658,27,142,91146,2274912,5916,15512,392428,810,0,140,2,1,495,4
Alistipes_putredinis_61533,700013715,700023919,2300,1428833,244934,926929,919,520,33938,127319,884,408,210996,799610,35,112,92160,2300760,5910,14429,366709,819,2,110,0,0,406,2
Alistipes_putredinis_61533,700013715,700024318,2430,1426926,244574,925753,973,592,38074,143965,930,434,206500,781788,43,158,90119,2249539,5706,16424,414457,1014,1,157,0,2,430,2
Alistipes_putredinis_61533,700013715,700032133,2719,1427135,244624,925909,1075,716,41341,154903,1041,548,203283,771006,34,168,88863,2218509,5646,17660,446011,1038,2,166,0,1,545,2
Alistipes_putredinis_61533,700013715,700033797,2834,1413003,241803,916687,1128,684,41167,156815,1087,528,200636,759872,41,156,87720,2186388,5508,18000,451395,1050,2,154,0,1,525,2
Alistipes_putredinis_61533,700013715,700034622,2507,1429375,244996,927322,993,626,40366,152081,957,469,204630,775241,36,157,89384,2230648,5691,17278,437939,1026,3,154,0,0,467,2
Alistipes_putredinis_61533,700013715,700037008,2715,1428549,244848,926767,1071,671,42494,160489,1029,515,202354,766278,42,156,88200,2205045,5589,18406,461939,1122,5,151,0,1,512,2
Alistipes_putredinis_61533,700013715,700037357,3181,1423604,244033,923614,1282,763,41185,155909,1237,597,202848,767705,45,166,88316,2209165,5634,17931,448731,1065,3,162,1,1,593,3
Alistipes_putredinis_61533,700013715,700037632,3396,1406920,240539,912652,1379,820,47529,180835,1345,636,193010,731817,34,184,84535,2105507,5409,20847,520434,1224,2,182,0,1,630,5
Alistipes_putredinis_61533,700013715,700037738,2796,1407138,240425,912796,1113,681,37968,143446,1062,509,202457,769350,51,172,88979,2213404,5667,16457,412918,963,2,169,1,2,504,3
Alistipes_putredinis_61533,700013715,700037852,2329,1409977,241334,914576,957,539,29003,109244,916,428,212331,805332,41,111,92994,2317053,5949,12555,314508,669,2,109,0,2,424,2
Alistipes_putredinis_61533,700013715,700037916,2613,1427275,244634,925959,1039,687,41268,155227,997,531,203366,770732,42,156,88919,2217619,5658,17617,447020,1044,2,154,0,1,527,3
Alistipes_putredinis_61533,700013715,700095524,1975,1427089,244620,925791,816,471,29500,110485,785,344,215120,815306,31,127,93965,2345896,6057,12540,318231,684,1,125,1,0,343,1
Alistipes_putredinis_61533,700013715,700110812,1994,1339986,227081,868934,790,447,31020,118541,754,339,196061,750393,36,108,87462,2157966,5751,13854,341052,717,1,106,1,1,336,2
Alistipes_putredinis_61533,700013715,700111223,3092,1426479,244439,925511,1238,753,45116,168871,1205,640,199323,756640,33,113,87359,2176936,5625,19078,486473,1062,1,112,0,4,633,3
Alistipes_putredinis_61533,700013715,700116668,2219,1432440,245596,929348,878,533,31945,120000,828,397,213651,809348,50,136,93060,2328987,5997,13776,345480,744,2,133,1,0,395,2
Alistipes_putredinis_61533,700013715,700117303,3597,1421931,243644,922477,1434,871,50094,189024,1391,700,193550,733453,43,171,84574,2110367,5418,21633,544215,1224,2,169,0,2,695,3
Alistipes_putredinis_61533,700013715,700117766,2519,1432261,245568,929243,1032,574,38780,146492,993,457,206788,782751,39,117,90066,2252424,5763,16771,421727,978,1,115,1,1,454,2
Alistipes_putredinis_61533,700013715,700122408,2237,1427808,244729,926318,895,573,37829,143175,859,435,206900,783143,36,138,90290,2253403,5736,16278,412311,936,4,134,0,2,431,2
Alistipes_putredinis_61533,700013715,700124429,2896,1425718,244300,924944,1157,652,40193,151491,1118,526,204107,773453,39,126,89000,2225572,5787,17440,436112,921,3,122,1,1,524,1
Alistipes_putredinis_61533,700013715,700124561,2227,1430079,245087,927751,866,557,29657,112250,824,415,215430,815501,42,142,93855,2346600,6048,12871,323216,663,1,140,1,1,412,2
Alistipes_putredinis_61533,700013715,700161342,2318,1429322,244975,927339,927,527,28112,105663,889,389,216863,821676,38,138,94561,2364437,6030,12095,304231,663,3,133,2,0,387,2
Alistipes_putredinis_61533,700013715,ERR911954,2372,1433806,245845,930208,952,561,34079,128349,900,453,211766,801859,52,108,92284,2307410,5883,14668,369512,867,1,106,1,1,450,2
Alistipes_putredinis_61533,700013715,ERR911956,2628,1432583,245564,929421,1059,641,39139,149188,1037,541,206425,780233,22,100,89641,2245259,5799,17233,429413,918,1,99,0,3,535,3
Alistipes_putredinis_61533,700013715,ERR911960,2502,1430048,245148,927772,1002,624,40361,152612,973,473,204787,775160,29,151,89282,2230483,5715,17398,439445,993,2,149,0,0,471,2
Alistipes_putredinis_61533,700013715,ERR911963,2711,1430254,245195,927909,1100,670,41817,157948,1063,503,203378,769961,37,167,88786,2215517,5580,17952,454779,1113,3,164,0,0,501,2
Alistipes_putredinis_61533,700013715,ERR911966,2167,1418899,243255,920564,871,534,34488,131208,844,413,208767,789356,27,121,90809,2271406,5853,15060,377751,813,2,118,1,1,408,4
Alistipes_putredinis_61533,700013715,ERR911970,2866,1425692,244371,924951,1115,692,31938,119315,1094,539,212433,805636,21,153,92833,2318147,5928,13619,343561,765,0,153,0,2,535,2
Alistipes_putredinis_61533,700013715,ERR911988,2358,1429489,244994,927435,937,603,36395,137317,892,458,208599,790118,45,145,91053,2273523,5778,15612,395412,927,2,143,0,0,455,3
Alistipes_putredinis_61533,700013715,ERR911995,717,1428962,244891,927083,289,187,7917,30057,286,152,236974,897026,3,35,103191,2581365,6522,3428,86545,198,1,34,0,0,152,0
Alistipes_putredinis_61533,700013715,ERR911999,1611,1433951,245788,930345,629,412,22490,84384,602,317,223298,845961,27,95,97449,2434185,6249,9584,243064,504,2,93,0,0,315,2
Alistipes_putredinis_61533,700013715,ERR912000,1545,1434563,245911,930705,594,424,21542,80981,567,327,224369,849724,27,97,97883,2445058,6231,9136,233288,519,2,95,0,0,325,2
Alistipes_putredinis_61533,700013715,ERR912007,2335,1416769,242755,919073,935,563,31131,116617,908,453,211624,802456,27,110,92357,2309095,5916,13336,335756,759,2,108,0,2,449,2
