species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Eubacterium_siraeum_57634,700033153,ERR911974,30614,1476288,214355,977833,13376,4988,120274,2808305,4920,16,4970,2
Eubacterium_siraeum_57634,700021306,700171727,19886,1459430,211994,966772,8662,3277,118784,2776660,4872,13,3261,3
Eubacterium_siraeum_57634,ERR912146,700023720,18685,1493350,216959,989195,8233,2949,121774,2840789,5022,12,2935,2
Eubacterium_siraeum_57634,700163699,700100022,19757,1462390,212254,968657,8609,3213,119089,2781956,4926,14,3197,2
Eubacterium_siraeum_57634,ERR912098,700171114,19549,1490967,216548,987470,8480,2994,121642,2835689,5079,6,2987,1
Eubacterium_siraeum_57634,700021261,SRR413614,29895,1479069,214770,979783,12942,4885,120404,2813953,4992,14,4869,2
Eubacterium_siraeum_57634,700164870,ERR912179,30072,1467936,212988,972385,12960,5007,119626,2792657,4872,12,4995,0
Eubacterium_siraeum_57634,700117625,700110354,20102,1457808,211609,965629,8785,3253,118686,2773278,4923,11,3240,2
Eubacterium_siraeum_57634,700021306,donald3-11-7-0_,21160,1462632,212501,968828,9400,3347,119152,2782472,4860,14,3330,3
Eubacterium_siraeum_57634,ERR912080,700114218,28521,1479413,215080,980102,12219,4674,120458,2814859,4989,16,4657,1
Eubacterium_siraeum_57634,1089274-24-28-0_,ERR912098,19118,1495344,217292,990516,8321,2945,121927,2844536,5085,5,2939,1
Eubacterium_siraeum_57634,700023845,700013715,28936,1462824,211964,968941,12546,4731,119428,2782676,4719,15,4713,3
Eubacterium_siraeum_57634,ERR912132,ERR912043,20556,782373,113962,519805,9269,2724,63747,1493295,2373,10,2712,2
Eubacterium_siraeum_57634,ERR912043,700171114,19652,786792,114548,522604,8861,2547,64123,1501259,2430,8,2538,1
Eubacterium_siraeum_57634,700171114,700165263,29996,1474136,214048,976407,13052,4922,120176,2804122,4923,12,4909,1
Eubacterium_siraeum_57634,1089275-24-7-0_,ERR912043,19359,788287,114813,523654,8776,2481,64164,1504371,2427,10,2469,2
Eubacterium_siraeum_57634,ERR912043,ERR912182,20876,791731,115338,525952,9424,2796,64477,1510943,2436,9,2783,4
Eubacterium_siraeum_57634,700038761,1089274-24-28-0_,29333,1465903,212558,971079,12702,4828,119651,2788756,4830,18,4807,3
Eubacterium_siraeum_57634,700165809,700038072,21064,1460533,212068,967499,9207,3449,118914,2778732,4851,13,3434,2
Eubacterium_siraeum_57634,700163772,1089274-24-28-0_,29434,1464957,212577,970387,12796,4734,119484,2786790,4887,16,4716,2
