species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_eggerthii_54457,SRR341719,ERR912053,12294,2381625,350891,1552977,4954,2424,214273,4436264,8394,5,2415,4
Bacteroides_eggerthii_54457,ERR912137,ERR912055,12952,2316513,342286,1510473,5160,2636,207432,4315776,8211,9,2620,7
Bacteroides_eggerthii_54457,700038870,ERR912193,12199,2327964,343903,1518015,4843,2472,208350,4337382,8313,4,2465,3
Bacteroides_eggerthii_54457,700164159,SRR413562,12855,2369035,349389,1544808,5205,2581,212959,4413146,8319,8,2569,4
Bacteroides_eggerthii_54457,700015981,SRR413626,11631,2328114,340809,1517764,4525,2357,210723,4334208,8361,6,2346,5
Bacteroides_eggerthii_54457,SRR413562,ERR912054,11805,2379524,350932,1551633,4743,2366,213876,4432626,8397,3,2360,3
Bacteroides_eggerthii_54457,ERR912021,SRR341641,12371,2356538,347668,1536499,4962,2433,211574,4389592,8331,7,2423,3
Bacteroides_eggerthii_54457,SRR413622,ERR912148,11999,2412763,355656,1573303,4747,2374,217027,4494374,8508,4,2368,2
Bacteroides_eggerthii_54457,ERR912077,700015981,11402,2345791,343205,1529294,4424,2365,212574,4366866,8442,8,2352,5
Bacteroides_eggerthii_54457,700112433,SRR341719,13315,2340555,344963,1526109,5277,2728,210318,4359750,8259,11,2713,4
Bacteroides_eggerthii_54457,ERR912054,700112433,13988,2360486,347990,1539188,5558,2886,212121,4397148,8295,11,2871,4
Bacteroides_eggerthii_54457,SRR413603,SRR413626,11790,2378995,351092,1551287,4753,2323,213599,4431886,8376,2,2319,2
Bacteroides_eggerthii_54457,SRR413585,ERR912053,11815,2398693,353596,1564104,4796,2336,215815,4468064,8433,6,2328,2
Bacteroides_eggerthii_54457,700037501,ERR912148,11538,2391836,352379,1559618,4580,2335,215283,4455075,8496,3,2327,5
Bacteroides_eggerthii_54457,ERR912137,SRR341637,12373,2277443,335965,1484913,4904,2500,203958,4242669,8112,10,2485,5
Bacteroides_eggerthii_54457,700164159,ERR912185,12961,2380846,351103,1552380,5179,2675,214037,4434706,8397,13,2656,6
Bacteroides_eggerthii_54457,ERR912117,ERR912077,13968,2387748,351919,1556922,5471,2932,214787,4447576,8403,15,2910,7
Bacteroides_eggerthii_54457,ERR912053,ERR911960,11930,2407326,354832,1569788,4759,2403,216557,4484338,8469,8,2391,4
Bacteroides_eggerthii_54457,ERR912193,SRR413587,11893,2367267,349227,1543741,4723,2345,212539,4410293,8391,10,2329,6
Bacteroides_eggerthii_54457,700015981,SRR341706,11604,2325059,340295,1515770,4508,2370,210546,4328388,8376,6,2359,5
