species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Ruminococcus_bromii_62047,700105771,ERR912072,19411,1007922,138753,676368,7119,3364,89453,1936243,3408,3,3361,0
Ruminococcus_bromii_62047,700116568,ERR912095,14961,1350774,186359,905263,5370,2992,120273,2590578,4938,8,2983,1
Ruminococcus_bromii_62047,ERR912184,700095647,15517,1357121,187128,909434,5547,3177,120926,2602399,4977,8,3169,0
Ruminococcus_bromii_62047,700095213,ERR912129,13336,1355539,186980,908331,4846,2593,120729,2599353,4911,7,2585,1
Ruminococcus_bromii_62047,ERR912057,ERR912151,18591,995042,137270,667764,6871,3232,88047,1911927,3318,7,3223,2
Ruminococcus_bromii_62047,700023578,ERR912083,13042,1356530,187046,909030,4612,2643,120938,2601217,4935,6,2636,1
Ruminococcus_bromii_62047,700015250,ERR912019,12819,1354231,186740,907449,4574,2451,120675,2596674,4998,7,2443,1
Ruminococcus_bromii_62047,700015250,700161945,13765,1353756,186578,907167,4954,2694,120685,2595842,4974,2,2692,0
Ruminococcus_bromii_62047,ERR912047,ERR912108,18703,996221,137529,668598,6879,3290,88220,1914202,3372,4,3285,1
Ruminococcus_bromii_62047,ERR911961,700095486,18704,995920,137203,668325,6843,3178,88226,1913407,3342,10,3167,1
Ruminococcus_bromii_62047,ERR912013,ERR912086,8104,969772,133852,650788,3041,1427,85816,1863320,3228,5,1422,0
Ruminococcus_bromii_62047,700103477,700113867,13108,1355463,186822,908307,4633,2700,120772,2599220,4929,5,2693,2
Ruminococcus_bromii_62047,700095647,ERR912127,14588,1356358,186983,908922,5258,2841,120853,2600939,4974,8,2831,2
Ruminococcus_bromii_62047,SRR413628,SRR413589,17999,1328801,183238,890405,6673,3428,118308,2548182,4725,5,3422,1
Ruminococcus_bromii_62047,ERR912151,700161967,13311,1352852,186484,906616,4801,2607,120550,2594372,4926,7,2599,1
Ruminococcus_bromii_62047,SRR413654,700038072,16418,1339660,184807,897774,5904,3307,119287,2569217,4818,11,3294,2
Ruminococcus_bromii_62047,ERR911975,SRR413628,17772,1337260,184453,896132,6435,3609,119117,2564491,4788,6,3602,1
Ruminococcus_bromii_62047,ERR912074,ERR912166,15387,1355676,187017,908419,5513,3197,120710,2599594,4953,9,3186,2
Ruminococcus_bromii_62047,ERR911968,700163699,13757,1355889,186879,908610,4966,2747,120846,2600010,4974,8,2738,1
Ruminococcus_bromii_62047,700021361,ERR912148,11388,962937,132968,646220,4284,1872,85185,1850250,3225,2,1870,0
