species_name,sample 1,sample 2,pair_class,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,identical_block_fraction,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
snv_table,GCF_000699845.1,GCF_028199885.1,typical_fully_recombined,7756,2043976,285930,1328421,2963,1817,0.04357298474945534,204233,3774466,6564,11,1805,1
snv_table,GCF_003436855.1,GCF_021410085.1,typical_fully_recombined,7401,2039413,285188,1325399,2855,1722,0.04565217391304348,203787,3765837,6573,8,1713,1
snv_table,GCF_003459715.1,GCF_003460125.1,typical_fully_recombined,8176,2031155,284090,1320054,3145,1790,0.030837004405286344,202978,3750629,6555,4,1785,1
snv_table,GCF_012976275.1,GCF_047777885.1,typical_fully_recombined,8355,2049480,286611,1331973,3164,1875,0.037578288100208766,204868,3784379,6672,7,1868,0
snv_table,GCF_019041535.1,GCF_023669435.1,typical_fully_recombined,8690,2031359,284137,1320254,3267,2005,0.04487179487179487,203138,3751099,6525,8,1997,0
snv_table,GCF_019042015.1,GCF_028199435.1,typical_fully_recombined,8767,2023944,283138,1315359,3238,2093,0.011037527593818985,202118,3737461,6498,11,2081,1
snv_table,GCF_021531335.1,GCF_047311225.1,typical_fully_recombined,9413,2029756,283765,1319066,3458,2223,0.028077753779697623,202733,3747949,6516,10,2211,2
snv_table,GCF_021891045.1,GCF_028395525.1,typical_fully_recombined,8688,2013278,281663,1308411,3385,1896,0.03282275711159737,201018,3717789,6426,6,1890,0
snv_table,GCF_023668145.1,GCF_027683305.1,typical_fully_recombined,8988,2002609,280140,1301449,3381,2010,0.038876889848812095,199968,3697935,6444,8,2000,2
snv_table,GCF_023668715.1,GCF_040922065.1,typical_fully_recombined,7490,2034679,284593,1322428,2784,1714,0.04666666666666667,203410,3757352,6522,8,1706,0
snv_table,GCF_024758205.1,GCF_040921965.1,typical_fully_recombined,6726,2000835,279907,1300211,2505,1587,0.033936651583710405,199901,3694270,6462,6,1578,3
snv_table,GCF_027683305.1,GCF_039760415.1,typical_fully_recombined,8913,2012208,281596,1307849,3336,2029,0.017660044150110375,201119,3715939,6489,10,2018,1
snv_table,GCF_027686305.1,GCF_040095815.1,typical_fully_recombined,9313,2013532,281634,1308556,3490,2147,0.022573363431151242,201142,3718079,6447,9,2136,2
snv_table,GCF_028199355.1,GCF_964242985.1,typical_fully_recombined,9019,2046395,286110,1329939,3393,2066,0.028199566160520606,204544,3778688,6585,14,2051,1
snv_table,GCF_028199955.1,GCF_047307325.1,typical_fully_recombined,8917,2022998,282976,1314811,3407,2018,0.00881057268722467,202200,3735735,6498,10,2008,0
snv_table,GCF_028200875.1,GCF_028201035.1,typical_fully_recombined,8694,2014146,281774,1308943,3381,1942,0.03761061946902655,201103,3719270,6456,7,1935,0
snv_table,GCF_028201235.1,GCF_028394835.1,typical_fully_recombined,7757,2024347,283210,1315563,2985,1762,0.025,202246,3737876,6567,7,1754,1
snv_table,GCF_028395805.1,GCF_047948285.1,typical_fully_recombined,7157,2027487,283844,1317734,2662,1681,0.03956043956043956,202600,3744128,6474,5,1673,3
snv_table,GCF_030546205.1,GCF_040097525.1,typical_fully_recombined,8531,2033210,284376,1321395,3248,1923,0.017543859649122806,203167,3754436,6582,6,1917,0
snv_table,GCF_040918345.1,GCF_047309325.1,typical_fully_recombined,7391,2027787,283517,1317892,2707,1785,0.03325942350332594,202829,3744310,6537,10,1772,3
