species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_cellulosilyticus_58046,700101638,ERR912106,18594,2640966,381510,1723490,7128,3572,248380,4914278,7812,8,3561,3
Bacteroides_cellulosilyticus_58046,700024086,ERR912025,15367,2470086,356095,1611411,5942,3031,232950,4593717,7566,7,3021,3
Bacteroides_cellulosilyticus_58046,ERR912090,700098867,17626,2491260,359460,1625313,6775,3563,234529,4634054,7356,8,3549,6
Bacteroides_cellulosilyticus_58046,700163419,ERR911970,19204,2487788,358692,1623182,7419,3831,234215,4627963,7368,10,3819,2
Bacteroides_cellulosilyticus_58046,ERR912096,pluto4-11-7-0_,23247,2658662,383747,1734967,8954,4381,250220,4946938,7743,11,4365,5
Bacteroides_cellulosilyticus_58046,700116201,SRR413601,20668,2681033,387024,1749518,7944,4012,252366,4988298,7890,11,3996,5
Bacteroides_cellulosilyticus_58046,700024789,ERR911956,16134,2493455,359420,1626669,6217,3198,235093,4637285,7629,4,3194,0
Bacteroides_cellulosilyticus_58046,ERR912018,700033726,22009,2544932,367601,1660426,8579,4011,238873,4734854,7551,14,3993,4
Bacteroides_cellulosilyticus_58046,700098867,700119042,19171,2380747,343468,1553034,7424,3723,224030,4428103,6969,13,3706,4
Bacteroides_cellulosilyticus_58046,1089275-24-0-0_,700107059,20893,2658048,383859,1734532,8138,4001,250195,4945673,7728,10,3987,4
Bacteroides_cellulosilyticus_58046,700116611,700123700,46083,1989180,288219,1298285,19000,6784,185635,3704288,4932,15,6763,6
Bacteroides_cellulosilyticus_58046,700163521,ERR912016,16921,2481921,357867,1619247,6516,3407,233920,4616360,7461,8,3397,2
Bacteroides_cellulosilyticus_58046,ERR911956,700023113,14439,2499661,360297,1630655,5564,2893,235799,4648531,7635,5,2887,1
Bacteroides_cellulosilyticus_58046,700116401,ERR912112,19876,2468753,356140,1610674,7583,3870,232506,4592103,7413,7,3858,5
Bacteroides_cellulosilyticus_58046,ERR911990,700023845,19906,2408316,346682,1571019,7584,4037,227317,4478465,7275,10,4023,4
Bacteroides_cellulosilyticus_58046,700014562,ERR912112,16681,2479601,357791,1617761,6449,3311,233398,4612673,7212,8,3300,3
Bacteroides_cellulosilyticus_58046,700164611,700124561,15648,2540660,366247,1657585,5972,3179,239654,4725421,7680,4,3171,4
Bacteroides_cellulosilyticus_58046,pluto4-11-30-0_,1089274-24-0-0_,24062,2661856,384239,1737091,9403,4508,250628,4952917,7728,9,4495,4
Bacteroides_cellulosilyticus_58046,ERR912109,700024234,17761,2659575,383918,1735339,6909,3435,250462,4947620,7935,10,3424,1
Bacteroides_cellulosilyticus_58046,ERR912191,700015181,15899,2528357,364957,1649528,6056,3198,237865,4703219,7500,5,3193,0
