species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Parabacteroides_distasonis_56985,700024545,700013603,17425,2505011,351955,1624369,7185,3304,246908,4617703,8496,14,3284,6
Parabacteroides_distasonis_56985,700110089,700105306,17722,2488556,348762,1613266,7332,3276,245955,4585323,8520,16,3257,3
Parabacteroides_distasonis_56985,700171648,700100432,30395,2456143,344720,1592586,12894,5192,242455,4527215,8088,15,5168,9
Parabacteroides_distasonis_56985,700024545,700023845,16646,2505166,350828,1624190,6897,3053,247763,4616146,8661,9,3041,3
Parabacteroides_distasonis_56985,700014562,SRR413603,21849,2418008,339544,1568410,9245,3724,238440,4459032,7758,17,3704,3
Parabacteroides_distasonis_56985,700171115,SRR341633,28231,2383131,332093,1544029,11747,4819,237296,4386733,8058,13,4798,8
Parabacteroides_distasonis_56985,donald4-11-7-0_,700110089,17901,2509826,352794,1627506,7476,3290,247138,4626806,8574,15,3275,0
Parabacteroides_distasonis_56985,700119562,700097291,15745,2509142,353052,1627232,6537,2979,246959,4626295,8442,13,2966,0
Parabacteroides_distasonis_56985,700112812,ERR911965,16551,2515495,353394,1631116,6893,2977,247974,4636800,8574,11,2964,2
Parabacteroides_distasonis_56985,ERR912110,ERR912059,18619,2530838,356054,1641140,7758,3507,249127,4665659,8634,13,3488,6
Parabacteroides_distasonis_56985,700173546,700106465,30477,2487699,349558,1613338,12866,5209,245147,4586677,8190,11,5190,8
Parabacteroides_distasonis_56985,700116201,700161856,16292,2514824,353114,1630559,6699,3005,248066,4635028,8583,11,2992,2
Parabacteroides_distasonis_56985,ERR912176,700037649,21267,2515223,353874,1631094,8955,3775,247544,4637269,8469,17,3750,8
Parabacteroides_distasonis_56985,700161856,700173546,30131,2475246,347528,1605157,12663,5175,244232,4563085,8154,17,5146,12
Parabacteroides_distasonis_56985,700021902,700038263,16619,2502636,351239,1622715,6947,3100,247006,4612610,8529,12,3085,3
Parabacteroides_distasonis_56985,ERR912191,700038594,17869,2467266,346822,1599997,7442,3318,243070,4548875,8046,11,3304,3
Parabacteroides_distasonis_56985,700108530,700112812,16627,2509521,352635,1627215,6899,2986,247372,4625771,8502,11,2973,2
Parabacteroides_distasonis_56985,700037916,700037868,17186,2542008,357445,1648360,7173,3157,250362,4685916,8802,8,3146,3
Parabacteroides_distasonis_56985,700172132,700033153,19424,2509247,352533,1627183,8152,3568,247280,4625788,8481,14,3550,4
Parabacteroides_distasonis_56985,700114082,SRR341633,28123,2370002,329997,1535389,11735,4774,236209,4361942,8016,10,4758,6
