species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_ovatus_58035,700014562,700014724,589,926604,131763,604142,204,132,10563,48465,192,99,121200,555677,12,33,83465,1580962,2604,7383,137817,195,1,32,0,0,99,0
Bacteroides_ovatus_58035,700014562,700016000,599,928273,132054,605271,207,139,10573,48539,192,100,121481,556732,15,39,83556,1584045,2595,7403,138016,198,0,39,0,0,100,0
Bacteroides_ovatus_58035,700014562,700023113,554,934641,132875,609405,190,120,10721,49212,180,100,122154,560193,10,20,84164,1593784,2631,7477,139958,201,0,20,0,0,100,0
Bacteroides_ovatus_58035,700014562,700095213,554,925905,131694,603690,189,120,9673,44476,176,94,122021,559214,13,26,83971,1591064,2607,6792,126450,186,0,26,0,0,94,0
Bacteroides_ovatus_58035,700014562,700102043,554,926628,131822,604155,189,120,9676,44529,175,96,122146,559626,14,24,84025,1592246,2607,6797,126604,186,0,24,0,0,96,0
Bacteroides_ovatus_58035,700014562,700106170,571,927737,131953,604890,193,122,9298,42872,179,94,122655,562018,14,28,84414,1599027,2613,6561,121869,186,0,28,0,0,93,1
Bacteroides_ovatus_58035,700014562,700114082,561,925198,131516,603206,191,123,9027,41715,173,92,122489,561491,18,31,84319,1597532,2622,6430,118535,180,0,31,0,0,92,0
Bacteroides_ovatus_58035,700014562,700116468,593,928108,131906,605126,202,131,10867,49953,188,99,121039,555173,14,32,83453,1579474,2592,7557,142083,219,0,32,0,0,99,0
Bacteroides_ovatus_58035,700014562,700117239,584,928505,132037,605415,206,126,10585,48607,192,100,121452,556808,14,26,83582,1584238,2604,7414,138212,195,0,26,0,0,100,0
Bacteroides_ovatus_58035,700014562,700122765,570,926763,131859,604274,197,122,9320,42961,173,93,122539,561313,24,29,84179,1597177,2583,6595,122105,183,0,29,0,0,93,0
