species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Alistipes_sp_60764,700015702,ERR911965,1017,1689820,296789,1103550,434,266,26517,99857,426,204,270272,1003693,8,62,105888,2897859,7332,10886,287953,732,0,62,0,1,203,0
Alistipes_sp_60764,700015702,ERR912172,190,1689613,296711,1103421,73,63,3295,12636,69,34,293416,1090785,4,29,115361,3149002,7992,1421,36397,90,0,29,0,0,34,0
Alistipes_sp_60764,700035785,700105613,676,1666110,292325,1087959,282,159,23741,89890,263,100,268584,998069,19,59,105822,2881194,7191,9567,259491,612,1,58,0,1,99,0
Alistipes_sp_60764,700035785,700105787,1061,1661272,291449,1084819,459,234,32356,120385,418,139,259093,964434,41,95,102352,2783954,6996,12708,347658,789,0,94,1,1,138,0
Alistipes_sp_60764,700035785,ERR912032,902,1666515,292405,1088226,376,211,30955,115997,351,133,261450,972229,25,78,103293,2806386,7008,12129,335052,810,0,78,0,1,132,0
Alistipes_sp_60764,700035785,ERR912127,928,1661013,291345,1084653,393,224,26302,97207,361,144,265043,987446,32,80,104988,2850258,7092,10108,280829,684,0,80,0,1,142,1
Alistipes_sp_60764,700035785,ERR912139,778,1666106,292314,1087949,332,186,28187,106300,309,123,264127,981649,23,63,104081,2833789,7077,11316,306837,747,0,63,0,1,122,0
Alistipes_sp_60764,700105613,700105787,798,1684475,295867,1100028,339,189,19623,72859,311,96,276244,1027169,28,93,108615,2965371,7521,7846,210245,486,1,91,1,0,96,0
Alistipes_sp_60764,700105613,ERR912032,465,1690264,296894,1103835,191,120,9064,34071,171,61,287830,1069764,20,59,113304,3088194,7794,3565,98393,255,1,58,0,0,61,0
Alistipes_sp_60764,700105613,ERR912127,603,1684525,295800,1100097,248,159,16007,58624,228,86,279793,1041473,20,73,110395,3006449,7575,6129,169308,435,1,72,0,0,85,1
Alistipes_sp_60764,700105613,ERR912139,328,1689683,296786,1103423,141,95,7860,29392,128,43,288926,1074031,13,52,113735,3100525,7833,3097,84857,222,1,51,0,0,43,0
Alistipes_sp_60764,700105787,ERR912032,1053,1685273,296024,1100542,443,245,32936,122128,415,158,263088,978414,28,87,103590,2824476,7176,12930,352611,843,0,87,0,0,157,1
Alistipes_sp_60764,700105787,ERR912127,771,1680546,295083,1097494,318,195,20199,74161,298,109,274884,1023333,20,86,108310,2954246,7443,7935,214011,537,0,85,1,0,108,1
Alistipes_sp_60764,700105787,ERR912139,910,1684787,295924,1100195,392,219,27133,100308,365,128,268791,999887,27,91,105777,2886555,7329,10718,289516,690,0,90,1,0,128,0
Alistipes_sp_60764,700106333,ERR911967,1105,1686790,296152,1101539,468,301,32445,119642,408,181,263707,981897,60,120,104083,2834354,7254,12641,345472,813,1,117,2,3,176,2
Alistipes_sp_60764,700106333,ERR911972,1208,1689416,296616,1103334,514,316,50849,188664,460,200,245767,914670,54,116,97090,2640164,6756,19744,544907,1341,1,114,1,1,197,2
Alistipes_sp_60764,700106333,SRR2822459,1572,1686215,296106,1101202,626,425,81552,302075,572,275,214554,799127,54,150,84436,2307185,5760,32205,871764,2256,0,149,1,3,271,1
Alistipes_sp_60764,700108095,700108161,1922,1686051,296193,1101060,806,462,72365,271346,742,306,223828,829714,64,156,87945,2395167,6030,28610,783436,1992,1,155,0,1,304,1
Alistipes_sp_60764,700108095,700164735,1425,1684886,295942,1100285,565,348,45942,171606,521,235,250000,928679,44,113,98481,2680794,6762,18030,495552,1236,1,112,0,3,231,1
Alistipes_sp_60764,700108095,ERR911979,1848,1682437,295533,1098624,738,487,67893,250711,700,363,227640,847913,38,124,90073,2447294,6372,26270,724204,1659,3,121,0,2,360,1
Alistipes_sp_60764,700108095,ERR911997,1695,1688940,296677,1102972,672,450,62463,231104,628,327,234214,871868,44,123,92425,2516717,6462,24338,667396,1578,1,122,0,4,321,2
Alistipes_sp_60764,700108095,ERR912006,1682,1689314,296738,1103218,669,445,64790,239825,626,328,231948,863393,43,117,91557,2492193,6429,25230,692622,1623,1,116,0,5,321,2
Alistipes_sp_60764,700108095,ERR912008,1678,1688806,296651,1102873,666,450,66042,244447,630,331,230609,858426,36,119,91048,2477843,6387,25726,705953,1662,1,118,0,4,325,2
Alistipes_sp_60764,700108095,ERR912039,1690,1689275,296737,1103173,670,454,64714,239481,625,329,232023,863692,45,125,91602,2493042,6432,25198,691622,1623,2,123,0,4,323,2
Alistipes_sp_60764,700108095,ERR912040,1091,1687741,296451,1102168,443,264,32426,121458,402,181,264025,980710,41,83,103869,2831046,7215,12810,350727,837,1,82,0,2,178,1
Alistipes_sp_60764,700108095,ERR912051,1426,1686557,296236,1101406,558,367,43234,160932,500,237,253002,940474,58,130,99494,2715013,6915,17118,464553,1125,1,129,0,4,232,1
Alistipes_sp_60764,700108095,ERR912079,1439,1687253,296388,1101861,573,370,51607,191464,525,262,244781,910397,48,108,96550,2627915,6726,20109,552972,1311,1,107,0,3,258,1
Alistipes_sp_60764,700108095,ERR912081,1688,1689274,296736,1103182,671,449,67723,250589,628,331,229013,852593,43,118,90419,2461015,6345,26363,723691,1713,1,117,0,5,324,2
Alistipes_sp_60764,700108095,ERR912099,1690,1689142,296709,1103085,670,450,66033,244262,629,329,230676,858823,41,121,91108,2478992,6369,25679,705418,1689,1,120,0,5,322,2
Alistipes_sp_60764,700108095,ERR912112,1744,1688861,296661,1102941,698,466,70521,262700,651,337,226140,840241,47,129,89128,2425394,6201,27621,758631,1848,3,126,0,2,334,1
Alistipes_sp_60764,700108095,ERR912120,1177,1687573,296417,1102062,476,294,44631,167223,450,209,251786,934839,26,85,99081,2698551,6885,17598,482910,1161,1,84,0,2,206,1
Alistipes_sp_60764,700108095,ERR912121,1625,1688427,296591,1102609,637,430,55480,206203,594,310,241111,896406,43,120,95050,2587535,6633,21683,595504,1422,1,119,0,3,306,1
Alistipes_sp_60764,700108095,ERR912179,1484,1686469,296239,1101278,590,382,51069,189100,529,264,245170,912178,61,118,96899,2632897,6738,19753,546233,1314,2,116,0,2,261,1
