species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_stercoris_56735,SRR341650,700097906,16540,2133513,318727,1390227,6779,2955,184875,3978168,7638,10,2941,4
Bacteroides_stercoris_56735,SRR341691,700033922,15326,2190162,329698,1428544,6357,2824,187171,4090781,7680,11,2812,1
Bacteroides_stercoris_56735,ERR911974,700034254,19253,2187810,329773,1427078,8072,3291,186617,4087099,7518,11,3278,2
Bacteroides_stercoris_56735,700171916,700097196,17643,2149993,324392,1402128,7366,3048,183290,4015927,7167,11,3035,2
Bacteroides_stercoris_56735,700119165,SRR413614,25383,2149154,323882,1401664,10509,4472,183585,4014048,7359,14,4456,2
Bacteroides_stercoris_56735,SRR341690,ERR911990,15414,2174148,327144,1418034,6364,2851,186039,4060425,7638,13,2837,1
Bacteroides_stercoris_56735,700013603,SRR341640,23176,2091947,314692,1364368,9616,3888,179049,3906855,7200,9,3877,2
Bacteroides_stercoris_56735,700165778,700108095,19135,2190797,330356,1429049,8014,3240,186778,4092833,7536,11,3228,1
Bacteroides_stercoris_56735,700117755,ERR912066,26159,2184804,328787,1425039,10746,4510,186840,4080774,7503,17,4489,4
Bacteroides_stercoris_56735,700113114,ERR912182,25517,2206098,332394,1439111,10606,4422,188434,4121357,7542,14,4406,2
Bacteroides_stercoris_56735,700099746,700034254,18621,2162202,325858,1410462,7763,3223,184530,4039425,7431,16,3204,3
Bacteroides_stercoris_56735,700034166,SRR413587,16283,2199010,331199,1434382,6715,2944,187923,4107588,7635,11,2932,1
Bacteroides_stercoris_56735,ERR912095,700161532,13720,2184276,328242,1424508,5641,2415,187241,4078546,7737,11,2401,3
Bacteroides_stercoris_56735,700037501,SRR341624,15772,2170984,325897,1415192,6505,2795,186644,4051285,7647,12,2780,3
Bacteroides_stercoris_56735,700095486,700116248,23015,2134872,321241,1392345,9486,3993,182695,3987149,7191,16,3976,1
Bacteroides_stercoris_56735,SRR413566,700117682,19060,2177536,327833,1420246,7915,3271,186173,4067005,7560,12,3256,3
Bacteroides_stercoris_56735,700037868,SRR341638,20395,2170035,326298,1415244,8472,3513,185662,4052543,7527,15,3494,4
Bacteroides_stercoris_56735,700101534,SRR341646,23887,2109305,315564,1375031,9837,3902,181900,3935858,7335,9,3888,5
Bacteroides_stercoris_56735,SRR341645,700097837,21907,2108903,315995,1374185,9065,3638,182059,3933197,7299,13,3621,4
Bacteroides_stercoris_56735,700105306,ERR911969,25887,2134320,320520,1391592,10621,4446,183169,3984218,7389,11,4432,3
