species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Alistipes_finegoldii_56071,700024673,ERR912091,3229,1857196,329909,1213935,1353,752,48561,178859,1308,604,281348,1035076,45,148,113369,2985808,6051,20119,515432,1026,1,146,1,0,603,1
Alistipes_finegoldii_56071,700033153,ERR912091,3673,1792175,316040,1171229,1511,845,56808,210869,1460,677,259232,960360,51,168,106471,2768990,5619,23578,607835,1194,2,165,1,2,674,1
Alistipes_finegoldii_56071,700033502,700038761,2930,1707776,298733,1115332,1200,704,49858,185235,1139,543,248875,930097,61,161,104585,2680357,5349,20802,533736,1167,1,160,0,1,541,1
Alistipes_finegoldii_56071,700033502,ERR912091,2783,1768827,310724,1156201,1163,652,41975,156063,1119,538,268749,1000138,44,114,111320,2883367,5727,17444,449770,975,0,113,1,0,537,1
Alistipes_finegoldii_56071,700035373,ERR912091,3387,1876247,333711,1226996,1398,772,51451,188729,1348,623,282260,1038267,50,149,113557,2995025,6219,20684,544546,957,2,146,1,3,618,2
Alistipes_finegoldii_56071,700037123,700103477,2998,1859092,329994,1215272,1299,680,48946,180283,1233,533,281048,1034989,66,147,113897,2984779,6291,19676,520291,882,3,143,1,1,530,2
Alistipes_finegoldii_56071,700038761,700097291,2668,1739514,305491,1136019,1084,631,47470,175664,1037,506,258021,960355,47,125,107750,2767675,5640,19452,506553,987,1,123,1,2,503,1
Alistipes_finegoldii_56071,700038761,700106646,3159,1737107,304939,1134452,1307,707,48882,181994,1273,568,256057,952458,34,139,106938,2744733,5703,20161,524798,1023,0,138,1,1,566,1
Alistipes_finegoldii_56071,700038761,ERR912091,2005,1750823,307601,1143553,833,475,25469,94196,781,363,282132,1049357,52,112,117350,3024451,6270,10563,271503,522,2,109,1,1,362,0
Alistipes_finegoldii_56071,700097291,ERR912091,2687,1868952,332032,1221961,1117,625,46321,171745,1087,522,285711,1050216,30,103,114864,3029655,6129,19166,495175,894,0,101,2,2,519,1
Alistipes_finegoldii_56071,700102586,ERR912091,3061,1869596,332201,1222421,1318,699,45468,169582,1259,569,286733,1052839,59,130,115082,3037105,6330,18928,488945,873,0,129,1,0,568,1
Alistipes_finegoldii_56071,700106646,ERR912091,3063,1852812,328698,1211326,1297,675,47764,176933,1276,552,280934,1034393,21,123,113742,2983293,6144,19429,510416,954,1,122,0,0,551,1
Alistipes_finegoldii_56071,700161945,ERR912091,3203,1810162,319718,1182967,1395,735,55220,202772,1367,622,264498,980195,28,113,108925,2825843,5817,22341,584823,1152,0,110,3,0,619,3
