accession	organism	strain	assembly_level	assembly_name	release_date	biosample	bioproject	checkm_completeness	checkm_contamination	num_contigs	total_length	tier	covered_bp	n_snps
GCA_042852185.1	Alistipes putredinis	i15-0019-B4	Complete Genome	ASM4285218v1	2024-07-24	SAMD00758999	PRJDB17661	98.76	0.88	1	3051199	complete	2130838	19906
GCA_977039805.1	Alistipes putredinis		Scaffold	AGN044FE.219	2025-11-13	SAMEA120502614	PRJEB102291	96.55	1.31	153	2041937	hq	1762155	30887
GCF_000154465.1	Alistipes putredinis DSM 17216	DSM 17216	Scaffold	ASM15446v1	2007-11-01	SAMN00000002	PRJNA19655	98.76	0.3	20	2550678	vhq	2549878	0
GCF_015549455.1	Alistipes putredinis	1001287H_170206_F3	Scaffold	ASM1554945v1	2020-11-17	SAMN15532518	PRJNA637878	98.76	1.26	46	3123722	vhq	2217177	18910
GCF_015554085.1	Alistipes putredinis	1001262B_160229_H8	Scaffold	ASM1555408v1	2020-11-17	SAMN15532760	PRJNA637878	98.46	0.37	44	2426033	vhq	2147435	10779
GCF_018786185.1	Alistipes putredinis	MCC001	Scaffold	ASM1878618v1	2021-06-08	SAMN12147335	PRJNA548918	98.76	0.61	63	2622641	vhq	2233295	18465
GCF_019132025.1	Alistipes putredinis	DFI.5.5	Contig	ASM1913202v1	2021-07-06	SAMN19731841	PRJNA737800	98.76	0.9	29	2458158	vhq	2059141	13005
GCF_020555445.1	Alistipes putredinis	DFI.6.89	Contig	ASM2055544v1	2021-10-25	SAMN22167575	PRJNA737800	98.76	1.13	53	2769186	vhq	2115212	21858
GCF_022136045.1	Alistipes putredinis	DFI.6.57	Contig		2022-02-09	SAMN24726032	PRJNA792599	98.76	1.05	524	2872689	vhq	2114183	21859
GCF_024462405.1	Alistipes putredinis	DFI.6.34	Contig	ASM2446240v1	2022-07-27	SAMN28944536	PRJNA792599	98.76	1.48	265	2806976	vhq	2114271	21848
GCF_024462435.1	Alistipes putredinis	DFI.6.33	Contig	ASM2446243v1	2022-07-27	SAMN28944535	PRJNA792599	98.76	1.65	90	2777827	vhq	2115191	21859
GCF_040092015.1	Alistipes putredinis	CLA-JM-H21B	Contig	ASM4009201v1	2024-06-07	SAMN40631609	PRJNA996881	99.05	0.7	63	2645618	hq	2189541	20417
GCF_040092035.1	Alistipes putredinis	CLA-JM-H21	Contig	ASM4009203v1	2024-06-07	SAMN40631608	PRJNA996881	98.76	0.45	54	2612902	vhq	2037001	22368
GCF_040930045.1	Alistipes putredinis	RTP21277st1_H2_RTP21277_210401	Scaffold	ASM4093004v1	2024-07-27	SAMN41034992	PRJNA1093465	98.36	0.3	111	2596208	hq	1929475	31795
GCF_042848495.1	Alistipes putredinis	KML 24002	Scaffold	ASM4284849v1	2024-07-09	SAMD00794586	PRJDB18229	98.76	0.77	54	2781578	vhq	2320747	4726
GCF_042848715.1	Alistipes putredinis	KML 24009	Scaffold	ASM4284871v1	2024-07-09	SAMD00794593	PRJDB18229	98.76	0.6	59	2716859	vhq	1913326	22838
GCF_042854075.1	Alistipes putredinis	KML 24006	Scaffold	ASM4285407v1	2024-07-09	SAMD00794590	PRJDB18229	98.76	0.52	34	2544703	vhq	2296419	3825
GCF_905196785.1	Alistipes putredinis		Contig	ERR1600584-mag-bin.43	2021-02-03	SAMEA7846853	PRJEB37358	97.11	0.47	25	2165145	hq	1861503	26857
GCF_934835135.1	Alistipes putredinis		Scaffold	MTG233_bin.13.fa	2022-07-30	SAMEA13566704	PRJEB50699	97.26	0.6	20	2295819	hq	1872544	31509
GCF_934836185.1	Alistipes putredinis		Scaffold	MTG225_bin.22.fa	2022-07-30	SAMEA13566309	PRJEB50699	97.56	0.37	27	2405411	hq	2101374	9169
GCF_934839055.1	Alistipes putredinis		Scaffold	MTG226_bin.4.fa	2022-07-30	SAMEA13566337	PRJEB50699	98.76	0.37	28	2414557	vhq	2094306	8517
GCF_934839395.1	Alistipes putredinis		Scaffold	MTG232_bin.21.fa	2022-07-30	SAMEA13566658	PRJEB50699	98.16	0.6	21	2443923	vhq	1880221	32178
GCF_934841355.1	Alistipes putredinis		Scaffold	MTG224_bin.39.fa	2022-07-30	SAMEA13566275	PRJEB50699	98.46	1.83	195	2597520	vhq	2060422	8356
GCF_934842065.1	Alistipes putredinis		Scaffold	MTG229_bin.41.fa	2022-07-30	SAMEA13566516	PRJEB50699	96.97	0.37	30	2243995	hq	2003407	8223
GCF_934842235.1	Alistipes putredinis		Scaffold	MTG222_bin.42.fa	2022-07-30	SAMEA13566170	PRJEB50699	98.31	0.37	27	2350493	vhq	2055594	8418
GCF_934842545.1	Alistipes putredinis		Scaffold	MTG223_bin.11.fa	2022-07-30	SAMEA13566194	PRJEB50699	96.97	0.37	26	2339423	hq	2060727	8977
