accession	organism	strain	assembly_level	assembly_name	release_date	biosample	bioproject	checkm_completeness	checkm_contamination	num_contigs	total_length	tier	covered_bp	n_snps
GCF_000012825.1	Phocaeicola vulgatus ATCC 8482	ATCC 8482	Complete Genome	ASM1282v1	2007-06-27	SAMN02604309	PRJNA13378	99.94	1.06	1	5163189	complete	5163189	0
GCF_000273295.1	Phocaeicola vulgatus CL09T03C04	CL09T03C04	Scaffold	Bact_vulg_CL09T03C04_V1	2012-07-23	SAMN02463934	PRJNA64837	100	0.71	41	4916502	vhq	3823587	23807
GCF_000699845.1	Phocaeicola vulgatus str. 3775 SR(B) 19	3775 SR(B) 19	Contig	ASM69984v1	2014-06-09	SAMN02370947	PRJNA206133	99.82	0.71	193	5420066	vhq	3988734	20030
GCF_000699865.1	Phocaeicola vulgatus str. 3975 RP4	3975 RP4	Contig	ASM69986v1	2014-06-09	SAMN02370951	PRJNA206134	98.94	1.12	184	4989697	vhq	3727407	22321
GCF_002959625.1	Phocaeicola vulgatus	ATCC 8492	Contig	ASM295962v1	2018-02-27	SAMN08570054	PRJNA343143	99.76	0.35	35	5454768	vhq	5159703	67
GCF_003436175.1	Phocaeicola vulgatus	TM06-6	Scaffold	ASM343617v1	2018-08-31	SAMN09736998	PRJNA482748	100	0.35	143	5146969	vhq	4027565	26684
GCF_003436605.1	Phocaeicola vulgatus	TM04-10	Scaffold	ASM343660v1	2018-08-31	SAMN09736967	PRJNA482748	99.65	0.35	136	5051994	vhq	4068427	21794
GCF_003436855.1	Phocaeicola vulgatus	TF10-3	Scaffold	ASM343685v1	2018-08-31	SAMN09736935	PRJNA482748	100	0.35	107	4966975	vhq	4005930	19106
GCF_003437875.1	Phocaeicola vulgatus	TF05-18	Scaffold	ASM343787v1	2018-08-31	SAMN09736878	PRJNA482748	100	0.71	116	5062435	vhq	3777349	27002
GCF_003438765.1	Phocaeicola vulgatus	OM06-31AC	Scaffold	ASM343876v1	2018-08-31	SAMN09736824	PRJNA482748	99.65	0.12	162	4755585	hq	3874117	27888
GCF_003438835.1	Phocaeicola vulgatus	OM06-14	Scaffold	ASM343883v1	2018-08-31	SAMN09736816	PRJNA482748	99.65	0.12	144	4772657	hq	3874012	27874
GCF_003458385.1	Phocaeicola vulgatus	AF25-30LB	Scaffold	ASM345838v1	2018-09-05	SAMN09734500	PRJNA482748	99.65	0.18	329	5408603	hq	3950653	29507
GCF_003459365.1	Phocaeicola vulgatus	AF21-45	Scaffold	ASM345936v1	2018-09-05	SAMN09734432	PRJNA482748	100	1.42	137	4940631	vhq	3896284	24276
GCF_003459535.1	Phocaeicola vulgatus	AF20-10	Scaffold	ASM345953v1	2018-09-05	SAMN09734407	PRJNA482748	100	0.06	203	4853285	hq	3947586	21444
GCF_003459715.1	Phocaeicola vulgatus	AF19-16	Scaffold	ASM345971v1	2018-09-05	SAMN09734382	PRJNA482748	100	0.71	170	5104182	hq	3771654	24920
GCF_003460125.1	Phocaeicola vulgatus	AF20-1LB	Scaffold	ASM346012v1	2018-09-05	SAMN09734413	PRJNA482748	100	0.35	158	4896085	hq	4042827	23348
GCF_003465015.1	Phocaeicola vulgatus	AF12-25	Scaffold	ASM346501v1	2018-09-06	SAMN09734217	PRJNA482748	100	0.35	137	5195636	vhq	4015591	23933
GCF_003466785.1	Phocaeicola vulgatus	AM44-21	Scaffold	ASM346678v1	2018-09-06	SAMN09736584	PRJNA482748	100	0.71	107	5111905	vhq	3861009	27828
GCF_003466945.1	Phocaeicola vulgatus	AM43-4BH	Scaffold	ASM346694v1	2018-09-06	SAMN09736569	PRJNA482748	100	0.02	196	5155765	vhq	4068692	19817
GCF_003467565.1	Phocaeicola vulgatus	AM38-19	Scaffold	ASM346756v1	2018-09-06	SAMN09736503	PRJNA482748	99.65	0.12	136	5106187	vhq	3964347	20114
GCF_003468905.1	Phocaeicola vulgatus	AM30-40	Scaffold	ASM346890v1	2018-09-06	SAMN09736417	PRJNA482748	100	0.35	310	5529599	hq	3966143	35851
GCF_003469525.1	Phocaeicola vulgatus	AM28-1	Scaffold	ASM346952v1	2018-09-06	SAMN09736364	PRJNA482748	100	0.35	104	4817791	vhq	3846734	27916
GCF_003471775.1	Phocaeicola vulgatus	AM16-6	Scaffold	ASM347177v1	2018-09-06	SAMN09734840	PRJNA482748	100	0.35	145	5075555	vhq	3874371	25340
GCF_003473265.1	Phocaeicola vulgatus	AM09-18	Scaffold	ASM347326v1	2018-09-06	SAMN09734752	PRJNA482748	100	0.35	212	5412187	hq	3837792	27197
GCF_003475435.1	Phocaeicola vulgatus	AF31-3	Scaffold	ASM347543v1	2018-09-06	SAMN09734583	PRJNA482748	99.65	0.18	210	5112322	hq	4056587	24297
GCF_003475695.1	Phocaeicola vulgatus	AF34-15	Scaffold	ASM347569v1	2018-09-06	SAMN09734611	PRJNA482748	99.65	0.35	81	4679233	vhq	3824640	24143
GCF_003568805.2	Phocaeicola vulgatus	CL10T00C06	Scaffold	ASM356880v2	2018-09-13	SAMN07572298	PRJNA400641	100	0.19	277	4918368	hq	3905317	27452
GCF_004167625.1	Phocaeicola vulgatus	am_0224	Contig	ASM416762v1	2019-02-11	SAMN10239575	PRJNA496358	99.65	0.65	100	5352199	vhq	3944549	32707
GCF_007556395.1	Phocaeicola vulgatus	CL14T03C19	Scaffold	ASM755639v1	2019-07-26	SAMN10477097	PRJNA506943	100	0.37	271	5312574	hq	4023246	29611
GCF_007556405.1	Phocaeicola vulgatus	CL01T12C17	Scaffold	ASM755640v1	2019-07-26	SAMN10476933	PRJNA506941	100	0.37	178	5294760	hq	4002210	29190
GCF_008728395.1	Phocaeicola vulgatus	VIC01	Complete Genome	ASM872839v1	2019-09-30	SAMN12645879	PRJNA562608	97.99	0.24	1	5010342	complete	3846791	27843
GCF_009025375.1	Phocaeicola vulgatus	ANK132K_3B	Contig	ASM902537v1	2019-10-14	SAMN12414687	PRJNA557692	99.65	0.13	148	5448501	vhq	4240084	18830
GCF_012976275.1	Phocaeicola vulgatus	VPI-4025	Contig	ASM1297627v1	2020-05-05	SAMN14525944	PRJNA622758	100	0.35	111	5140844	hq	3858749	28279
GCF_012976295.1	Phocaeicola vulgatus	VPI-BV8526	Scaffold	ASM1297629v1	2020-05-05	SAMN14525947	PRJNA622758	100	0.35	140	5450031	hq	4003712	31730
GCF_012976745.1	Phocaeicola vulgatus	DH4096S	Contig	ASM1297674v1	2020-05-05	SAMN14525943	PRJNA622758	99.56	0.35	81	5039783	vhq	3954294	28502
GCF_013368705.1	Phocaeicola vulgatus	B33	Scaffold	ASM1336870v1	2020-06-23	SAMN14408538	PRJNA613498	99.27	3.61	842	5510537	hq	4165985	14096
GCF_015549725.1	Phocaeicola vulgatus	D41t1_190614_G1	Scaffold	ASM1554972v1	2020-11-17	SAMN15533343	PRJNA637878	100	0.18	228	5155725	hq	3917896	27245
GCF_015553265.1	Phocaeicola vulgatus	BSD2780120875b_170604_A6	Scaffold	ASM1555326v1	2020-11-17	SAMN15532685	PRJNA637878	100	0.35	124	4968374	hq	3772640	21883
GCF_015555055.1	Phocaeicola vulgatus	1001283B150304_161114_D8	Scaffold	ASM1555505v1	2020-11-17	SAMN15532766	PRJNA637878	99.65	0.43	131	5428890	vhq	4091741	31875
GCF_015555645.1	Phocaeicola vulgatus	1001095H_141210_B11	Scaffold	ASM1555564v1	2020-11-17	SAMN15532642	PRJNA637878	99.65	0.35	151	5243663	hq	4112943	14950
GCF_015557505.1	Phocaeicola vulgatus	D53t1_180928_A4	Scaffold	ASM1555750v1	2020-11-17	SAMN15634166	PRJNA637878	99.27	1.59	462	4619110	hq	3803095	24319
GCF_015559705.1	Phocaeicola vulgatus	1001302B_160321_H5	Scaffold	ASM1555970v1	2020-11-17	SAMN15533294	PRJNA637878	100	0.35	103	5219329	vhq	3844335	24285
GCF_015559725.1	Phocaeicola vulgatus	D52t1_170925_H2	Scaffold	ASM1555972v1	2020-11-17	SAMN15532873	PRJNA637878	99.29	0.35	97	4842586	hq	3966281	17974
GCF_015561035.1	Phocaeicola vulgatus	D40t1_170626_C2	Scaffold	ASM1556103v1	2020-11-17	SAMN15533315	PRJNA637878	100	0.12	150	5689505	hq	3875760	28723
GCF_015667615.1	Phocaeicola vulgatus	1001287H_170206_E1	Scaffold	ASM1566761v1	2020-11-23	SAMN15533157	PRJNA637878	100	0.35	129	5391288	hq	4015691	31920
GCF_015667825.1	Phocaeicola vulgatus	1001713B170221_170320_E11	Contig	ASM1566782v1	2020-11-23	SAMN15532957	PRJNA637878	99.59	0.84	536	4978558	hq	3836793	20469
GCF_015668525.1	Phocaeicola vulgatus	1001095H_141210_H7	Contig	ASM1566852v1	2020-11-23	SAMN15532741	PRJNA637878	98.58	1.42	534	5044012	hq	3811424	26186
GCF_016766915.1	Phocaeicola vulgatus	FDAARGOS_1098	Chromosome	ASM1676691v1	2021-01-28	SAMN16357267	PRJNA231221	100	1.06	1	5141011	vhq	5161901	87
GCF_018289355.1	Phocaeicola vulgatus	CL06T03C24	Complete Genome	ASM1828935v1	2021-05-06	SAMN16451191	PRJNA669351	99.88		2	5306031	complete	4150321	31856
GCF_019041415.1	Phocaeicola vulgatus	MSK.8.30	Contig		2021-06-27	SAMN19732217	PRJNA737800	99.65	0.47	248	5489325	hq	4130908	19435
GCF_019041435.1	Phocaeicola vulgatus	MSK.8.9	Contig		2021-06-27	SAMN19732224	PRJNA737800	99.65	0.47	252	5480937	hq	4128709	19398
GCF_019041515.1	Phocaeicola vulgatus	MSK.8.31	Contig		2021-06-27	SAMN19732218	PRJNA737800	99.65	0.47	254	5498148	hq	4132449	19447
GCF_019041535.1	Phocaeicola vulgatus	MSK.9.7	Contig		2021-06-27	SAMN19732227	PRJNA737800	99.94	0.35	184	5354974	hq	4158260	14354
GCF_019041605.1	Phocaeicola vulgatus	MSK.8.17	Contig		2021-06-27	SAMN19732210	PRJNA737800	99.65	0.47	243	5496305	hq	4130476	19457
GCF_019041655.1	Phocaeicola vulgatus	MSK.8.34	Contig		2021-06-27	SAMN19732220	PRJNA737800	99.65	0.83	241	5416577	hq	4130669	19422
GCF_019041715.1	Phocaeicola vulgatus	MSK.8.25	Contig		2021-06-27	SAMN19732214	PRJNA737800	99.65	0.47	251	5491817	hq	4126806	19423
GCF_019041755.1	Phocaeicola vulgatus	MSK.7.27	Contig		2021-06-27	SAMN19732201	PRJNA737800	99.65	0.59	232	5496515	hq	4128224	19557
GCF_019041765.1	Phocaeicola vulgatus	MSK.7.15	Contig		2021-06-27	SAMN19732195	PRJNA737800	99.65	0.47	254	5500183	hq	4132610	19274
GCF_019041815.1	Phocaeicola vulgatus	MSK.8.24	Contig		2021-06-27	SAMN19732213	PRJNA737800	99.65	0.47	254	5488120	hq	4130830	19415
GCF_019041855.1	Phocaeicola vulgatus	MSK.7.25	Contig		2021-06-27	SAMN19732200	PRJNA737800	99.65	0.35	243	5479380	hq	4129951	19406
GCF_019042015.1	Phocaeicola vulgatus	MSK.9.20	Contig		2021-06-27	SAMN19732226	PRJNA737800	99.65	0.41	215	5335520	hq	3958570	19102
GCF_019042195.1	Phocaeicola vulgatus	SL.1.05	Contig		2021-06-27	SAMN19732237	PRJNA737800	99.29	0.01	154	5040743	vhq	3856739	22408
GCF_019127815.1	Phocaeicola vulgatus	MSK.20.41	Contig	ASM1912781v1	2021-07-05	SAMN19732054	PRJNA737800	100	0.35	190	5481368	vhq	4034507	20310
GCF_019127895.1	Phocaeicola vulgatus	MSK.20.27	Contig	ASM1912789v1	2021-07-05	SAMN19732045	PRJNA737800	100	0.35	195	5487892	vhq	4034117	20305
GCF_019128075.1	Phocaeicola vulgatus	MSK.19.95	Contig	ASM1912807v1	2021-07-05	SAMN19732042	PRJNA737800	100	0.71	217	5248638	hq	3966150	38278
GCF_019128215.1	Phocaeicola vulgatus	MSK.19.86	Contig	ASM1912821v1	2021-07-05	SAMN19732037	PRJNA737800	100	0.71	205	5325342	hq	4076015	26448
GCF_019128325.1	Phocaeicola vulgatus	MSK.19.85	Contig	ASM1912832v1	2021-07-05	SAMN19732036	PRJNA737800	99.65	0.35	191	5066578	hq	3968012	26510
GCF_019128415.1	Phocaeicola vulgatus	MSK.19.45	Contig	ASM1912841v1	2021-07-05	SAMN19732022	PRJNA737800	100	0.71	207	5249006	hq	3964952	38284
