species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_vulgatus_57955,700016456,700038493,47,1441946,200067,937077,9,30,145747,2661002,4482,4,26,0
Bacteroides_vulgatus_57955,700016765,700113705,30,1928585,268939,1253330,6,18,193320,3560397,6273,0,18,0
Bacteroides_vulgatus_57955,700016765,SRR341721,29,1933072,269480,1256242,4,15,193883,3568561,6282,0,15,0
Bacteroides_vulgatus_57955,700016765,SRR413643,33,1940778,270779,1261289,6,18,194536,3583040,6291,1,17,0
Bacteroides_vulgatus_57955,700023188,700024233,55,1917681,267099,1246135,6,32,192132,3539847,6426,2,30,0
Bacteroides_vulgatus_57955,700023267,ERR911968,25,1474072,204311,957933,5,16,148733,2720491,4575,1,15,0
Bacteroides_vulgatus_57955,700024545,700035533,14,1386018,192303,900388,4,8,139693,2557004,4467,0,8,0
Bacteroides_vulgatus_57955,700024545,700106465,8,1404737,194753,912668,2,6,141635,2591881,4488,1,5,0
Bacteroides_vulgatus_57955,700024545,700108840,17,1412945,195893,918111,3,12,142395,2607627,4311,0,12,0
Bacteroides_vulgatus_57955,700024545,ERR911977,17,1417284,196431,920822,2,8,142806,2615274,4386,0,8,0
Bacteroides_vulgatus_57955,700024545,ERR911999,29,1423118,197294,924623,7,17,143448,2625987,4434,1,16,0
Bacteroides_vulgatus_57955,700035533,700106465,14,1426558,198189,926918,4,8,143686,2632523,4545,1,7,0
Bacteroides_vulgatus_57955,700035533,700108840,21,1452889,202206,944112,3,15,146046,2681901,4389,0,15,0
Bacteroides_vulgatus_57955,700035533,700116296,118,1427418,198560,927514,45,24,143544,2634570,4428,0,24,0
Bacteroides_vulgatus_57955,700035533,ERR911977,21,1456332,202637,946267,2,10,146400,2687937,4464,0,10,0
Bacteroides_vulgatus_57955,700035533,ERR911999,40,1459922,203175,948565,9,19,146800,2694374,4521,1,18,0
Bacteroides_vulgatus_57955,700037042,ERR912181,37,1497176,207893,972945,3,28,150881,2763361,4593,3,25,0
Bacteroides_vulgatus_57955,700105312,700172279,5,1941575,270783,1261596,2,1,194491,3583862,6435,0,1,0
Bacteroides_vulgatus_57955,700106465,700108840,18,1473207,204422,957405,3,14,148505,2719255,4455,1,13,0
Bacteroides_vulgatus_57955,700106465,ERR911977,18,1478784,205120,960962,2,9,149047,2729297,4542,1,8,0
Bacteroides_vulgatus_57955,700106465,ERR911999,29,1485219,206087,965127,7,17,149736,2741034,4611,2,15,0
Bacteroides_vulgatus_57955,700108840,ERR911977,25,1927765,269094,1253275,1,13,192772,3561542,5511,0,13,0
Bacteroides_vulgatus_57955,700108840,ERR911999,35,1930570,269527,1255144,3,23,193076,3566815,5541,2,21,0
Bacteroides_vulgatus_57955,700113705,SRR341721,31,1940898,270425,1261268,6,17,194568,3582768,6468,0,17,0
Bacteroides_vulgatus_57955,700113705,SRR413643,30,1948848,271792,1266477,8,18,195222,3597738,6471,1,17,0
Bacteroides_vulgatus_57955,700167759,SRR341632,26,1918442,266580,1246658,2,17,192538,3541118,6318,2,15,0
Bacteroides_vulgatus_57955,700167759,SRR413579,26,1937965,270473,1259427,4,14,193720,3578195,6366,1,13,0
Bacteroides_vulgatus_57955,700167759,SRR413601,42,1937658,270410,1259242,2,29,193698,3577662,6366,2,27,0
Bacteroides_vulgatus_57955,SRR341624,SRR341648,14,1998604,278164,1298781,2,9,200660,3689059,6624,0,9,0
Bacteroides_vulgatus_57955,SRR341632,SRR413579,32,2006534,279216,1303995,4,22,201356,3704038,6591,1,21,0
Bacteroides_vulgatus_57955,SRR341632,SRR413601,37,2006396,279162,1303937,2,31,201350,3703867,6594,2,29,0
Bacteroides_vulgatus_57955,SRR341633,ERR912142,52,1406487,194545,913805,4,30,142283,2594731,4401,0,30,0
Bacteroides_vulgatus_57955,SRR341693,SRR413592,19,1448213,200913,941082,4,10,145813,2672999,4434,0,10,0
Bacteroides_vulgatus_57955,SRR341693,SRR413617,18,1493613,207300,970717,2,8,150204,2757465,4482,0,8,0
Bacteroides_vulgatus_57955,SRR341696,SRR413665,34,2034040,283938,1321946,8,21,203514,3755604,6720,0,20,1
Bacteroides_vulgatus_57955,SRR341699,SRR341709,29,2039899,284954,1325816,5,19,204022,3766766,6660,0,19,0
Bacteroides_vulgatus_57955,SRR341699,SRR341713,71,2038933,284707,1325202,16,38,203990,3764956,6660,0,38,0
Bacteroides_vulgatus_57955,SRR341699,SRR413604,30,2039906,284977,1325844,5,18,204019,3766874,6639,0,18,0
Bacteroides_vulgatus_57955,SRR341709,SRR341713,78,2039028,284735,1325266,17,47,203985,3765144,6669,0,47,0
Bacteroides_vulgatus_57955,SRR341709,SRR413604,29,2040322,285066,1326125,4,22,204034,3767684,6657,0,22,0
Bacteroides_vulgatus_57955,SRR341713,SRR413604,79,2043845,285508,1328411,17,46,204434,3774142,6657,0,46,0
Bacteroides_vulgatus_57955,SRR341721,SRR413643,42,2029268,283329,1318903,8,17,203092,3746948,6669,1,16,0
Bacteroides_vulgatus_57955,SRR413579,SRR413601,44,2027908,283466,1318016,4,30,202688,3744724,6636,1,29,0
Bacteroides_vulgatus_57955,SRR413592,SRR413617,31,1482544,205557,963516,8,10,149394,2736705,4449,0,10,0
Bacteroides_vulgatus_57955,SRR413593,SRR413666,34,1928152,268961,1253719,6,20,192983,3562669,5505,2,17,1
Bacteroides_vulgatus_57955,SRR413593,ERR912000,39,1934115,269773,1257561,6,22,193561,3573506,5616,0,22,0
Bacteroides_vulgatus_57955,SRR413597,SRR413606,37,1987148,277824,1291667,7,20,198742,3669707,6552,1,19,0
Bacteroides_vulgatus_57955,SRR413603,SRR413610,44,1907895,266611,1240744,8,28,190674,3526290,5268,0,28,0
Bacteroides_vulgatus_57955,SRR413603,ERR912100,73,1938829,270669,1260681,18,36,194068,3582449,5526,0,36,0
Bacteroides_vulgatus_57955,SRR413619,SRR413628,33,2040614,285194,1326252,9,19,204005,3768106,6645,2,17,0
Bacteroides_vulgatus_57955,SRR413666,ERR912000,33,1941803,271076,1262491,6,19,194251,3587633,5589,2,16,1
Bacteroides_vulgatus_57955,ERR911977,ERR911999,38,1945384,271529,1264631,7,15,194546,3593704,5643,2,13,0
Bacteroides_vulgatus_57955,ERR911993,ERR912008,31,2038125,284845,1324679,4,22,203803,3763538,6696,1,21,0
Bacteroides_vulgatus_57955,ERR912035,ERR912201,17,1546445,214574,1005109,6,6,155855,2854792,4680,0,6,0
Bacteroides_vulgatus_57955,ERR912068,ERR912161,12,1534058,213029,996832,3,5,154560,2831214,4722,0,5,0
Bacteroides_vulgatus_57955,ERR912087,ERR912192,74,2045224,285872,1329243,11,50,204361,3776591,6777,1,49,0
Bacteroides_vulgatus_57955,ERR912093,mickey3-11-30-0_,48,2020901,282404,1313401,7,27,202010,3731518,6675,1,26,0
