species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_ovatus_58035,700113616,700037539,6255,789345,112019,514430,2506,1155,77743,1463201,2346,5,1150,0
Bacteroides_ovatus_58035,700097196,700111745,5043,845754,120410,551408,1933,1014,82774,1569170,2280,3,1011,0
Bacteroides_ovatus_58035,700166262,700033922,5881,846505,120359,552006,2374,1009,83066,1570567,2385,3,1005,1
Bacteroides_ovatus_58035,700161342,ERR911997,6150,885669,125873,577489,2494,1011,86843,1643029,2595,4,1007,0
Bacteroides_ovatus_58035,700116401,700034794,4784,800979,113575,522067,1867,933,78908,1484974,2319,3,930,0
Bacteroides_ovatus_58035,700117828,700023720,4615,857350,121938,558944,1858,916,84161,1590130,2541,5,911,0
Bacteroides_ovatus_58035,700164891,700172132,5170,864963,122893,563932,2025,1027,84804,1604433,2559,1,1026,0
Bacteroides_ovatus_58035,700171648,700122108,4668,825477,117028,538116,1883,877,81224,1530733,2391,3,874,0
Bacteroides_ovatus_58035,700116730,700100540,5558,841160,119537,548382,2212,975,82634,1560088,2424,2,973,0
Bacteroides_ovatus_58035,700023872,700114218,4491,819020,116356,533890,1790,902,80500,1518785,2385,2,899,1
Bacteroides_ovatus_58035,700109564,700033922,4906,833307,118350,543191,1966,905,81899,1545241,2433,3,902,0
Bacteroides_ovatus_58035,700023267,ERR912150,5424,827174,117302,539238,2126,1009,81464,1533799,2451,4,1005,0
Bacteroides_ovatus_58035,700024673,700172927,5130,774360,109855,504770,2033,1012,75926,1436101,2283,3,1009,0
Bacteroides_ovatus_58035,700024086,700116201,6570,802134,113821,522928,2587,1179,78620,1487803,2361,2,1176,1
Bacteroides_ovatus_58035,700172461,SRR413618,5735,780637,110721,508950,2278,1042,76628,1447921,2301,5,1037,0
Bacteroides_ovatus_58035,ERR912187,700107930,5168,827467,117509,539463,2072,986,81359,1534633,2397,2,984,0
Bacteroides_ovatus_58035,ERR912038,700166262,5187,835161,118712,544482,2092,1005,81995,1549120,2331,4,1000,1
Bacteroides_ovatus_58035,700103710,700023337,5234,791238,112237,515631,2049,1018,77846,1466734,2313,3,1015,0
Bacteroides_ovatus_58035,700122860,700095213,4901,874083,124244,569830,1989,857,85783,1621160,2547,2,855,0
Bacteroides_ovatus_58035,700173119,700016542,5055,823588,117028,536929,2004,913,80891,1527532,2364,2,911,0
