species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Roseburia_inulinivorans_61943,SRR413653,SRR413643,20890,1701289,235551,1112115,8332,3686,170494,3159557,6294,17,3666,3
Roseburia_inulinivorans_61943,SRR413666,700037453,20087,1737615,240664,1135858,8079,3586,173977,3227084,6513,22,3561,3
Roseburia_inulinivorans_61943,700165778,SRR413606,20638,1755454,243496,1147630,8435,3649,175481,3260920,6489,14,3632,3
Roseburia_inulinivorans_61943,700037868,SRR413643,21061,1734914,240059,1134265,8416,3765,173948,3222427,6420,16,3746,3
Roseburia_inulinivorans_61943,SRR413575,ERR912062,23855,1711992,237012,1119187,9573,4173,171598,3179585,6378,16,4154,3
Roseburia_inulinivorans_61943,700023066,SRR341723,20975,1721750,237642,1125394,8436,3687,172597,3197153,6432,20,3663,4
Roseburia_inulinivorans_61943,ERR912062,700023578,20632,1774075,245074,1159780,8278,3709,178130,3294487,6723,19,3682,8
Roseburia_inulinivorans_61943,SRR413665,SRR413649,21146,1731545,240122,1132217,8613,3657,173124,3217107,6420,14,3640,3
Roseburia_inulinivorans_61943,SRR413627,SRR341628,20168,1572344,216231,1027827,8100,3490,158220,2919393,5868,15,3473,2
Roseburia_inulinivorans_61943,700165778,ERR912132,20773,1768575,245199,1156004,8365,3776,177016,3284351,6645,22,3751,3
Roseburia_inulinivorans_61943,700037868,700037453,20093,1779193,246111,1163156,8081,3606,178316,3304444,6708,20,3582,4
Roseburia_inulinivorans_61943,SRR413666,ERR912183,20689,1750929,242667,1144583,8450,3509,175317,3251922,6510,15,3491,3
Roseburia_inulinivorans_61943,SRR413653,ERR912183,19846,1754808,242943,1147089,8101,3435,175907,3258856,6504,16,3418,1
Roseburia_inulinivorans_61943,SRR413575,SRR413633,21927,1693423,234522,1107062,8889,3814,169709,3145225,6252,13,3800,1
Roseburia_inulinivorans_61943,700033435,SRR413651,20699,1698531,234806,1110451,8376,3510,170369,3154696,6288,13,3494,3
Roseburia_inulinivorans_61943,ERR912062,SRR413651,21465,1725621,239189,1128187,8685,3761,172768,3205367,6426,22,3734,5
Roseburia_inulinivorans_61943,SRR413628,ERR912062,25456,1670903,231673,1092692,10419,4321,167476,3104507,6093,18,4296,7
Roseburia_inulinivorans_61943,SRR341649,700105372,18434,1675379,228996,1094770,7346,3232,170588,3107413,6309,15,3217,0
Roseburia_inulinivorans_61943,SRR413628,SRR413651,23373,1623223,225347,1061602,9590,3901,162555,3016395,5856,21,3877,3
Roseburia_inulinivorans_61943,ERR912059,SRR413651,21537,1727346,239284,1129369,8776,3786,172882,3208775,6450,20,3761,5
