species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_massiliensis_44749,700013603,700014837,85,2309532,323981,1502749,13,58,230021,4269577,8649,1,57,0
Bacteroides_massiliensis_44749,700013603,700016000,97,2314788,324813,1506210,20,58,230495,4279516,8619,0,58,0
Bacteroides_massiliensis_44749,700013603,700016716,77,2310157,324213,1503162,10,54,230048,4270861,8577,0,54,0
Bacteroides_massiliensis_44749,700013603,700023337,84,2313498,324533,1505335,17,56,230458,4276895,8652,1,55,0
Bacteroides_massiliensis_44749,700013603,700034926,73,2310646,324090,1503480,10,51,230181,4271637,8622,1,49,1
Bacteroides_massiliensis_44749,700013603,700171390,88,2311019,324201,1503747,12,57,230195,4272412,8634,0,57,0
Bacteroides_massiliensis_44749,700013672,700105049,86,2297470,321981,1494801,17,52,229003,4246724,8676,0,52,0
Bacteroides_massiliensis_44749,700014837,700016000,90,2314755,324596,1506110,18,55,230628,4278978,8724,1,54,0
Bacteroides_massiliensis_44749,700014837,700016716,67,2312100,324256,1504364,9,43,230380,4274018,8694,1,42,0
Bacteroides_massiliensis_44749,700014837,700023337,74,2315773,324614,1506740,16,45,230830,4280600,8790,2,43,0
Bacteroides_massiliensis_44749,700014837,700034926,69,2314024,324358,1505616,9,46,230658,4277424,8766,2,43,1
Bacteroides_massiliensis_44749,700014837,700171390,77,2312627,324175,1504700,11,45,230518,4274810,8772,1,44,0
Bacteroides_massiliensis_44749,700015250,SRR413589,113,2306895,323349,1501009,20,67,229894,4264442,8691,0,66,1
Bacteroides_massiliensis_44749,700016000,700016716,82,2315362,324827,1506511,15,51,230638,4280255,8640,0,51,0
Bacteroides_massiliensis_44749,700016000,700023337,86,2318903,325167,1508815,20,52,231076,4286645,8724,1,51,0
Bacteroides_massiliensis_44749,700016000,700034926,77,2315893,324704,1506856,13,49,230784,4281084,8700,1,47,1
Bacteroides_massiliensis_44749,700016000,700171390,94,2315927,324764,1506904,17,55,230779,4281230,8703,0,55,0
Bacteroides_massiliensis_44749,700016716,700023337,67,2315530,324724,1506595,12,44,230762,4280326,8697,1,43,0
Bacteroides_massiliensis_44749,700016716,700034926,63,2313365,324378,1505194,6,44,230548,4276364,8670,1,42,1
Bacteroides_massiliensis_44749,700016716,700171390,73,2312576,324322,1504689,8,46,230480,4274920,8667,0,46,0
Bacteroides_massiliensis_44749,700021824,SRR413662,110,2318210,324991,1508350,14,78,231058,4285142,8850,1,77,0
Bacteroides_massiliensis_44749,700023337,700034926,65,2317025,324765,1507567,11,43,230988,4282950,8763,2,40,1
Bacteroides_massiliensis_44749,700023337,700171390,76,2316680,324750,1507363,15,43,230952,4282374,8763,1,42,0
Bacteroides_massiliensis_44749,700023872,700095717,117,2329498,326774,1515670,18,84,232097,4306015,8898,1,83,0
Bacteroides_massiliensis_44749,700024024,SRR2822459,148,2306264,323204,1500619,23,96,229866,4263285,8706,2,94,0
Bacteroides_massiliensis_44749,700024234,700105580,74,2305246,323012,1499848,11,55,229936,4260851,8757,3,52,0
Bacteroides_massiliensis_44749,700024234,SRR413566,85,2308525,323655,1501976,16,59,230141,4267000,8787,1,58,0
Bacteroides_massiliensis_44749,700034081,700111296,194,2313925,324545,1505574,28,132,230522,4277380,8820,5,127,0
Bacteroides_massiliensis_44749,700034926,700171390,70,2313722,324304,1505433,8,43,230670,4276887,8742,1,41,1
Bacteroides_massiliensis_44749,700097234,700164249,125,2293406,321889,1492346,28,76,228258,4240332,8448,2,74,0
Bacteroides_massiliensis_44749,700097234,SRR413589,101,2290747,321488,1490591,17,62,228005,4235359,8409,1,61,0
Bacteroides_massiliensis_44749,700102586,700109449,63,2312299,324330,1504435,10,39,230376,4274217,8712,3,35,1
Bacteroides_massiliensis_44749,700105580,SRR413566,97,2314744,324340,1506110,19,63,230843,4278697,8790,2,61,0
Bacteroides_massiliensis_44749,700164249,SRR413589,131,2305681,323244,1500197,25,75,229799,4262101,8691,1,73,1
Bacteroides_massiliensis_44749,700167759,SRR413651,38,2318443,325237,1508505,5,24,230998,4285772,8745,4,20,0
Bacteroides_massiliensis_44749,SRR341691,SRR341709,31,2313803,324297,1505440,5,21,230623,4276886,8811,0,21,0
Bacteroides_massiliensis_44749,SRR341691,SRR341717,18,2317918,324911,1508117,4,11,231040,4284509,8802,0,11,0
Bacteroides_massiliensis_44749,SRR341699,SRR341700,25,2278499,319371,1482557,3,12,226951,4212110,8610,0,12,0
Bacteroides_massiliensis_44749,SRR341709,SRR341717,38,2313555,324285,1505268,7,25,230579,4276408,8817,0,25,0
