species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_xylanisolvens_57185,700021123,700102905,4956,476798,66985,310416,2079,769,47461,882371,1416,2,767,0
Bacteroides_xylanisolvens_57185,ERR912071,700024930,4565,432980,60875,281566,1816,809,43458,799920,1320,5,804,0
Bacteroides_xylanisolvens_57185,700111296,700164450,4023,475854,66956,309627,1586,680,47672,879742,1467,2,677,1
Bacteroides_xylanisolvens_57185,700161743,700103477,3643,374665,52044,243501,1394,624,37915,691415,1173,0,624,0
Bacteroides_xylanisolvens_57185,700105940,700106876,4476,478006,67496,311148,1892,688,47631,884346,1467,3,685,0
Bacteroides_xylanisolvens_57185,ERR912163,700021123,4965,479132,67320,311846,2039,782,47714,886390,1434,3,777,2
Bacteroides_xylanisolvens_57185,700172132,700105940,200,17872,2456,11675,75,22,1712,33253,60,0,22,0
Bacteroides_xylanisolvens_57185,SRR413575,700166262,5864,519608,73562,338376,2386,910,51430,962195,1503,3,905,2
Bacteroides_xylanisolvens_57185,700034254,700099002,4588,495306,70021,322475,1892,667,49158,916800,1467,3,664,0
Bacteroides_xylanisolvens_57185,700172132,700096700,190,17366,2401,11331,75,16,1651,32276,66,0,16,0
Bacteroides_xylanisolvens_57185,700101916,700166862,4768,486896,68602,316959,1919,770,48448,900995,1434,2,767,1
Bacteroides_xylanisolvens_57185,700172221,700165530,4059,439370,61917,285964,1653,608,43658,812881,1353,3,604,1
Bacteroides_xylanisolvens_57185,ERR912052,700105940,4624,476182,67042,309998,1924,732,47406,881124,1464,1,731,0
Bacteroides_xylanisolvens_57185,700111223,700033435,4719,487291,68579,317009,1867,786,48744,900777,1506,3,783,0
Bacteroides_xylanisolvens_57185,700103477,700122042,3679,357821,49829,232570,1466,561,35962,660602,1146,0,561,0
Bacteroides_xylanisolvens_57185,700015857,ERR912187,4202,508391,71527,330826,1690,616,50651,940297,1530,3,612,1
Bacteroides_xylanisolvens_57185,700103477,700161856,3661,363860,50453,236457,1504,590,36993,671205,1173,2,588,0
Bacteroides_xylanisolvens_57185,700120572,700099803,3032,367370,51710,238946,1238,460,36386,679471,981,3,457,0
Bacteroides_xylanisolvens_57185,700101366,700099002,4080,460560,65177,299863,1721,623,45713,852646,1230,1,622,0
Bacteroides_xylanisolvens_57185,ERR912191,700101916,5058,496997,69947,323553,2014,834,49461,919686,1512,1,832,1
