species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Oscillibacter_sp_60799,700122108,700105580,7788,796239,137147,524029,3245,1875,54167,1514725,3195,5,1870,0
Oscillibacter_sp_60799,700035237,ERR912137,9852,948011,165743,625676,4160,2445,62525,1810690,3813,7,2437,1
Oscillibacter_sp_60799,700116568,ERR912145,12210,924289,161633,609957,5175,2788,61001,1765189,3681,5,2782,1
Oscillibacter_sp_60799,700016716,700110354,8869,933151,162431,615849,3779,2082,61862,1781857,3828,10,2069,3
Oscillibacter_sp_60799,ERR912061,700164611,16476,892020,155780,588374,7118,3390,59102,1702435,3585,5,3377,8
Oscillibacter_sp_60799,700117828,700164339,11352,923979,161411,609817,4847,2694,60968,1764850,3633,10,2681,3
Oscillibacter_sp_60799,700016610,ERR912061,14733,821068,141905,540927,6294,3004,55186,1564361,3234,3,2997,4
Oscillibacter_sp_60799,700117755,700164611,9267,904699,157640,596186,3869,2267,60322,1724465,3771,6,2257,4
Oscillibacter_sp_60799,700116028,ERR912096,9430,942465,164848,622050,3873,2284,62090,1800325,3735,4,2280,0
Oscillibacter_sp_60799,SRR413612,700164159,10559,911722,159303,601745,4341,2702,60071,1741633,3531,4,2697,1
Oscillibacter_sp_60799,ERR912084,700164339,6904,949957,165993,626974,2939,1673,62605,1814474,3843,7,1665,1
Oscillibacter_sp_60799,700116028,ERR912148,9667,942830,164793,622235,4070,2304,62188,1800773,3744,4,2298,2
Oscillibacter_sp_60799,700023337,ERR912182,15570,867261,150957,571938,6663,3259,57639,1654698,3477,10,3247,2
Oscillibacter_sp_60799,700116828,700038870,14366,838680,145904,552505,6142,3066,56251,1597883,3381,8,3056,2
Oscillibacter_sp_60799,ERR912028,700164417,9848,941690,164636,621481,4170,2363,62094,1798551,3798,12,2351,0
Oscillibacter_sp_60799,ERR912107,700117682,9081,893170,155695,588730,3758,2165,59629,1702886,3675,7,2156,2
Oscillibacter_sp_60799,700109564,700110354,9147,930442,161989,614109,3906,2140,61613,1776937,3777,8,2131,1
Oscillibacter_sp_60799,700116828,700038167,8863,879681,152744,579786,3636,2177,59067,1676649,3642,6,2170,1
Oscillibacter_sp_60799,700161872,700112376,9307,943039,164738,622483,3970,2224,62154,1801485,3810,4,2216,4
Oscillibacter_sp_60799,700014724,700098267,14466,836351,145365,551059,6181,3060,55854,1594290,3033,6,3052,2
