species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Alistipes_onderdonkii_55464,700015702,700024673,2824,1724792,304726,1128784,1221,614,28301,105355,1180,522,276425,1023429,41,92,109355,2955865,5067,11323,304250,492,0,92,0,1,518,3
Alistipes_onderdonkii_55464,700015702,700038414,3273,1675879,295015,1096078,1396,697,38048,141799,1357,598,256967,954279,39,99,102757,2755283,4797,15351,409386,660,0,99,0,2,594,2
Alistipes_onderdonkii_55464,700015702,700101840,3439,1671056,293413,1093400,1508,721,42846,159934,1465,628,250567,933466,43,93,100789,2694914,4695,17172,461865,765,0,93,0,4,623,1
Alistipes_onderdonkii_55464,700015702,700106056,3410,1643389,288326,1074418,1500,706,44988,169097,1472,600,243338,905321,28,106,97892,2613418,4653,18661,487883,747,0,106,0,0,598,2
Alistipes_onderdonkii_55464,700015702,700106876,3442,1729824,305555,1132370,1506,725,42499,158102,1470,635,263056,974268,36,90,103970,2814061,4773,16975,456536,795,1,89,0,3,630,2
Alistipes_onderdonkii_55464,700015702,700107398,3123,1732574,306320,1134218,1358,683,36423,135699,1330,596,269897,998519,28,87,106317,2884281,4959,14681,391798,618,0,87,0,2,592,2
Alistipes_onderdonkii_55464,700015702,SRR2822459,4214,1732432,306204,1134129,1817,913,48138,177725,1780,795,258066,956404,37,118,102030,2762445,4737,18924,513483,768,1,116,1,2,790,3
Alistipes_onderdonkii_55464,700021902,700023267,4893,1686474,296238,1103101,2113,1030,58464,216753,2082,936,237774,886348,31,94,95732,2558914,4398,23290,625940,1029,1,93,0,1,933,2
Alistipes_onderdonkii_55464,700021902,700023845,4281,1524444,263912,996586,1865,861,49715,187203,1820,744,214197,809383,45,117,89023,2335145,3981,20654,539953,1002,0,117,0,1,742,1
Alistipes_onderdonkii_55464,700021902,700024545,4208,1649868,288938,1079642,1816,887,47782,178790,1790,784,241156,900852,26,103,97181,2600926,4449,19420,516101,849,1,102,0,1,781,2
Alistipes_onderdonkii_55464,700021902,700024711,4781,1728989,304905,1131496,2055,1025,54798,203835,2026,906,250107,927661,29,119,99226,2679170,4587,21964,588617,924,1,118,0,3,901,2
Alistipes_onderdonkii_55464,700021902,700033797,2361,1699652,298797,1111833,960,539,28654,107151,920,444,270143,1004682,40,95,108037,2901095,4914,11683,309287,483,0,95,0,3,440,1
Alistipes_onderdonkii_55464,700021902,700099059,1539,1731762,305475,1133415,654,337,20865,77231,631,289,284610,1056184,23,48,112959,3050487,5106,8323,222998,372,0,48,0,0,289,0
Alistipes_onderdonkii_55464,700021902,700103479,3988,1755193,309812,1149011,1724,883,45243,166903,1689,777,264569,982108,35,106,105257,2836240,4827,17564,482383,762,1,105,0,1,774,2
Alistipes_onderdonkii_55464,700021902,700113975,3629,1748192,308986,1144413,1592,768,43091,160347,1550,660,265895,984066,42,108,104961,2842413,4824,17152,463133,756,1,107,0,2,657,1
Alistipes_onderdonkii_55464,700021902,700116730,3441,1748723,309076,1144825,1514,748,38821,143463,1491,635,270255,1001362,23,113,106937,2892229,4920,15230,414469,690,1,112,0,2,632,1
Alistipes_onderdonkii_55464,700021902,700117938,3085,1671191,293162,1092749,1299,709,37137,138242,1271,613,256025,954507,28,96,103860,2754870,4791,14799,399240,687,1,95,0,2,610,1
Alistipes_onderdonkii_55464,700021902,700119739,3952,1748598,309087,1144684,1695,878,43285,159809,1658,749,265802,984875,37,129,105198,2844606,4821,16969,461699,759,0,129,0,2,746,1
Alistipes_onderdonkii_55464,700021902,700120753,4414,1743857,308180,1141593,1928,957,47087,174051,1890,859,261093,967542,38,98,103239,2794707,4680,18606,502704,843,0,98,0,1,858,0
Alistipes_onderdonkii_55464,700021902,700163772,3763,1696262,298608,1109666,1576,848,43216,160655,1546,738,255392,949011,30,110,102279,2740008,4746,17226,463974,765,1,109,0,4,733,1
