species_name,sample 1,sample 2,pair_class,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,event_count,dedup_event_count,clonal_divergence,clonal_fraction,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
snv_table,GCF_000012825.1,GCF_002959625.1,close_no_recombination,0,2055246,287267,1335685,0,0,0,0,0.0,1.0000104432461787,205440,3794733,6882,0,0,0
snv_table,GCF_000012825.1,GCF_016766915.1,close_no_recombination,0,2056177,287415,1336299,0,0,0,0,0.0,1.0000173964476453,205525,3796484,6888,0,0,0
snv_table,GCF_000012825.1,GCF_047777885.1,close_no_recombination,0,2056162,287413,1336289,0,0,0,0,0.0,1.0000243551961812,205525,3796454,6888,0,0,0
snv_table,GCF_002959625.1,GCF_016766915.1,close_no_recombination,0,2055246,287267,1335685,0,0,0,0,0.0,1.0000104432461787,205440,3794733,6882,0,0,0
snv_table,GCF_002959625.1,GCF_047777885.1,close_no_recombination,0,2055231,287265,1335675,0,0,0,0,0.0,1.0000174055314779,205440,3794703,6882,0,0,0
snv_table,GCF_003437875.1,GCF_003469525.1,close_no_recombination,49,2029869,283958,1319339,11,24,0,0,3.8732394366197184e-05,1.0000070432951351,202899,3748536,6582,0,24,0
snv_table,GCF_003437875.1,GCF_021891215.1,close_no_recombination,40,2030316,284017,1319617,8,24,0,0,2.8070175438596492e-05,1.0000105627480045,202939,3749330,6582,0,24,0
snv_table,GCF_003438765.1,GCF_003438835.1,close_no_recombination,6,2042338,285592,1327338,1,2,0,0,3.496503496503497e-06,1.0000280119891314,204024,3771366,6624,1,1,0
snv_table,GCF_003459715.1,GCF_003466785.1,close_no_recombination,35,2034860,284572,1322488,6,26,0,0,1.4035087719298246e-05,1.0000281123933485,203359,3757490,6615,2,24,0
snv_table,GCF_003459715.1,GCF_027660715.1,close_no_recombination,41,2034910,284579,1322521,4,32,0,0,1.4035087719298246e-05,1.000003513962731,203361,3757587,6615,0,32,0
snv_table,GCF_003466785.1,GCF_027660715.1,close_no_recombination,40,2034875,284572,1322499,8,28,0,0,2.105263157894737e-05,1.0000281123933485,203362,3757520,6615,2,26,0
snv_table,GCF_003467565.1,GCF_021891295.1,close_no_recombination,52,2038106,284953,1324539,11,27,0,0,3.508771929824561e-05,1.000024565454654,203785,3763136,6696,1,26,0
snv_table,GCF_003469525.1,GCF_021891215.1,close_no_recombination,56,2030255,284023,1319597,11,29,0,0,3.859649122807018e-05,1.0000246458913538,202926,3749280,6585,0,29,0
snv_table,GCF_004167625.1,GCF_012976745.1,close_no_recombination,36,2048103,286373,1331095,2,23,0,0,6.968641114982578e-06,1.000024443645176,204743,3781903,6639,2,21,0
snv_table,GCF_004167625.1,GCF_040922045.1,close_no_recombination,44,2042108,285524,1327151,3,30,0,0,1.048951048951049e-05,1.000021013995321,204148,3770678,6627,2,28,0
snv_table,GCF_004167625.1,GCF_040922065.1,close_no_recombination,44,2042299,285517,1327309,1,31,0,0,3.496503496503497e-06,1.0000105072552599,204156,3771138,6633,2,29,0
snv_table,GCF_012976745.1,GCF_040922045.1,close_no_recombination,35,2042411,285562,1327343,5,21,0,0,1.7482517482517483e-05,1.0000280149319587,204177,3771225,6627,0,21,0
snv_table,GCF_012976745.1,GCF_040922065.1,close_no_recombination,34,2042691,285572,1327561,3,22,0,0,1.048951048951049e-05,1.0000280139509476,204186,3771864,6633,0,22,0
snv_table,GCF_015553265.1,GCF_028201255.1,close_no_recombination,4,2012499,281591,1307884,1,3,0,0,3.546099290780142e-06,1.0000319612487616,201052,3716036,6564,1,2,0
snv_table,GCF_015555055.1,GCF_028395165.1,close_no_recombination,10,2046935,286182,1330325,6,1,0,0,2.0905923344947736e-05,1.000027954238911,204657,3779679,6639,0,1,0
snv_table,GCF_015555055.1,GCF_028395175.1,close_no_recombination,7,2048959,286480,1331639,4,0,0,0,1.3937282229965156e-05,1.0,204838,3783419,6660,0,0,0
snv_table,GCF_015555055.1,GCF_028395205.1,close_no_recombination,8,2048685,286442,1331465,4,0,0,0,1.3937282229965156e-05,1.0000279288651803,204809,3782932,6654,0,0,0
snv_table,GCF_015555645.1,GCF_028396205.1,close_no_recombination,5,2045622,286005,1329433,0,2,0,0,0.0,1.0000174822118495,204507,3777027,6765,0,2,0
snv_table,GCF_015555645.1,GCF_028396285.1,close_no_recombination,0,2046078,286070,1329727,0,0,0,0,0.0,1.0,204542,3777874,6765,0,0,0
snv_table,GCF_015557505.1,GCF_028201145.1,close_no_recombination,0,2026496,283367,1317201,0,0,0,0,0.0,1.0000105869773122,202598,3742459,6546,0,0,0
snv_table,GCF_015667615.1,GCF_028200875.1,close_no_recombination,9,2032377,284247,1320797,2,5,0,0,7.017543859649123e-06,1.0000105542010997,202958,3752854,6579,0,5,0
snv_table,GCF_015667615.1,GCF_028200955.1,close_no_recombination,3,2032351,284242,1320778,1,0,0,0,3.5087719298245615e-06,1.0000281450313466,202956,3752799,6579,0,0,0
snv_table,GCF_015667615.1,GCF_028201015.1,close_no_recombination,9,2032368,284246,1320792,1,5,0,0,3.5087719298245615e-06,1.0000140723176403,202957,3752840,6579,0,5,0
snv_table,GCF_015667615.1,GCF_028395295.1,close_no_recombination,9,2032073,284203,1320605,1,6,0,0,3.5087719298245615e-06,1.000024630281876,202936,3752300,6579,0,6,0
snv_table,GCF_015667615.1,GCF_028395405.1,close_no_recombination,14,2032232,284233,1320705,1,10,0,0,3.5087719298245615e-06,1.0000246276822184,202939,3752597,6579,0,10,0
snv_table,GCF_015667615.1,GCF_028395425.1,close_no_recombination,8,2031957,284183,1320527,1,5,0,0,3.5087719298245615e-06,1.000024632015286,202922,3752080,6579,0,5,0
snv_table,GCF_015667615.1,GCF_028395455.1,close_no_recombination,3,2032047,284198,1320586,1,2,0,0,3.5087719298245615e-06,1.0000070373472016,202934,3752245,6579,0,2,0
snv_table,GCF_015667615.1,GCF_028395505.1,close_no_recombination,7,2032377,284247,1320797,1,5,0,0,3.5087719298245615e-06,1.0000105542010997,202958,3752854,6579,0,5,0
snv_table,GCF_015667615.1,GCF_028395525.1,close_no_recombination,9,2032018,284193,1320569,1,5,0,0,3.5087719298245615e-06,1.0000246311485506,202926,3752202,6579,0,5,0
snv_table,GCF_015667615.1,GCF_028395605.1,close_no_recombination,11,2032197,284215,1320679,2,7,0,0,7.017543859649123e-06,1.0000175923156764,202947,3752511,6579,0,7,0
snv_table,GCF_015667615.1,GCF_028395635.1,close_no_recombination,2,2032013,284195,1320568,1,1,0,0,3.5087719298245615e-06,1.0000175935537219,202930,3752195,6579,0,1,0
snv_table,GCF_015667825.1,GCF_028199695.1,close_no_recombination,32,2037818,285030,1324459,11,9,0,0,3.846153846153846e-05,1.0,203686,3763073,6618,0,9,0
snv_table,GCF_015668525.1,GCF_028396215.1,close_no_recombination,0,2033363,284259,1321589,0,0,0,0,0.0,1.000003517918518,203302,3754898,6567,0,0,0
snv_table,GCF_016766915.1,GCF_047777885.1,close_no_recombination,0,2056162,287413,1336289,0,0,0,0,0.0,1.0000243551961812,205525,3796454,6888,0,0,0
snv_table,GCF_019041415.1,GCF_019041435.1,close_no_recombination,5,2050289,286609,1332479,1,4,0,0,3.484320557491289e-06,1.0000034890739649,204981,3785724,6732,0,4,0
snv_table,GCF_019041415.1,GCF_019041515.1,close_no_recombination,5,2049485,286491,1331966,0,4,0,0,0.0,1.0000314145994116,204910,3784256,6732,0,4,0
snv_table,GCF_019041415.1,GCF_019041605.1,close_no_recombination,8,2050289,286609,1332479,2,3,0,0,3.484320557491289e-06,1.0000034890739649,204981,3785724,6732,0,3,0
snv_table,GCF_019041415.1,GCF_019041715.1,close_no_recombination,7,2050289,286609,1332479,0,4,0,0,0.0,1.0000034890739649,204981,3785724,6732,0,4,0
snv_table,GCF_019041415.1,GCF_019041755.1,close_no_recombination,18,2049474,286491,1331960,4,9,0,0,1.0452961672473868e-05,1.0000314145994116,204908,3784243,6729,0,9,0
snv_table,GCF_019041415.1,GCF_019041765.1,close_no_recombination,6,2050289,286609,1332479,0,4,0,0,0.0,1.0000034890739649,204981,3785724,6732,0,4,0
snv_table,GCF_019041415.1,GCF_019041815.1,close_no_recombination,8,2049485,286491,1331966,3,4,0,0,6.968641114982578e-06,1.0000314145994116,204910,3784256,6732,0,4,0
snv_table,GCF_019041415.1,GCF_019041855.1,close_no_recombination,6,2050228,286600,1332437,0,6,0,0,0.0,1.0,204975,3785604,6732,0,6,0
