species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_coprocola_61586,700015181,700175331,5139,2135948,307225,1392398,1879,1333,76060,340953,1846,1160,231165,1051445,33,173,163453,2985482,5400,51951,969396,1512,4,168,1,2,1157,1
Bacteroides_coprocola_61586,700015702,700024318,3517,2150344,309219,1401902,1409,702,57309,255825,1373,575,251910,1146077,36,127,177881,3254641,5709,38985,727314,1176,4,123,0,4,571,0
Bacteroides_coprocola_61586,700015702,700095058,3264,2147457,308907,1400075,1289,620,45760,205347,1245,482,263147,1194728,44,138,185032,3393296,5856,31437,583722,882,5,133,0,3,479,0
Bacteroides_coprocola_61586,700015702,700120572,3219,2153941,309754,1404322,1249,642,44205,199784,1200,502,265549,1204538,49,140,186027,3421545,6042,31164,567408,780,4,134,2,4,498,0
Bacteroides_coprocola_61586,700015702,ERR912118,2218,2140156,307596,1395218,863,494,30475,135396,819,314,277121,1259822,44,180,195300,3577866,6300,20588,385039,561,4,176,0,2,312,0
Bacteroides_coprocola_61586,700023188,700175331,4958,2145671,308250,1398646,1814,1308,76933,344921,1793,1131,231317,1053725,21,177,164572,2991044,5559,51983,981214,1566,2,174,1,7,1124,0
Bacteroides_coprocola_61586,700024318,700095058,4637,2146033,308569,1399078,1871,862,71924,321311,1829,721,236645,1077767,42,141,167628,3060330,5343,48757,913679,1497,0,141,0,6,715,0
Bacteroides_coprocola_61586,700024318,700120572,4355,2153739,309596,1404110,1744,851,67161,302665,1694,719,242435,1101445,50,132,171118,3127637,5580,46102,860516,1377,0,130,2,6,713,0
Bacteroides_coprocola_61586,700024318,ERR912118,3911,2139216,307280,1394525,1523,821,59241,263680,1474,625,248039,1130845,49,196,175882,3210854,5799,39994,749852,1194,0,196,0,5,620,0
Bacteroides_coprocola_61586,700034081,700175331,5021,2145920,308307,1398832,1821,1205,75424,339238,1782,1009,232883,1059594,39,196,165378,3007875,5529,51184,964952,1578,2,193,1,1,1006,2
Bacteroides_coprocola_61586,700095058,700120572,4506,2150914,309266,1402337,1770,877,64167,290165,1728,718,245099,1112172,42,159,171817,3159125,5574,45038,824212,1245,1,157,1,5,712,1
Bacteroides_coprocola_61586,700095058,ERR912118,3334,2136504,307035,1392825,1304,715,44011,196735,1261,495,263024,1196090,43,220,185437,3396848,5985,30027,559326,852,2,218,0,3,492,0
Bacteroides_coprocola_61586,700120572,ERR912118,3729,2142768,307823,1396936,1461,785,50837,228793,1412,601,256986,1168143,49,184,180847,3317594,5988,35323,650102,954,0,183,1,3,597,1
Bacteroides_coprocola_61586,SRR341706,SRR413607,2734,2141704,307796,1396298,1105,538,49513,222800,1046,399,258283,1173498,59,139,182218,3332369,5907,33864,633453,1083,0,139,0,0,399,0
