species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Akkermansia_muciniphila_55290,700013588,700105685,3076,1519377,266442,984536,1300,703,36976,136793,1291,650,229466,847743,9,53,92764,2445554,4911,14711,394990,678,0,53,0,6,643,1
Akkermansia_muciniphila_55290,700013588,700106754,2698,1519581,266493,984671,1101,631,34563,127217,1085,565,231930,857454,16,66,94092,2473278,4992,13415,367633,603,0,66,0,6,558,1
Akkermansia_muciniphila_55290,700013588,ERR911981,2751,1524968,267502,988166,1159,657,30198,110036,1144,594,237304,878130,15,63,96280,2532956,5154,11604,318045,459,1,62,0,5,589,0
Akkermansia_muciniphila_55290,700013588,ERR912021,6184,1513130,265368,980495,2660,1328,75462,279080,2644,1214,189906,701415,16,114,76753,2023394,4098,30263,805519,1458,2,112,0,7,1206,1
Akkermansia_muciniphila_55290,700013588,ERR912100,1991,1525147,267552,988279,838,461,24065,88346,823,409,243487,899933,15,52,98596,2596010,5193,9248,255376,414,0,52,0,4,405,0
Akkermansia_muciniphila_55290,700013588,ERR912116,1583,1525890,267665,988756,698,308,18390,67975,688,274,249275,920781,10,34,100736,2656297,5310,7201,196421,303,0,34,0,4,269,1
Akkermansia_muciniphila_55290,700013588,ERR912189,6712,1514225,265572,981237,2846,1516,76650,283193,2820,1372,188922,698044,26,144,76391,2013601,4140,30702,817491,1386,3,141,0,7,1364,1
Akkermansia_muciniphila_55290,700013600,ERR912070,413,1508380,264681,977486,160,103,5586,21050,150,77,259095,956436,10,26,104318,2759797,5193,2257,60761,132,1,25,0,0,77,0
Akkermansia_muciniphila_55290,700013600,ERR912145,387,1507099,264481,976585,144,103,4201,15654,136,71,260280,960931,8,32,104841,2772729,5223,1689,45174,99,1,31,0,0,71,0
Akkermansia_muciniphila_55290,700015702,700038806,3534,1513998,265611,981114,1453,869,46579,171710,1414,770,219032,809404,39,99,88609,2335052,4551,18399,495777,954,1,98,0,2,767,1
Akkermansia_muciniphila_55290,700015702,700116568,3790,1521518,267029,986016,1583,939,53045,195047,1536,839,213984,790969,47,100,86548,2281889,4470,20901,563169,1071,2,98,0,1,837,1
Akkermansia_muciniphila_55290,700015702,700173176,3829,1515468,265856,982080,1586,935,49496,182570,1546,831,216360,799510,40,104,87608,2306401,4521,19459,527261,990,2,102,0,2,828,1
Akkermansia_muciniphila_55290,700015702,ERR911963,3386,1521827,267044,986218,1388,854,44492,164244,1340,750,222552,821974,48,104,89818,2371427,4677,17665,474167,900,3,101,0,1,748,1
