species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_thetaiotaomicron_56941,700037042,700037852,28606,2673144,387410,1742927,11724,4734,253284,4967316,8181,18,4715,1
Bacteroides_thetaiotaomicron_56941,700033922,700113975,29546,2499492,362759,1629522,12268,4751,236450,4644694,7422,17,4731,3
Bacteroides_thetaiotaomicron_56941,700037852,700161219,22379,2616147,379234,1705945,8998,3973,247410,4862754,7671,14,3958,1
Bacteroides_thetaiotaomicron_56941,1089275-24-7-0_,ERR912150,29014,2730092,396478,1780275,12065,4532,257693,5074888,8244,14,4514,4
Bacteroides_thetaiotaomicron_56941,700106056,700016960,22044,2560824,370961,1669260,8989,3730,243059,4756945,7776,17,3711,2
Bacteroides_thetaiotaomicron_56941,ERR911970,700014486,25290,2702774,392114,1762231,10402,4198,255605,5022748,8340,14,4178,6
Bacteroides_thetaiotaomicron_56941,ERR912176,ERR912025,25871,2767087,401944,1804473,10623,4346,261321,5143830,8268,19,4326,1
Bacteroides_thetaiotaomicron_56941,700173272,700165148,19952,2556226,370314,1666690,8055,3556,242180,4750282,7608,15,3540,1
Bacteroides_thetaiotaomicron_56941,1089275-24-0-0_,700110155,25146,2640005,381288,1721127,10345,4157,250530,4904751,8100,16,4139,2
Bacteroides_thetaiotaomicron_56941,ERR911955,700117031,26404,2789155,405051,1818747,10912,4247,263445,5184285,8511,15,4230,2
Bacteroides_thetaiotaomicron_56941,700106646,700015981,20155,2691755,389047,1755201,8139,3453,255158,5002225,8220,12,3437,4
Bacteroides_thetaiotaomicron_56941,700117755,700164354,20599,2575238,373954,1679271,8447,3562,243521,4786675,7617,9,3551,2
Bacteroides_thetaiotaomicron_56941,700117755,700015250,26430,2685306,389328,1750825,10916,4474,254297,4989982,8196,12,4460,2
Bacteroides_thetaiotaomicron_56941,SRR341723,700035785,30113,2639765,383065,1721384,12446,4694,249432,4906893,7827,19,4672,3
Bacteroides_thetaiotaomicron_56941,SRR341624,700037453,26430,2698093,390265,1758813,10818,4349,256413,5011707,8319,12,4332,5
Bacteroides_thetaiotaomicron_56941,700173176,700173377,24024,2566690,372919,1673393,9837,4072,242493,4770045,7641,18,4052,2
Bacteroides_thetaiotaomicron_56941,700163811,700112433,28813,2616873,380137,1706349,11871,4801,247219,4863830,7998,17,4778,6
Bacteroides_thetaiotaomicron_56941,700117000,ERR911967,39680,2665921,387344,1738612,16650,5889,251590,4956317,7929,15,5869,5
Bacteroides_thetaiotaomicron_56941,ERR912182,700106504,31143,2570133,373823,1675863,12860,5003,242519,4777552,7518,15,4986,2
Bacteroides_thetaiotaomicron_56941,700102905,700024024,30211,2748689,398513,1792383,12485,4898,260077,5108636,8436,13,4883,2
