species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroidales_bacterium_58650,700024449,700114125,8557,1847846,333159,1203593,3639,2041,132812,3470191,7776,12,2027,2
Bacteroidales_bacterium_58650,700035237,ERR912096,9199,1904915,345462,1241718,3912,2290,135205,3581711,8238,10,2278,2
Bacteroidales_bacterium_58650,700117828,700116468,11412,1832078,329523,1192689,4838,2712,132560,3437728,7779,11,2701,0
Bacteroidales_bacterium_58650,700095647,700038414,9749,1736972,310736,1130520,4091,2356,126645,3257592,7323,15,2337,4
Bacteroidales_bacterium_58650,700161945,ERR912135,11855,1802474,322508,1174239,5125,2741,130658,3384169,7890,10,2728,3
Bacteroidales_bacterium_58650,700113810,700122108,12439,1910715,346245,1245554,5256,3073,135782,3592870,8010,14,3055,4
Bacteroidales_bacterium_58650,700161945,ERR911980,12013,1764587,315931,1149436,5064,2886,127745,3312871,7692,13,2869,4
Bacteroidales_bacterium_58650,700105613,700117682,8795,1840885,331500,1199057,3766,2029,132523,3456767,7881,9,2019,1
Bacteroidales_bacterium_58650,700114125,700097196,9304,1810550,325704,1179118,3939,2237,130694,3399343,7317,8,2227,2
Bacteroidales_bacterium_58650,ERR912074,700038414,11504,1784706,320312,1161710,4884,2745,129395,3348094,7641,18,2723,4
Bacteroidales_bacterium_58650,ERR911976,ERR911980,12223,1884337,341802,1228129,5205,3067,133638,3542598,8151,13,3052,2
Bacteroidales_bacterium_58650,ERR912048,ERR911976,11882,1925732,349033,1255299,5123,2930,136750,3620822,8325,12,2914,4
Bacteroidales_bacterium_58650,ERR911980,700161945,12013,1764587,315931,1149436,5064,2886,127745,3312871,7692,13,2869,4
Bacteroidales_bacterium_58650,700123562,ERR911956,12680,1924645,348832,1254633,5359,3149,136781,3618853,8265,14,3129,6
Bacteroidales_bacterium_58650,ERR911988,700117828,12543,1923732,348755,1254053,5356,3117,136641,3617352,8166,12,3101,4
Bacteroidales_bacterium_58650,700122108,700161742,12390,1845860,332739,1201799,5255,3032,133016,3464596,7785,9,3020,3
Bacteroidales_bacterium_58650,ERR911976,700035237,12430,1901269,344821,1239281,5347,3051,134922,3574641,8280,15,3032,4
Bacteroidales_bacterium_58650,700161742,ERR911976,12162,1855263,334426,1207889,5176,2926,133674,3481959,8034,11,2911,4
Bacteroidales_bacterium_58650,700167759,700095287,10798,1882564,340338,1226687,4625,2670,134405,3538000,7656,12,2657,1
Bacteroidales_bacterium_58650,ERR912061,ERR912191,12340,1925730,349042,1255287,5216,3037,136737,3620832,8292,17,3015,5
