species,s1,s2,clonal_diff_1D,clonal_len_1D,clonal_diff_4D,clonal_len_4D,moved_1d,moved_4d
Akkermansia_muciniphila_55290,700013588,700105685,53,847743,9,229466,14,0
Akkermansia_muciniphila_55290,700013588,700106754,66,857454,16,231930,15,1
Akkermansia_muciniphila_55290,700013588,ERR911981,63,878130,15,237304,20,1
Akkermansia_muciniphila_55290,700013588,ERR912021,114,701415,16,189906,50,2
Akkermansia_muciniphila_55290,700013588,ERR912100,52,899933,15,243487,16,1
Akkermansia_muciniphila_55290,700013588,ERR912116,34,920781,10,249275,7,1
Akkermansia_muciniphila_55290,700013588,ERR912189,144,698044,26,188922,51,1
Akkermansia_muciniphila_55290,700013600,ERR912070,26,956436,10,259095,0,0
Akkermansia_muciniphila_55290,700013600,ERR912145,32,960931,8,260280,0,0
Akkermansia_muciniphila_55290,700015702,700038806,99,809404,39,219032,21,1
Akkermansia_muciniphila_55290,700015702,700116568,100,790969,47,213984,18,1
Akkermansia_muciniphila_55290,700015702,700173176,104,799510,40,216360,24,1
Akkermansia_muciniphila_55290,700015702,ERR911963,104,821974,48,222552,21,1
Akkermansia_muciniphila_55290,700015702,ERR911976,47,960656,13,260383,0,0
Akkermansia_muciniphila_55290,700015702,ERR911992,108,812888,47,220243,21,1
Akkermansia_muciniphila_55290,700015702,ERR912187,127,814573,55,220465,31,1
Akkermansia_muciniphila_55290,700016765,ERR912005,37,940781,18,254534,9,0
Akkermansia_muciniphila_55290,700023634,700024789,59,866706,15,234536,23,0
Akkermansia_muciniphila_55290,700023634,700038263,48,840777,7,226561,14,0
Akkermansia_muciniphila_55290,700023634,700165167,40,866639,8,234794,12,0
Akkermansia_muciniphila_55290,700023634,ERR912092,36,894325,10,242063,12,0
Akkermansia_muciniphila_55290,700024789,700038263,63,844038,14,227360,16,0
Akkermansia_muciniphila_55290,700024789,700165167,58,868629,11,235357,22,0
Akkermansia_muciniphila_55290,700024789,ERR912092,54,883675,11,239323,28,0
Akkermansia_muciniphila_55290,700033665,700113762,36,935377,7,252850,5,0
Akkermansia_muciniphila_55290,700033665,700164050,30,846905,7,224744,6,0
Akkermansia_muciniphila_55290,700033665,700164870,30,927064,10,250321,2,0
Akkermansia_muciniphila_55290,700033665,ERR912182,30,933828,13,252421,2,0
Akkermansia_muciniphila_55290,700038072,ERR912068,8,980137,11,264940,0,0
Akkermansia_muciniphila_55290,700038072,SRR413564,60,847529,11,228923,18,0
Akkermansia_muciniphila_55290,700038263,700165167,15,956513,15,257724,0,0
Akkermansia_muciniphila_55290,700038263,ERR912092,37,853582,4,229889,11,0
Akkermansia_muciniphila_55290,700038806,700116568,57,902878,18,244278,10,0
Akkermansia_muciniphila_55290,700038806,700173176,13,973385,2,263411,2,0
Akkermansia_muciniphila_55290,700038806,ERR911963,38,935694,6,253604,6,0
Akkermansia_muciniphila_55290,700038806,ERR911976,125,809310,44,219224,18,1
Akkermansia_muciniphila_55290,700038806,ERR911992,46,924812,13,250811,6,0
Akkermansia_muciniphila_55290,700038806,ERR912187,59,921728,13,249691,14,0
Akkermansia_muciniphila_55290,700095647,ERR912070,23,950187,9,257264,0,0
Akkermansia_muciniphila_55290,700095647,ERR912145,28,955568,7,258638,0,0
Akkermansia_muciniphila_55290,700098867,ERR912087,13,1023904,4,277865,0,0
Akkermansia_muciniphila_55290,700100022,700116668,55,920481,15,249230,7,0
Akkermansia_muciniphila_55290,700100022,ERR911957,66,887224,24,240099,16,0
Akkermansia_muciniphila_55290,700100022,ERR911995,64,883116,14,239615,12,0
Akkermansia_muciniphila_55290,700100022,ERR912015,64,881640,18,238501,14,0
Akkermansia_muciniphila_55290,700105685,700106754,55,901725,13,244099,12,0
Akkermansia_muciniphila_55290,700105685,ERR911981,41,892635,12,241462,5,0
Akkermansia_muciniphila_55290,700105685,ERR912100,55,852859,14,230916,14,0
Akkermansia_muciniphila_55290,700105685,ERR912116,44,882690,12,239102,7,0
Akkermansia_muciniphila_55290,700106754,ERR911981,57,909358,13,245768,15,0
Akkermansia_muciniphila_55290,700106754,ERR912100,64,864604,22,233927,6,0
Akkermansia_muciniphila_55290,700106754,ERR912116,55,901076,17,243863,7,0
Akkermansia_muciniphila_55290,700107398,1089274-24-0-0_,15,1006555,10,272805,4,0
Akkermansia_muciniphila_55290,700113762,700164870,38,929107,11,250992,4,0
Akkermansia_muciniphila_55290,700113762,ERR912182,15,979438,9,265248,0,0
Akkermansia_muciniphila_55290,700116358,ERR911987,87,911272,22,246484,6,0
