species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Escherichia_coli_58110,ERR912022,ERR912192,5438,831444,137790,539122,2715,950,71099,1543090,3177,7,942,1
Escherichia_coli_58110,ERR912192,ERR912104,4852,825186,136610,534974,2412,890,70569,1531245,3108,9,880,1
Escherichia_coli_58110,ERR912128,ERR911999,19694,1181479,196934,766398,10836,2255,99188,2195548,4458,18,2236,1
Escherichia_coli_58110,ERR912135,ERR912042,8673,954454,158461,618844,4536,1264,81125,1771678,3729,8,1256,0
Escherichia_coli_58110,ERR912110,SRR413566,18114,1052502,174820,682675,9881,2221,88974,1954911,4140,13,2206,2
Escherichia_coli_58110,SRR341723,SRR413669,10589,1305064,217706,846543,5796,1264,108460,2426300,4869,9,1252,3
Escherichia_coli_58110,SRR413582,ERR912175,15097,1025223,170040,664966,8327,1743,86943,1903830,4125,9,1733,1
Escherichia_coli_58110,ERR912135,ERR912096,9652,1023881,169960,663983,5169,1318,86702,1901236,4011,4,1313,1
Escherichia_coli_58110,ERR912184,ERR912073,13978,972709,161166,630822,7686,1620,82821,1805796,3849,9,1611,0
Escherichia_coli_58110,ERR912066,ERR912075,13707,898369,149120,582529,7323,1859,76399,1667819,3369,9,1850,0
Escherichia_coli_58110,ERR911979,ERR912020,15397,1046772,173951,678982,8574,1706,88370,1944340,4236,10,1694,2
Escherichia_coli_58110,SRR413626,700034254,4089,1216403,202772,788820,2103,650,101680,2260244,4536,6,643,1
Escherichia_coli_58110,ERR912179,ERR912061,13635,819932,135783,531454,7337,1812,70234,1520957,3171,15,1797,0
Escherichia_coli_58110,ERR912192,ERR912038,12785,795059,131612,515424,6907,1630,68063,1475215,2994,8,1622,0
Escherichia_coli_58110,700034254,ERR911988,14614,978291,162290,634202,8038,1618,83212,1815602,3792,3,1614,1
Escherichia_coli_58110,SRR413582,ERR911988,15438,1017437,168875,659801,8445,1771,86324,1889011,4068,9,1760,2
Escherichia_coli_58110,ERR912128,ERR912066,9741,1211679,202025,785864,5201,1265,101755,2251055,4782,9,1256,0
Escherichia_coli_58110,ERR912057,ERR912014,17254,996382,165399,646244,9404,2117,84675,1850232,3825,9,2107,1
Escherichia_coli_58110,ERR912057,ERR912126,11809,898979,148753,582976,6389,1404,76715,1668742,3471,3,1399,2
Escherichia_coli_58110,ERR912192,ERR912045,13363,847090,140234,549282,7111,1861,72345,1572324,3177,13,1848,0
