species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_fragilis_54507,700014724,700116468,53,3142821,460089,2043648,13,32,60,228,6,0,460029,2043420,7,32,302526,5816886,10848,23,661,0,2,30,0,0,0,0
Bacteroides_fragilis_54507,700015113,700015922,1333,3212721,470726,2089109,494,333,36265,160416,457,221,434461,1928693,37,112,285527,5490664,9888,23458,456914,876,4,108,0,1,219,1
Bacteroides_fragilis_54507,700015113,700023390,873,3219376,471842,2093474,331,211,22407,99045,304,134,449435,1994429,27,77,295052,5677915,10320,14462,282136,537,1,76,0,2,132,0
Bacteroides_fragilis_54507,700015113,700024615,896,3206118,469458,2084887,336,221,22089,97660,301,133,447369,1987227,35,88,294175,5657204,10302,14281,278162,537,2,86,0,3,130,0
Bacteroides_fragilis_54507,700015113,700111439,1463,3216881,471468,2091843,550,383,43949,193553,520,278,427519,1898290,30,105,280918,5404106,9846,28315,551333,1011,4,101,0,1,275,2
Bacteroides_fragilis_54507,700015113,700161856,1501,3205019,468940,2084123,564,374,41565,183604,527,261,427375,1900519,37,113,281771,5409913,9873,26937,522888,987,4,109,0,1,259,1
Bacteroides_fragilis_54507,700015113,ERR912035,1326,3215665,471187,2091075,500,328,36976,163359,461,225,434211,1927716,39,103,285371,5487814,9963,23891,465295,891,4,99,0,1,223,1
Bacteroides_fragilis_54507,700015922,700023390,1471,3215745,471066,2091036,546,363,44103,193897,497,248,426963,1897139,49,115,281338,5400245,9834,27984,552660,1047,3,112,0,3,244,1
Bacteroides_fragilis_54507,700015922,700024615,1475,3203558,468903,2083133,542,370,43291,190328,491,244,425612,1892805,51,126,280929,5387643,9843,27409,542543,1032,4,122,0,4,239,1
Bacteroides_fragilis_54507,700015922,700111439,576,3213388,470713,2089494,194,199,12446,54719,169,110,458267,2034775,25,89,301135,5792543,10647,7916,156007,234,4,85,0,0,109,1
Bacteroides_fragilis_54507,700015922,700161856,361,3202416,468374,2082334,119,120,7508,32346,114,70,460866,2049988,5,50,303853,5835395,10716,4702,92159,177,2,48,0,0,70,0
Bacteroides_fragilis_54507,700015922,ERR912035,91,3212491,470466,2088933,17,48,149,658,7,0,470317,2088275,10,48,309052,5944886,10887,72,1896,6,2,46,0,0,0,0
Bacteroides_fragilis_54507,700023390,700111439,1612,3222951,472227,2095724,606,412,47889,210532,570,299,424338,1885192,36,113,279310,5366264,10002,30537,599961,1098,3,110,0,3,294,2
Bacteroides_fragilis_54507,700023390,700161856,1633,3210712,469614,2087725,613,402,51290,225128,575,296,418324,1862597,38,106,276696,5301219,9876,32593,641570,1221,3,103,0,3,292,1
Bacteroides_fragilis_54507,700023390,ERR912035,1457,3221767,471943,2094982,550,355,46209,202669,511,255,425734,1892313,39,100,280657,5386301,9981,29217,577674,1116,3,97,0,3,251,1
Bacteroides_fragilis_54507,700023845,700165778,1981,3149564,459428,2047906,735,512,59598,265440,658,333,399830,1782466,77,179,264741,5073207,9450,39553,755360,1407,3,176,0,3,329,1
Bacteroides_fragilis_54507,700023845,SRR413605,597,3149335,459391,2047784,202,174,14330,64588,168,69,445061,1983196,34,105,294665,5644381,10542,9612,183855,297,3,102,0,0,69,0
Bacteroides_fragilis_54507,700023845,pluto3-11-0-0_,366,3147426,458883,2046496,106,144,4526,20712,71,30,454357,2025784,35,114,301033,5765507,10812,3189,58860,87,4,110,0,0,30,0
Bacteroides_fragilis_54507,700024545,ERR912136,177,3223674,471672,2096051,42,104,111,434,6,8,471561,2095617,36,96,310358,5965360,11133,67,1235,0,2,94,0,0,8,0
Bacteroides_fragilis_54507,700024615,700111439,1619,3209169,469727,2086774,604,416,47279,208010,561,294,422448,1878764,43,122,278634,5347668,9990,30134,592801,1095,5,117,0,3,289,2
Bacteroides_fragilis_54507,700024615,700161856,1645,3198702,467470,2079954,610,409,49396,217050,565,291,418074,1862904,45,118,276899,5301910,9903,31412,618550,1188,4,114,0,4,286,1
Bacteroides_fragilis_54507,700024615,ERR912035,1467,3207856,469423,2085951,547,364,43918,193028,493,246,425505,1892923,54,118,280975,5387780,10014,27810,550197,1077,4,114,0,4,241,1
Bacteroides_fragilis_54507,700024930,SRR341636,233,3211962,469939,2088458,91,88,610,2853,33,7,469329,2085605,58,81,308720,5937049,11046,436,8111,12,3,78,0,0,7,0
Bacteroides_fragilis_54507,700024930,SRR341653,105,3203835,468409,2083136,21,57,438,1879,5,1,467971,2081257,16,56,308321,5924413,11037,263,5365,9,3,53,0,0,1,0
Bacteroides_fragilis_54507,700037008,ERR912039,2422,3229289,473049,2099809,929,603,74171,324345,881,463,398878,1775464,48,140,263829,5053080,9483,46750,924608,1677,2,138,0,2,460,1
Bacteroides_fragilis_54507,700037008,ERR912072,1735,3233579,473724,2102636,655,459,49041,210864,609,346,424683,1891772,46,113,281011,5384330,9975,29968,601436,1188,1,112,0,3,342,1
Bacteroides_fragilis_54507,700037123,700100540,215,3210146,470150,2087361,66,74,637,2927,46,16,469513,2084434,20,58,308483,5933722,11097,401,8368,12,2,56,0,0,16,0
Bacteroides_fragilis_54507,700037123,700164870,170,3195830,467129,2078058,32,89,324,1385,14,12,466805,2076673,18,77,307807,5911130,11082,201,3933,21,4,73,0,0,12,0
Bacteroides_fragilis_54507,700037868,SRR413603,1017,3220614,471678,2094152,367,265,30892,136041,330,165,440786,1958111,37,100,290133,5573829,10371,19724,387679,720,1,99,0,2,163,0
Bacteroides_fragilis_54507,700038072,700165634,154,3204789,468982,2083875,26,98,60,236,4,0,468922,2083639,22,98,308553,5931288,11076,28,680,0,3,95,0,0,0,0
Bacteroides_fragilis_54507,700100540,700164870,306,3174548,464012,2064168,82,112,1171,5216,61,29,462841,2058952,21,83,305301,5860548,11007,727,14891,30,6,77,0,0,29,0
Bacteroides_fragilis_54507,700105237,700171441,1372,3186274,465502,2071882,502,362,38704,168334,429,238,426798,1903548,73,124,282868,5417675,10101,24344,479764,894,5,119,0,0,238,0
Bacteroides_fragilis_54507,700106333,SRR341651,2763,3187859,465483,2072842,1008,683,84608,372064,948,509,380875,1700778,60,174,253636,4839548,9150,54052,1060277,1863,2,172,0,1,508,0
Bacteroides_fragilis_54507,700111439,700161856,616,3208558,469302,2086328,216,200,14503,63613,191,115,454799,2022715,25,85,299646,5757666,10833,9403,181151,285,4,81,0,0,114,1
Bacteroides_fragilis_54507,700111439,ERR912035,560,3219144,471533,2093261,196,191,12488,54901,170,106,459045,2038360,26,85,301660,5802557,10863,7929,156537,237,4,81,0,0,105,1
Bacteroides_fragilis_54507,700112433,ERR912176,1626,3227235,472666,2098532,628,399,41392,179760,598,283,431274,1918772,30,116,284545,5461487,10284,25868,512557,855,0,116,0,5,277,1
Bacteroides_fragilis_54507,700112433,SRR413610,1760,3128728,460286,2034968,675,414,47735,208785,647,313,412551,1826183,28,101,269370,5200086,9093,30197,595225,933,2,99,0,4,308,1
Bacteroides_fragilis_54507,700112433,SRR413670,1760,3230212,473219,2100458,675,418,47307,207771,644,322,425912,1892687,31,96,280424,5387533,10104,30211,592103,999,1,94,1,4,317,1
Bacteroides_fragilis_54507,700117766,ERR912191,564,3225196,472537,2097208,135,264,3644,15972,61,38,468893,2081236,74,226,307791,5924877,11040,2273,45553,90,4,222,0,0,38,0
Bacteroides_fragilis_54507,700117766,SRR341617,910,3181275,464326,2068605,275,325,16041,70838,210,113,448285,1997767,65,212,296557,5686070,10674,10436,201748,330,1,211,0,0,113,0
Bacteroides_fragilis_54507,700161856,ERR912035,340,3207671,469057,2085778,119,109,7537,32437,114,67,461520,2053341,5,42,304395,5844678,10950,4710,92421,180,2,40,0,0,67,0
Bacteroides_fragilis_54507,700161967,700165778,2024,3213120,470677,2089316,753,521,60552,268752,665,337,410125,1820564,88,184,269213,5182855,9624,39790,765029,1437,3,181,0,3,333,1
Bacteroides_fragilis_54507,700161967,SRR413605,611,3212597,470573,2088994,205,178,14530,65272,169,71,456043,2023722,36,107,299276,5761165,10725,9696,185823,297,3,104,0,0,71,0
Bacteroides_fragilis_54507,700161967,pluto3-11-0-0_,377,3207311,469388,2085537,108,148,4572,20873,74,30,464816,2064664,34,118,305471,5877535,10986,3218,59314,87,4,114,0,0,30,0
Bacteroides_fragilis_54507,700163868,SRR341644,552,3203288,468349,2082933,177,181,11829,51477,158,103,456520,2031456,19,78,300998,5782600,10770,7459,146732,240,1,77,0,1,102,0
Bacteroides_fragilis_54507,700163868,SRR413606,571,3228183,472808,2099117,184,185,11582,50315,157,102,461226,2048802,27,83,303207,5832339,10860,7295,143422,228,2,81,0,1,101,0
Bacteroides_fragilis_54507,700165778,SRR413605,2455,3231263,473374,2101148,938,581,75296,334785,842,404,398078,1766363,96,177,261226,5028536,9327,49586,953023,1746,1,176,0,2,401,1
Bacteroides_fragilis_54507,700165778,pluto3-11-0-0_,2197,3225880,472168,2097623,828,545,64114,285011,730,364,408054,1812612,98,181,268285,5159915,9636,42226,811319,1488,2,179,0,2,361,1
Bacteroides_fragilis_54507,ERR912024,ERR912145,233,3209535,469951,2087159,58,114,572,2408,19,20,469379,2084751,39,94,308468,5934721,11064,315,6888,21,4,89,1,1,19,0
Bacteroides_fragilis_54507,ERR912039,ERR912072,1785,3230746,473304,2100732,642,492,46816,205268,605,356,426488,1895464,37,136,281153,5395117,10122,29552,585199,1053,4,132,0,2,354,0
Bacteroides_fragilis_54507,ERR912039,ERR912114,2429,3231808,473463,2101431,925,611,73682,321797,881,460,399781,1779634,44,151,264492,5064903,9507,46310,917416,1665,4,147,0,3,456,1
Bacteroides_fragilis_54507,ERR912072,ERR912114,1741,3236081,474131,2104254,647,470,49073,210972,610,347,425058,1893282,37,123,281228,5388640,9978,29980,601745,1191,3,120,0,4,342,1
Bacteroides_fragilis_54507,SRR341617,ERR912191,753,3174229,463351,2064073,223,294,12871,56609,167,107,450480,2007464,56,187,297814,5713859,10719,8390,161158,279,3,184,0,0,107,0
Bacteroides_fragilis_54507,SRR341617,SRR341704,929,3163757,461762,2057220,278,339,15983,70406,213,122,445779,1986814,65,217,294790,5655035,10617,10380,200508,330,1,216,0,0,122,0
Bacteroides_fragilis_54507,SRR341636,SRR341653,248,3202456,468166,2082205,86,102,749,3457,35,6,467417,2078748,51,96,307950,5917251,11043,504,9855,12,4,92,0,0,6,0
Bacteroides_fragilis_54507,SRR341644,SRR413606,49,3203413,468394,2083031,13,25,275,1179,2,1,468119,2081852,11,24,308283,5926308,10965,189,3339,9,1,23,0,0,1,0
Bacteroides_fragilis_54507,SRR341704,ERR912191,589,3203350,469220,2083002,140,277,3795,16639,69,42,465425,2066363,71,235,305504,5882635,10950,2372,47455,90,4,231,0,0,42,0
Bacteroides_fragilis_54507,SRR413605,pluto3-11-0-0_,793,3225933,472160,2097692,282,207,19102,86126,239,98,453058,2011566,43,109,297639,5726346,10713,12881,245107,390,1,108,0,0,98,0
Bacteroides_fragilis_54507,SRR413610,ERR912176,713,3129369,460322,2035414,250,202,17552,77114,224,96,442770,1958300,26,106,288538,5576588,9774,11126,219937,279,3,103,0,0,96,0
Bacteroides_fragilis_54507,SRR413610,SRR413670,114,3132639,460916,2037516,30,46,1137,4865,22,13,459779,2032651,8,33,299269,5788637,10047,647,13945,3,3,30,0,0,13,0
Bacteroides_fragilis_54507,SRR413670,ERR912176,689,3230099,473145,2100403,238,206,16921,74771,208,98,456224,2025632,30,108,299741,5766352,10803,10921,213071,321,2,105,1,0,98,0
Bacteroides_fragilis_54507,SRR413688,ERR912039,2414,3226744,472573,2098163,926,604,74092,323964,882,460,398481,1774199,44,144,263680,5049449,9468,46706,923512,1674,4,140,0,2,457,1
Bacteroides_fragilis_54507,SRR413688,ERR912072,1724,3231184,473266,2101088,647,460,48955,210536,609,345,424311,1890552,38,115,280885,5380808,9963,29917,600509,1182,2,113,0,4,340,1
