species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_caccae_53434,700013715,700014562,1327,3194575,456343,2080554,486,387,66481,302999,469,312,389862,1777555,17,75,267238,5056937,8490,45627,861954,1416,4,71,0,4,308,0
Bacteroides_caccae_53434,700013715,700021902,570,3207338,457977,2088862,206,179,22741,105061,191,105,435236,1983801,15,74,298253,5643547,9603,15904,298736,543,0,74,0,1,104,0
Bacteroides_caccae_53434,700013715,700023267,245,3198938,456611,2083376,82,89,6177,27540,62,26,450434,2055836,20,63,309500,5848021,9987,3938,78550,132,3,60,0,1,25,0
Bacteroides_caccae_53434,700013715,700023337,786,3196379,456468,2081752,291,236,27771,127208,272,170,428697,1954544,19,66,294174,5559987,9471,18879,362130,615,2,64,0,1,169,0
Bacteroides_caccae_53434,700013715,700023919,575,3206628,457876,2088398,209,182,22755,105130,192,105,435121,1983268,17,77,298184,5642032,9588,15915,298932,543,1,76,0,1,104,0
Bacteroides_caccae_53434,700013715,700024437,578,3206148,457750,2088081,208,189,22738,105033,191,103,435012,1983048,17,86,298164,5641368,9612,15907,298649,543,2,84,0,1,102,0
Bacteroides_caccae_53434,700013715,700034166,228,3204776,457624,2087238,74,93,6045,27040,57,25,451579,2060198,17,68,310021,5860637,9936,3869,77125,126,1,67,0,1,24,0
Bacteroides_caccae_53434,700013715,700034926,213,3194511,456043,2080511,63,89,5777,25931,50,26,450266,2054580,13,63,309305,5844496,9939,3721,73943,129,3,60,0,1,25,0
Bacteroides_caccae_53434,700013715,700035533,273,3197813,456656,2082656,91,101,6196,27684,67,27,450460,2054972,24,74,309221,5845741,9954,3950,78970,132,2,72,0,1,26,0
Bacteroides_caccae_53434,700013715,700035861,217,3193787,456551,2080097,68,95,5789,25947,50,25,450762,2054150,18,70,309019,5843906,9525,3723,73995,123,0,70,0,1,24,0
Bacteroides_caccae_53434,700013715,700037090,211,3204939,457623,2087316,64,88,5808,26018,50,25,451815,2061298,14,63,310186,5863706,10002,3731,74194,129,2,61,0,1,24,0
Bacteroides_caccae_53434,700013715,700038386,557,3160685,449545,2058512,204,175,22785,105730,187,101,426760,1952782,17,74,294501,5554425,9420,16046,300607,537,3,71,0,1,100,0
Bacteroides_caccae_53434,700013715,700100600,560,3200239,456716,2084265,213,168,22772,105278,192,103,433944,1978987,21,65,297676,5629781,9504,15939,299346,549,2,63,0,1,102,0
Bacteroides_caccae_53434,700013715,700101243,569,3200483,456894,2084429,214,174,22738,105096,192,103,434156,1979333,22,71,297615,5630865,9519,15918,298827,543,1,70,0,1,102,0
Bacteroides_caccae_53434,700013715,700102586,231,3206057,457779,2088039,75,92,5780,25902,51,25,451999,2062137,24,67,310307,5866096,10008,3715,73862,129,2,64,1,1,24,0
Bacteroides_caccae_53434,700013715,700102659,1613,3194574,456446,2080583,604,435,56627,258306,588,370,399819,1822277,16,65,273845,5184244,8742,38909,734749,1260,0,65,0,2,368,0
Bacteroides_caccae_53434,700013715,700105049,215,3206669,457861,2088427,63,90,5809,26023,50,25,452052,2062404,13,65,310394,5866801,10017,3732,74208,129,2,63,0,1,24,0
Bacteroides_caccae_53434,700013715,700106836,237,3203988,457463,2086698,71,105,5802,25998,50,25,451661,2060700,21,80,310109,5861980,10011,3730,74135,129,1,79,0,1,24,0
Bacteroides_caccae_53434,700013715,700111156,943,3201811,457151,2085293,340,282,32345,147630,307,196,424806,1937663,33,86,291771,5511789,9429,21850,420359,681,3,83,0,1,195,0
Bacteroides_caccae_53434,700013715,700113867,214,3206501,457887,2088310,67,85,5806,26012,50,26,452081,2062298,17,59,310329,5866572,9993,3731,74176,129,0,59,0,1,25,0
Bacteroides_caccae_53434,700013715,700114480,574,3184917,454001,2074298,211,180,22595,104614,188,101,431406,1969684,23,79,296538,5603046,9468,15844,297458,540,1,78,0,1,100,0
