species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Prevotella_copri_61740,SRR413561,SRR413631,17467,1244507,174793,824682,7306,2561,106929,2363931,3186,11,2547,3
Prevotella_copri_61740,ERR912127,700033989,20219,1252603,176034,830026,8103,3598,107670,2379210,3198,8,3583,7
Prevotella_copri_61740,700119739,ERR911954,7075,1278247,179629,846906,2612,1543,109908,2427426,3384,8,1534,1
Prevotella_copri_61740,SRR341722,700015702,9235,1281179,180063,849003,3543,1871,110124,2433537,3348,3,1868,0
Prevotella_copri_61740,700016610,700014837,19869,1224369,171977,811152,8127,3433,105437,2324848,3171,11,3419,3
Prevotella_copri_61740,700016716,SRR413650,21799,1230693,172926,815644,8716,4035,105831,2338059,3042,18,4015,2
Prevotella_copri_61740,ERR911975,700165986,6705,1296655,182136,859140,2556,1449,111571,2462270,3579,6,1443,0
Prevotella_copri_61740,SRR413563,SRR413612,16054,1254656,176249,831424,6379,3057,107807,2383162,3303,13,3041,3
Prevotella_copri_61740,ERR912059,ERR912168,6880,1298256,182337,860144,2620,1487,111693,2465130,3609,5,1480,2
Prevotella_copri_61740,SRR341628,700165986,20068,1225312,171829,811842,8103,3448,105430,2326904,3192,11,3434,3
Prevotella_copri_61740,ERR912097,SRR413688,20428,1249900,175550,828157,8560,3140,107531,2373700,3240,9,3127,4
Prevotella_copri_61740,700113177,SRR413593,19363,1257537,176624,833268,7781,3497,108164,2388352,3288,12,3484,1
Prevotella_copri_61740,700119739,ERR912097,19582,1259799,177129,834802,7928,3529,108299,2392957,3150,13,3513,3
Prevotella_copri_61740,ERR912102,SRR341722,9262,1280664,179843,848587,3523,1941,110168,2432080,3513,3,1937,1
Prevotella_copri_61740,donald4-11-0-0_,SRR341722,19851,1244768,174855,824608,7790,3929,106927,2363483,3414,8,3917,4
Prevotella_copri_61740,ERR911996,700116468,6836,1291700,181274,855781,2593,1498,111217,2452514,3612,5,1491,2
Prevotella_copri_61740,mickey3-11-0-0_,SRR413662,20444,1233619,173429,817526,8314,3526,105866,2343583,3129,9,3515,2
Prevotella_copri_61740,700015702,700014837,21692,1225249,172213,811764,8579,4045,105373,2326940,2979,11,4028,6
Prevotella_copri_61740,ERR911975,SRR413593,19634,1258858,176870,834138,7861,3573,108237,2390901,3276,12,3560,1
Prevotella_copri_61740,SRR413662,ERR912127,18905,1232475,173323,816769,7551,3452,105788,2341396,3123,12,3433,7
