species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroidales_bacterium_58650,700014724,700117828,2051,1825401,328233,1188959,846,526,53774,192720,800,370,274459,996239,46,156,110737,2871578,6402,20965,555950,1245,2,153,1,0,370,0
Bacteroidales_bacterium_58650,700015181,700173377,446,1846858,332206,1203337,178,150,8641,30705,146,79,323565,1172632,32,71,129709,3380852,7335,3264,88644,207,1,70,0,0,79,0
Bacteroidales_bacterium_58650,700033665,ERR912085,1715,1854176,334484,1207930,749,495,55846,201391,655,331,278638,1006539,94,164,110501,2902744,6372,22406,580522,1245,2,162,0,3,328,0
Bacteroidales_bacterium_58650,700035237,700105613,1324,1902938,344874,1240379,536,364,35386,126811,488,244,309488,1113568,48,120,121399,3211904,7401,13772,365830,831,3,117,0,0,244,0
Bacteroidales_bacterium_58650,700035237,ERR912048,2003,1907034,345788,1243049,825,525,48479,175242,776,370,297309,1067807,49,155,116040,3080283,7098,19343,505243,1140,3,152,0,0,370,0
Bacteroidales_bacterium_58650,700035237,ERR912135,1497,1903863,345137,1240923,606,435,37165,133774,555,298,307972,1107149,51,137,120623,3193417,7407,14634,385833,855,3,134,0,1,297,0
Bacteroidales_bacterium_58650,700035237,ERR912161,957,1856156,334847,1209593,397,277,24390,86431,351,160,310457,1123162,46,117,123481,3238553,7452,9393,249279,621,3,114,0,0,159,1
Bacteroidales_bacterium_58650,700038053,700171648,2139,1679891,298392,1092547,917,536,55612,204104,841,381,242780,888443,76,155,101026,2558081,6222,23223,587940,1149,0,155,0,1,380,0
Bacteroidales_bacterium_58650,700038053,ERR911988,1540,1868487,337134,1217313,695,366,47813,171442,655,272,289321,1045871,40,94,115635,3014955,7023,18298,495053,975,1,93,0,0,272,0
Bacteroidales_bacterium_58650,700095647,700163699,651,1792758,321234,1167153,278,157,13505,48571,259,108,307729,1118582,19,49,125198,3223201,7347,5138,140296,279,0,49,0,1,107,0
Bacteroidales_bacterium_58650,700105613,ERR912048,2178,1926542,348952,1255828,942,530,60737,219554,900,403,288215,1036274,42,127,113037,2988831,6954,23908,633425,1329,1,126,0,0,403,0
Bacteroidales_bacterium_58650,700105613,ERR912135,692,1924834,348605,1254658,289,183,14550,52851,269,137,334055,1201807,20,46,131097,3466359,7965,5815,152381,357,2,44,0,1,135,1
Bacteroidales_bacterium_58650,700105613,ERR912161,1166,1877392,338426,1223497,500,297,31864,115369,451,187,306562,1108128,49,110,121936,3195041,7407,12605,332761,741,1,109,0,0,186,1
Bacteroidales_bacterium_58650,700110419,ERR912091,1380,1805880,324442,1175942,583,361,40772,146348,496,218,283670,1029594,87,143,114494,2967823,6465,15974,422191,879,2,140,1,1,217,0
Bacteroidales_bacterium_58650,700113762,700113975,1326,1931114,350025,1258915,546,367,32563,118155,502,251,317462,1140760,44,116,124076,3290485,7719,13100,340711,654,0,116,0,0,250,1
Bacteroidales_bacterium_58650,700113762,700164159,1143,1916305,347183,1249256,465,337,27165,97995,429,247,320018,1151261,36,90,125318,3320776,7689,10853,282607,525,0,90,0,0,246,1
Bacteroidales_bacterium_58650,700113975,700164159,360,1917363,347383,1249945,126,129,6806,24946,104,73,340577,1224999,22,56,133535,3533392,8070,2694,71979,165,0,56,0,0,73,0
Bacteroidales_bacterium_58650,700117828,700161742,1653,1861233,335452,1211906,663,421,44471,157793,600,268,290981,1054113,63,153,117024,3038379,6936,17128,455237,1014,2,151,0,2,266,0
Bacteroidales_bacterium_58650,700117828,ERR912096,1507,1930526,349899,1258556,617,395,41865,147955,564,268,308034,1110601,53,127,121420,3203195,7188,15735,427116,1014,1,126,0,1,267,0
Bacteroidales_bacterium_58650,700117828,ERR912148,1401,1928879,349551,1257423,577,363,40088,142539,524,240,309463,1114884,53,123,121888,3215504,7260,15197,411511,909,2,121,0,1,239,0
Bacteroidales_bacterium_58650,700117992,700119562,1094,1836604,329941,1196499,423,289,22116,79569,379,180,307825,1116930,44,109,124011,3219225,7554,8651,229636,420,2,107,0,0,179,1
Bacteroidales_bacterium_58650,700117992,700123562,947,1837227,330027,1196897,367,272,16759,60679,291,116,313268,1136218,76,156,125956,3275117,7581,6771,174849,417,3,153,0,0,115,1
