species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Alistipes_onderdonkii_55464,ERR912048,700172221,14034,1717213,302520,1123453,6057,3043,120770,3244123,5466,9,3030,4
Alistipes_onderdonkii_55464,700117938,700163181,16215,1650565,289482,1079315,7069,3415,117209,3115417,5319,9,3402,4
Alistipes_onderdonkii_55464,700099886,700165148,28396,1568643,273567,1025464,12192,5919,112019,2959300,5073,12,5901,6
Alistipes_onderdonkii_55464,ERR912179,ERR912172,26642,1741370,307495,1139846,11587,5731,122030,3291796,5712,14,5710,7
Alistipes_onderdonkii_55464,700165778,ERR912181,16387,1703006,301211,1114626,7072,3620,118944,3219543,5391,14,3598,8
Alistipes_onderdonkii_55464,mickey4-11-7-0_,700037284,16113,1627838,285290,1064990,7008,3389,115250,3074491,5229,8,3377,4
Alistipes_onderdonkii_55464,ERR912190,700103652,20899,1672562,294461,1094394,9062,4622,117501,3160548,5133,18,4600,4
Alistipes_onderdonkii_55464,ERR911992,700101581,30778,1662098,292270,1087318,13353,6593,117129,3139497,5328,18,6571,4
Alistipes_onderdonkii_55464,700167107,700097291,17092,1693595,298400,1108149,7396,3685,118843,3200444,5160,7,3675,3
Alistipes_onderdonkii_55464,700033201,700108840,27408,1711935,302773,1120681,11850,6058,119488,3237128,5427,16,6037,5
Alistipes_onderdonkii_55464,700033726,ERR912134,31769,1739236,306854,1138490,13797,6813,121591,3288362,5517,15,6793,5
Alistipes_onderdonkii_55464,SRR413613,700105517,15647,1735290,306349,1136319,6792,3388,121325,3282370,5262,9,3373,6
Alistipes_onderdonkii_55464,ERR912191,700037284,15059,1644921,288390,1076187,6467,3228,116379,3106923,5259,9,3217,2
Alistipes_onderdonkii_55464,ERR912048,700097291,18126,1727094,304843,1130348,7834,3963,120836,3264877,5331,14,3946,3
Alistipes_onderdonkii_55464,700037539,700095213,12219,1633070,286448,1068009,5271,2650,115571,3083314,5142,8,2636,6
Alistipes_onderdonkii_55464,700165455,ERR912066,18206,1687983,298193,1104741,7966,3933,118124,3190732,5367,11,3918,4
Alistipes_onderdonkii_55464,ERR912066,ERR912135,18042,1680950,297260,1099887,7876,3864,117553,3176768,5340,10,3849,5
Alistipes_onderdonkii_55464,700013597,700033726,17423,1714666,302302,1122289,7527,3815,119982,3241608,5277,10,3800,5
Alistipes_onderdonkii_55464,ERR911963,ERR912134,30981,1766726,312261,1156493,13436,6741,123469,3340289,5721,20,6716,5
Alistipes_onderdonkii_55464,700095353,ERR912039,15171,1711597,302104,1120162,6673,3260,119799,3235395,5292,9,3247,4
