species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Barnesiella_intestinihominis_62208,700014486,700103558,1899,2470191,351917,1603421,758,442,19793,88136,731,338,332124,1515285,27,104,232028,4305979,7848,13195,250826,387,0,104,0,0,338,0
Barnesiella_intestinihominis_62208,700014486,700106412,1893,2468045,351624,1602049,760,440,20006,89258,735,336,331618,1512791,25,104,231571,4298951,7851,13384,253988,402,0,104,0,0,336,0
Barnesiella_intestinihominis_62208,700014486,700116611,7693,2464530,351114,1599702,3135,1800,84538,379246,3094,1632,266576,1220456,41,168,187551,3467442,6375,57087,1078758,1893,1,167,0,5,1626,1
Barnesiella_intestinihominis_62208,700014486,700165167,3403,2393933,342992,1554197,1375,810,35274,157680,1343,717,307718,1396517,32,93,213521,3969217,6813,23812,448535,693,1,92,0,2,715,0
Barnesiella_intestinihominis_62208,700014724,700037852,2545,2469901,351604,1603218,979,597,27223,124724,954,526,324381,1478494,25,71,226424,4201300,7758,18951,354570,651,0,70,1,2,524,0
Barnesiella_intestinihominis_62208,700014724,ERR912005,5398,2473291,352202,1605395,2097,1326,60319,270190,2073,1188,291883,1335205,24,138,205160,3793306,7149,40492,768809,1269,0,137,1,3,1185,0
Barnesiella_intestinihominis_62208,700014954,700016542,3937,2444431,348203,1586706,1607,914,43094,194116,1583,812,305109,1392590,24,102,213690,3956859,7221,28971,552459,918,1,101,0,5,807,0
Barnesiella_intestinihominis_62208,700014954,700024318,5877,2426541,345341,1575003,2382,1296,67854,308306,2354,1156,277487,1266697,28,140,194712,3598752,6627,46428,877053,1437,2,138,0,4,1152,0
Barnesiella_intestinihominis_62208,700014954,700024449,6138,2446739,348600,1588171,2505,1341,67928,308459,2479,1213,280672,1279712,26,128,196253,3636238,6645,46624,877265,1488,1,127,0,4,1208,1
Barnesiella_intestinihominis_62208,700014954,700033665,797,2435222,347600,1580816,323,198,9311,41583,319,164,338289,1539233,4,34,235388,4374916,7395,6111,118434,204,1,33,0,1,163,0
