species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_massiliensis_44749,700116028,SRR413614,6791,2312070,324083,1504353,2545,1557,230463,4273836,8760,5,1549,3
Bacteroides_massiliensis_44749,700034081,700095486,6612,2314180,324467,1505735,2521,1466,230656,4277768,8781,9,1455,2
Bacteroides_massiliensis_44749,700105153,700101243,8695,2281320,319726,1484337,3239,1944,227397,4217055,8559,9,1932,3
Bacteroides_massiliensis_44749,SRR413600,700165263,10854,2269176,317964,1476452,4143,2426,226258,4194581,8517,10,2413,3
Bacteroides_massiliensis_44749,SRR413651,700171648,10958,2285823,320083,1487392,4182,2371,227972,4225579,8625,6,2362,3
Bacteroides_massiliensis_44749,SRR413621,ERR912195,11227,2307299,323439,1501278,4277,2511,229947,4265178,8709,9,2498,4
Bacteroides_massiliensis_44749,SRR341630,SRR341650,6286,2243339,312515,1459309,2351,1407,225268,4144064,8595,4,1401,2
Bacteroides_massiliensis_44749,700023872,700034081,6930,2323992,325927,1512103,2633,1532,231572,4295896,8841,9,1520,3
Bacteroides_massiliensis_44749,700164249,700033502,11203,2304054,323076,1499181,4264,2502,229636,4259246,8661,11,2488,3
Bacteroides_massiliensis_44749,donald4-11-30-0_,700102356,6771,2317631,325007,1508018,2590,1505,230967,4284315,8772,7,1496,2
Bacteroides_massiliensis_44749,SRR413616,700111296,7070,2292933,321724,1492014,2669,1600,228468,4238874,8700,12,1586,2
Bacteroides_massiliensis_44749,700110419,SRR341725,6460,2309700,323768,1502837,2485,1422,230250,4269498,8763,8,1412,2
Bacteroides_massiliensis_44749,700016716,700119496,6978,2303036,322863,1498434,2593,1645,229525,4257116,8661,7,1635,3
Bacteroides_massiliensis_44749,700171648,SRR341650,10691,2241924,312709,1458545,4054,2350,224571,4142514,8550,6,2341,3
Bacteroides_massiliensis_44749,700119496,700023337,6965,2307093,323281,1501045,2593,1642,230020,4264361,8754,8,1631,3
Bacteroides_massiliensis_44749,700099746,700119987,11137,2301182,322773,1497349,4237,2441,229292,4254181,8574,10,2428,3
Bacteroides_massiliensis_44749,SRR413562,SRR341710,6701,2310862,323850,1503586,2501,1500,230306,4271710,8742,9,1489,2
Bacteroides_massiliensis_44749,ERR912059,700097482,11219,2284930,320413,1486709,4301,2455,227626,4223900,8601,4,2445,6
Bacteroides_massiliensis_44749,SRR341709,ERR912172,7073,2298510,322242,1495596,2732,1598,229013,4249048,8727,9,1586,3
Bacteroides_massiliensis_44749,700105940,700106170,8562,2276108,319257,1481057,3269,1901,226789,4207781,8601,8,1890,3
