species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Eubacterium_rectale_56927,700021902,700023872,5357,1553881,210614,1034279,2037,1081,56309,278943,2017,997,154305,755336,20,84,107085,2154720,4203,39826,795620,1383,0,84,0,3,994,0
Eubacterium_rectale_56927,700021902,700105685,5273,1553772,210623,1034213,2027,1059,59565,294526,2019,1002,151058,739687,8,57,104697,2110281,4083,42199,839915,1464,1,56,0,3,999,0
Eubacterium_rectale_56927,700021902,700109231,5227,1545568,209492,1028710,2069,985,62231,304435,2061,929,147261,724275,8,56,102740,2066098,3987,43473,868266,1566,0,56,0,2,926,1
Eubacterium_rectale_56927,700021902,700161429,4102,1554443,210746,1034701,1537,845,48661,239380,1525,785,162085,795321,12,60,112594,2269112,4257,34355,682495,1290,0,60,0,1,784,0
Eubacterium_rectale_56927,700021902,700161856,3924,1547407,209597,1029968,1463,833,43380,213389,1450,754,166217,816579,13,79,115580,2329666,4491,30819,608319,1029,2,77,0,2,752,0
Eubacterium_rectale_56927,700021902,700171916,2941,1553003,210557,1033710,1096,659,33321,165031,1082,604,177236,868679,14,55,122857,2478428,4752,23962,470318,813,0,55,0,3,601,0
Eubacterium_rectale_56927,700023390,700105685,6000,1560428,211469,1038601,2365,1101,71609,351620,2361,1049,139860,686981,4,52,97180,1959968,3795,50282,1002715,1863,3,49,0,2,1046,1
Eubacterium_rectale_56927,700023603,700105685,5133,1559441,211398,1037975,1903,1051,59825,294914,1895,1004,151573,743061,8,47,104811,2120358,4014,42616,840497,1629,1,46,0,2,1002,0
Eubacterium_rectale_56927,700023603,700164611,3438,1563718,211986,1040814,1360,712,45538,224767,1343,667,166448,816047,17,45,115674,2327937,4530,32215,640928,1158,0,45,0,3,664,0
Eubacterium_rectale_56927,700023872,700161429,5081,1560311,211469,1038557,1939,993,56409,277192,1921,922,155060,761365,18,71,108675,2171193,4227,38797,791297,1482,0,71,0,2,920,0
Eubacterium_rectale_56927,700023872,700161856,4526,1554481,210478,1034637,1740,857,48527,237710,1720,768,161951,796927,20,89,113371,2272895,4515,33690,678252,1188,2,87,0,3,765,0
Eubacterium_rectale_56927,700023872,700171916,3759,1559968,211410,1038316,1447,746,39031,192203,1428,680,172379,846113,19,66,120363,2413200,4776,27079,548573,957,0,66,0,4,676,0
Eubacterium_rectale_56927,700105685,700161429,4769,1559977,211407,1038340,1806,959,57008,280131,1795,902,154399,758209,11,57,107585,2162875,4167,39857,799030,1506,2,55,0,2,900,0
Eubacterium_rectale_56927,700105685,700161856,5298,1552754,210220,1033486,2027,1067,60611,298559,2021,1010,149609,734927,6,57,104304,2096325,4152,42612,851565,1500,3,54,0,4,1006,0
Eubacterium_rectale_56927,700105685,700164611,5437,1562958,211780,1040311,2055,1136,66252,325770,2042,1079,145528,714541,13,57,101088,2038482,4053,46698,928947,1665,2,55,0,4,1075,0
Eubacterium_rectale_56927,700105685,700171916,4012,1558390,211194,1037259,1552,807,47939,237305,1542,757,163255,799954,10,50,113384,2281993,4485,33918,676782,1215,1,49,0,5,752,0
Eubacterium_rectale_56927,700109231,700161856,5604,1545652,209269,1028728,2202,1069,66229,322396,2191,1004,143040,706332,11,65,100530,2014458,4008,45789,919770,1629,1,64,0,5,998,1
Eubacterium_rectale_56927,700109231,700171916,4859,1550065,210060,1031675,1929,904,57883,281819,1919,854,152177,749856,10,50,106612,2138678,4278,39998,804049,1410,0,50,0,5,848,1
Eubacterium_rectale_56927,700161429,700161856,3922,1553454,210377,1033970,1480,762,47097,229853,1469,700,163280,804117,11,62,114346,2293610,4395,32581,655736,1242,2,60,0,1,699,0
Eubacterium_rectale_56927,700161429,700171916,2957,1559716,211422,1038149,1096,589,36842,180443,1084,549,174580,857706,12,40,121802,2446633,4683,25603,514718,1008,0,40,0,2,547,0
Eubacterium_rectale_56927,700161856,700171916,1633,1555510,210628,1035367,603,389,15191,73804,592,319,195437,961563,11,70,136636,2742716,5337,10539,210513,360,2,68,0,1,318,0
Eubacterium_rectale_56927,ERR911973,ERR912083,3295,1566513,212256,1042647,1280,576,40282,202394,1262,523,171974,840253,18,53,119153,2396887,4719,29024,577123,1035,1,52,0,3,519,1
Eubacterium_rectale_56927,ERR911973,ERR912133,4965,1566301,212203,1042498,1949,930,61351,304966,1938,875,150852,737532,11,55,104908,2103566,4122,43309,869969,1620,0,55,0,5,868,2
Eubacterium_rectale_56927,ERR912002,ERR912128,4372,1563713,211824,1040752,1720,849,51864,254686,1703,798,159960,786066,17,51,111806,2241976,4416,36154,726614,1290,0,51,0,1,795,2
Eubacterium_rectale_56927,ERR912062,ERR912127,5136,1563458,211763,1040541,1970,953,55471,273017,1964,911,156292,767524,6,42,108849,2189313,4410,39045,778662,1344,0,42,0,2,909,0
Eubacterium_rectale_56927,ERR912083,ERR912133,3735,1566912,212324,1042927,1441,772,47363,232405,1431,721,164961,810522,10,51,115440,2311677,4449,32759,663169,1287,1,50,0,7,713,1
Eubacterium_rectale_56927,ERR912128,ERR912159,5617,1563731,211894,1040783,2239,1052,65922,326213,2227,1014,145972,714570,12,38,101531,2038246,3933,46413,930444,1782,0,38,0,0,1013,1
