species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Ruminococcus_bicirculans_59300,ERR912046,ERR912092,23045,1773634,248271,1182383,8866,4301,151353,3389316,6480,13,4286,2
Ruminococcus_bicirculans_59300,ERR912046,700038761,23354,1764838,246941,1176477,9087,4294,150548,3372463,6420,10,4282,2
Ruminococcus_bicirculans_59300,ERR912171,700163868,23351,1767595,247355,1178308,9016,4215,150956,3377608,6360,15,4197,3
Ruminococcus_bicirculans_59300,ERR912053,700122765,22830,1756626,245796,1171052,8856,4085,149820,3357087,6249,21,4061,3
Ruminococcus_bicirculans_59300,700117184,700023509,22136,1748390,244762,1165483,8623,4016,149211,3340953,6285,17,3997,2
Ruminococcus_bicirculans_59300,ERR912002,700161856,22810,1756485,245701,1170919,8877,4048,149972,3356437,6348,11,4034,3
Ruminococcus_bicirculans_59300,ERR912158,ERR912092,28207,1731177,242288,1154014,10847,5250,147695,3308215,6132,24,5222,4
Ruminococcus_bicirculans_59300,700033502,700161629,22628,1751454,245161,1167655,8724,4133,149489,3347251,6225,16,4115,2
Ruminococcus_bicirculans_59300,SRR413659,700021902,26963,1710899,239648,1140494,10528,4826,145879,3269639,5964,17,4803,6
Ruminococcus_bicirculans_59300,700165052,700101638,22253,1752688,245009,1168368,8680,4039,149722,3349031,6351,13,4024,2
Ruminococcus_bicirculans_59300,700024233,700037501,23368,1745815,244263,1163931,9105,4219,149136,3336441,6216,16,4199,4
Ruminococcus_bicirculans_59300,700117395,700114653,22587,1759226,246103,1172740,8740,4103,150164,3361858,6198,16,4082,5
Ruminococcus_bicirculans_59300,700035785,700105049,22673,1736735,243115,1157776,8836,4189,148298,3318856,6174,14,4172,3
Ruminococcus_bicirculans_59300,700024086,ERR911977,23206,1760303,246390,1173432,9067,4222,150169,3363812,6315,16,4205,1
Ruminococcus_bicirculans_59300,700164641,700021361,22525,1742836,244168,1161805,8773,4073,148684,3330497,6234,10,4059,4
Ruminococcus_bicirculans_59300,ERR911966,ERR912053,21842,1765485,247160,1176936,8474,3902,150686,3373759,6363,10,3888,4
Ruminococcus_bicirculans_59300,ERR912041,700106836,22984,1749491,244838,1166322,9076,4051,149211,3343530,6225,11,4038,2
Ruminococcus_bicirculans_59300,700100540,700015181,15040,1753852,245432,1169154,5814,2722,149678,3351499,6285,7,2713,2
Ruminococcus_bicirculans_59300,700023788,ERR912084,23047,1762954,246695,1175168,8972,4068,150560,3368566,6378,19,4046,3
Ruminococcus_bicirculans_59300,700122765,700097291,22087,1737647,243201,1158503,8617,3911,148050,3321366,6093,19,3886,6
