species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_stercoris_56735,700013603,700105049,59,2188722,329645,1427659,17,36,186938,4088503,7536,1,34,1
Bacteroides_stercoris_56735,700014386,700165778,75,2204313,332119,1437831,14,50,188165,4117702,7626,1,49,0
Bacteroides_stercoris_56735,700014724,700037405,54,2138396,321887,1394497,6,38,182850,3993096,7545,1,37,0
Bacteroides_stercoris_56735,700014724,700095213,156,2158828,324947,1407803,31,92,184633,4031195,7581,5,87,0
Bacteroides_stercoris_56735,700014724,700095717,166,2152994,324144,1404071,34,89,184150,4020479,7584,3,86,0
Bacteroides_stercoris_56735,700014724,700117303,77,2123865,319599,1384900,15,45,181392,3965826,7482,2,43,0
Bacteroides_stercoris_56735,700014724,700167825,166,2134704,321379,1392300,36,93,182590,3986825,7485,2,91,0
Bacteroides_stercoris_56735,700014724,ERR912173,177,2147356,323210,1400269,36,92,183711,4009530,7566,5,87,0
Bacteroides_stercoris_56735,700016000,700038956,65,2179389,328274,1421614,11,48,186137,4071082,7623,6,42,0
Bacteroides_stercoris_56735,700016000,ERR911954,66,2163516,325831,1411157,10,46,184842,4041045,7584,5,41,0
Bacteroides_stercoris_56735,700016542,SRR413562,98,2201917,331639,1436248,23,58,188105,4112995,7644,5,53,0
Bacteroides_stercoris_56735,700016542,SRR413616,116,2211140,333077,1442301,27,62,188879,4130344,7680,3,59,0
Bacteroides_stercoris_56735,700033436,700034166,91,2206109,332314,1439032,16,53,188501,4120945,7650,6,47,0
Bacteroides_stercoris_56735,700037405,700095213,166,2186122,329093,1425926,33,97,186841,4083242,7695,5,91,1
Bacteroides_stercoris_56735,700037405,700095717,175,2187542,329451,1426875,36,95,186903,4086006,7716,3,92,0
Bacteroides_stercoris_56735,700037405,700117303,85,2168483,326476,1414409,17,52,185154,4050438,7635,2,50,0
Bacteroides_stercoris_56735,700037405,700167825,179,2171624,327022,1416621,40,100,185534,4056721,7608,2,98,0
Bacteroides_stercoris_56735,700037405,ERR912173,187,2177222,327814,1420060,38,99,186153,4066350,7677,5,94,0
Bacteroides_stercoris_56735,700038956,ERR911954,63,2194901,330501,1431585,9,42,187560,4099446,7749,3,39,0
Bacteroides_stercoris_56735,700095213,700095717,107,2202247,331569,1436486,24,63,188291,4113430,7737,2,60,1
Bacteroides_stercoris_56735,700095213,700117303,155,2172717,326999,1417087,41,82,185452,4058186,7623,5,77,0
Bacteroides_stercoris_56735,700095213,700167825,151,2183282,328755,1424265,39,85,186644,4078534,7617,3,82,0
Bacteroides_stercoris_56735,700095213,ERR912173,162,2197451,330784,1433251,38,86,187891,4104146,7716,6,80,0
Bacteroides_stercoris_56735,700095717,700117303,164,2167211,326299,1413546,43,81,184997,4048009,7632,3,78,0
Bacteroides_stercoris_56735,700095717,700167825,163,2183966,328967,1424733,41,86,186640,4079909,7650,1,85,0
Bacteroides_stercoris_56735,700095717,ERR912173,169,2192183,330120,1429871,38,84,187475,4094416,7722,4,80,0
Bacteroides_stercoris_56735,700097906,700161533,74,2215221,333637,1444952,16,40,189266,4137829,7761,2,38,0
Bacteroides_stercoris_56735,700097906,SRR413601,67,2189585,329799,1428057,11,41,187281,4089201,7689,1,40,0
Bacteroides_stercoris_56735,700097906,SRR413607,64,2219199,334318,1447593,13,35,189565,4145462,7752,0,35,0
Bacteroides_stercoris_56735,700097906,SRR413618,62,2220276,334485,1448282,16,35,189659,4147423,7764,1,34,0
Bacteroides_stercoris_56735,700097906,SRR413619,77,2219710,334398,1447913,21,37,189624,4146333,7782,1,36,0
Bacteroides_stercoris_56735,700097906,ERR912165,68,2215720,333742,1445274,19,35,189325,4138712,7785,1,34,0
Bacteroides_stercoris_56735,700105049,ERR912198,72,2187808,329448,1426999,17,45,186920,4086514,7563,2,41,2
Bacteroides_stercoris_56735,700108161,SRR341638,105,2181797,328066,1422921,23,56,186756,4074432,7575,2,53,1
Bacteroides_stercoris_56735,700108161,SRR413562,66,2199170,331332,1434492,18,32,187855,4108028,7593,3,29,0
Bacteroides_stercoris_56735,700108161,SRR413616,83,2203869,332099,1437558,22,34,188251,4116797,7626,1,33,0
Bacteroides_stercoris_56735,700117303,700167825,166,2151744,323928,1403635,46,85,183681,4019673,7551,2,83,0
Bacteroides_stercoris_56735,700117303,ERR912173,175,2168337,326360,1414200,45,84,185108,4049872,7620,5,79,0
Bacteroides_stercoris_56735,700161533,SRR413607,59,2214384,333484,1444456,6,34,189191,4136425,7752,1,33,0
Bacteroides_stercoris_56735,700161533,SRR413618,79,2215211,333623,1444981,14,45,189250,4137929,7764,1,44,0
Bacteroides_stercoris_56735,700161533,SRR413619,71,2214860,333563,1444758,15,36,189247,4137248,7779,1,35,0
Bacteroides_stercoris_56735,700161533,ERR912165,61,2211244,332946,1442351,10,34,188981,4130293,7779,1,33,0
Bacteroides_stercoris_56735,700161945,ERR911956,97,2183600,328618,1424109,25,49,186795,4077864,7668,2,47,0
Bacteroides_stercoris_56735,700164792,700172813,68,2195635,330768,1432188,13,42,187558,4101455,7551,2,38,2
Bacteroides_stercoris_56735,700167825,ERR912173,148,2174496,327426,1418520,37,80,185959,4061987,7614,3,77,0
Bacteroides_stercoris_56735,SRR341618,SRR341645,13,2128814,318670,1387235,3,6,183910,3970229,7566,0,6,0
Bacteroides_stercoris_56735,SRR341618,SRR341710,44,2166177,325497,1412879,8,28,185607,4045437,7593,2,26,0
Bacteroides_stercoris_56735,SRR341638,SRR413562,96,2182603,328077,1423422,23,53,186810,4075854,7602,3,50,0
Bacteroides_stercoris_56735,SRR341638,SRR413616,111,2190585,329311,1428657,25,56,187475,4090855,7641,1,54,1
Bacteroides_stercoris_56735,SRR341640,SRR413581,46,2113984,317864,1378730,8,29,181019,3947782,7389,1,27,1
Bacteroides_stercoris_56735,SRR341640,SRR413663,85,2114297,317941,1378975,19,49,181055,3948466,7404,1,48,0
Bacteroides_stercoris_56735,SRR341645,SRR341710,54,2126590,318422,1385758,10,33,183731,3966022,7521,2,31,0
Bacteroides_stercoris_56735,SRR341690,SRR341691,85,2192601,329834,1430138,20,49,187438,4095245,7731,0,49,0
Bacteroides_stercoris_56735,SRR413562,SRR413616,61,2203487,331911,1437275,19,27,188206,4115984,7635,2,25,0
Bacteroides_stercoris_56735,SRR413580,SRR413627,126,2190720,329977,1429196,25,69,187255,4092770,7563,1,68,0
Bacteroides_stercoris_56735,SRR413581,SRR413663,88,2189225,329756,1428334,24,51,187054,4090403,7545,2,49,0
Bacteroides_stercoris_56735,SRR413601,SRR413607,52,2189159,329713,1427820,5,33,187227,4088550,7683,0,33,0
Bacteroides_stercoris_56735,SRR413601,SRR413618,71,2190033,329846,1428393,10,42,187306,4090187,7686,0,42,0
Bacteroides_stercoris_56735,SRR413601,SRR413619,50,2189370,329748,1427948,8,29,187258,4088888,7698,0,29,0
Bacteroides_stercoris_56735,SRR413607,SRR413618,73,2220049,334446,1448174,11,40,189607,4147139,7776,0,40,0
Bacteroides_stercoris_56735,SRR413618,SRR413619,73,2220377,334489,1448380,17,38,189656,4147684,7800,0,38,0
Bacteroides_stercoris_56735,SRR413619,ERR912165,58,2215983,333744,1445488,15,27,189362,4139302,7800,0,27,0
Bacteroides_stercoris_56735,ERR911968,1089279-24-0-0_,153,2197203,330942,1433222,26,89,187607,4104469,7590,4,84,1
Bacteroides_stercoris_56735,ERR912018,ERR912022,91,2205315,332006,1438446,9,67,188435,4119112,7791,4,62,1
Bacteroides_stercoris_56735,ERR912032,ERR912182,68,2171592,327052,1416242,9,49,185702,4055497,7527,2,47,0
Bacteroides_stercoris_56735,ERR912055,ERR912182,82,2158926,325166,1408027,11,62,184691,4031971,7419,2,60,0
Bacteroides_stercoris_56735,ERR912055,ERR912191,72,2157599,324953,1407168,12,50,184578,4029513,7413,4,46,0
Bacteroides_stercoris_56735,ERR912182,ERR912191,64,2203708,331928,1437553,10,45,188282,4116817,7560,2,43,0
