species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Ruminococcus_bicirculans_59300,700013693,700033665,1332,1762784,247142,1175296,442,370,10800,51352,426,241,236342,1123944,16,129,143844,3222132,5856,6399,147411,246,2,126,1,1,240,0
Ruminococcus_bicirculans_59300,700013693,700117172,1277,1765403,247269,1176931,435,332,10760,51352,416,197,236509,1125579,19,135,144221,3226444,6072,6359,147448,249,2,133,0,1,196,0
Ruminococcus_bicirculans_59300,700013693,700161429,2395,1771195,247950,1180832,861,510,21997,104998,838,381,225953,1075834,23,129,137681,3084031,5790,13307,301099,588,3,126,0,1,380,0
Ruminococcus_bicirculans_59300,700015415,700038761,1769,1771124,247784,1180672,661,374,14358,66869,629,213,233426,1113803,32,161,142646,3192586,6177,8454,191853,300,3,158,0,1,212,0
Ruminococcus_bicirculans_59300,700021361,700167107,3276,1746904,244422,1164497,1265,630,31296,148281,1242,491,213126,1016216,23,139,130028,2913100,5520,18963,425088,792,2,136,1,1,490,0
Ruminococcus_bicirculans_59300,700023788,700105049,1617,1767340,247205,1178083,575,303,14783,70020,547,220,232422,1108063,28,83,142006,3176096,6087,8931,200793,336,3,80,0,1,219,0
Ruminococcus_bicirculans_59300,700023788,700171916,2107,1771545,247914,1180914,760,425,20140,95462,736,329,227774,1085452,24,96,139013,3111394,5949,12260,273661,465,2,94,0,1,328,0
Ruminococcus_bicirculans_59300,700033665,700117172,405,1759616,246731,1173165,114,150,2785,12780,102,62,243946,1160385,12,88,148537,3326591,6027,1612,36665,63,0,87,1,0,62,0
Ruminococcus_bicirculans_59300,700033665,700161429,1694,1762468,247040,1175090,600,398,15216,71993,583,295,231824,1103097,17,103,141131,3162445,5715,9162,206427,390,1,101,1,0,295,0
Ruminococcus_bicirculans_59300,700105049,700171916,1095,1772304,247977,1181399,390,240,9377,45383,369,172,238600,1136016,21,68,145464,3256335,6249,5853,130080,216,1,67,0,0,172,0
Ruminococcus_bicirculans_59300,700105940,700106198,2157,1774523,248177,1182960,806,471,19426,94182,776,305,228751,1088778,30,166,139552,3120845,5937,11933,270124,489,1,165,0,0,305,0
Ruminococcus_bicirculans_59300,700117172,700161429,1640,1765594,247222,1177059,593,367,15500,73649,577,257,231722,1103410,16,110,141301,3162992,5937,9379,211151,417,1,109,0,0,257,0
Ruminococcus_bicirculans_59300,700171441,700172346,2671,1755097,245251,1170023,1008,585,26678,125504,993,482,218573,1044519,15,103,133970,2993872,5715,15865,359984,663,2,101,0,1,481,0
Ruminococcus_bicirculans_59300,ERR912002,mickey4-11-0-0_,3208,1775265,248374,1183364,1221,617,32147,153113,1200,506,216227,1030251,21,111,131848,2953223,5682,19666,438803,870,2,108,1,3,502,1
