species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Parabacteroides_distasonis_56985,700013603,700034794,2729,2519732,354206,1633822,1105,475,28188,129515,1076,397,326018,1504307,29,78,228532,4276418,7971,19750,368150,645,3,75,0,1,396,0
Parabacteroides_distasonis_56985,700013603,700037649,2750,2531861,356248,1641787,1139,511,33028,151121,1106,437,323220,1490666,33,74,226338,4237797,7863,22892,429700,771,2,72,0,1,436,0
Parabacteroides_distasonis_56985,700013603,700037738,2698,2504758,351537,1623936,1097,461,27575,126745,1065,375,323962,1497191,32,86,227859,4255764,7950,19372,360239,624,4,82,0,0,375,0
Parabacteroides_distasonis_56985,700013603,700100600,2587,2508800,352300,1626734,1053,447,26502,121557,1020,371,325798,1505177,33,76,228961,4278608,7962,18492,345597,582,3,73,0,2,369,0
Parabacteroides_distasonis_56985,700013603,700107059,2576,2518375,353956,1632976,1059,449,26558,121727,1026,374,327398,1511249,33,75,229650,4296087,8010,18506,346099,576,2,73,0,1,373,0
Parabacteroides_distasonis_56985,700013603,700116076,3168,2527537,355661,1638961,1308,565,33771,154365,1281,487,321890,1484596,27,78,225497,4220473,7818,23312,439003,780,3,75,0,3,483,1
Parabacteroides_distasonis_56985,700013603,ERR911965,2688,2532425,356349,1642151,1110,495,33045,151214,1078,430,323304,1490937,32,65,226346,4238596,7869,22952,429919,771,2,63,0,1,429,0
Parabacteroides_distasonis_56985,700013603,ERR912037,884,2535615,356810,1644231,365,201,9884,43276,343,145,346926,1600955,22,56,243354,4551039,8472,6214,123431,183,3,53,0,0,145,0
Parabacteroides_distasonis_56985,700013603,ERR912061,2098,2534274,356645,1643365,836,421,24975,112585,804,340,331670,1530780,32,81,232572,4351686,8082,16886,320308,561,3,78,0,1,339,0
Parabacteroides_distasonis_56985,700013603,ERR912065,2123,2534419,356661,1643444,841,429,24855,112138,807,342,331806,1531306,34,87,232691,4353154,8073,16813,319028,573,2,85,0,1,341,0
Parabacteroides_distasonis_56985,700013603,ERR912110,5554,2531488,356191,1641578,2285,1070,65377,296912,2219,925,290814,1344666,66,145,204777,3822108,7113,44418,844812,1506,2,143,0,7,918,0
Parabacteroides_distasonis_56985,700014837,700015181,1518,2516599,353683,1631840,666,255,16616,75872,647,198,337067,1555968,19,57,236398,4423214,8292,11552,215692,372,3,54,0,1,197,0
Parabacteroides_distasonis_56985,700014837,700021902,1528,2534584,356238,1643468,662,267,16297,74400,641,197,339941,1569068,21,70,238347,4460436,8421,11351,211477,372,1,69,0,2,195,0
Parabacteroides_distasonis_56985,700014837,700024024,1351,2523457,354335,1636184,535,291,16721,77751,521,230,337614,1558433,14,61,236856,4430082,8361,12003,220899,351,2,59,0,1,228,1
Parabacteroides_distasonis_56985,700014837,700037123,1539,2533810,356147,1642961,669,258,16624,76011,651,198,339523,1566950,18,60,238043,4454404,8403,11573,216085,375,1,59,0,1,197,0
Parabacteroides_distasonis_56985,700014837,700038386,392,2464130,343720,1597504,146,72,4453,20808,134,33,339267,1576696,12,39,241353,4480308,8427,3200,59101,123,2,37,0,0,33,0
Parabacteroides_distasonis_56985,700014837,700119562,1564,2515608,353600,1631201,681,267,16423,74924,655,199,337177,1556277,26,68,236452,4424063,8316,11433,212976,363,3,65,0,1,198,0
Parabacteroides_distasonis_56985,700014837,ERR911993,1869,2535223,356307,1643901,803,341,19883,89660,783,267,336424,1554241,20,74,236272,4418129,8322,13511,255028,441,1,73,0,2,265,0
Parabacteroides_distasonis_56985,700014837,donald4-11-7-0_,2421,2524573,354624,1636865,1041,433,32463,148399,1014,343,322161,1488466,27,90,226605,4230774,8019,22281,422157,759,1,89,0,2,341,0
Parabacteroides_distasonis_56985,700015181,700024024,2419,2512364,353023,1629125,1019,437,30183,139810,994,355,322840,1489315,25,82,226102,4233884,7959,21501,397266,663,5,77,0,0,354,1
Parabacteroides_distasonis_56985,700015181,700038386,1793,2445203,341231,1585305,772,296,20632,94883,752,228,320599,1490422,20,68,228119,4235188,7959,14520,269667,462,5,63,0,1,227,0
Parabacteroides_distasonis_56985,700015181,700119562,86,2521716,354805,1635262,22,54,146,565,1,1,354659,1634697,21,53,248127,4647339,8625,84,1611,0,2,51,0,0,1,0
Parabacteroides_distasonis_56985,700015181,ERR911993,436,2526266,355418,1638241,157,146,3831,16365,131,76,351587,1621876,26,70,246284,4610737,8607,2385,46647,63,4,66,0,1,75,0
Parabacteroides_distasonis_56985,700015181,donald4-11-7-0_,1138,2513637,353374,1629927,465,271,17656,80354,437,177,335718,1549573,28,94,235819,4404662,8238,11805,228828,429,3,91,0,2,175,0
Parabacteroides_distasonis_56985,700015702,700164792,411,2541725,357709,1648179,151,109,4888,21989,134,62,352821,1626190,17,47,246919,4623086,8565,3201,62637,129,1,46,0,1,61,0
Parabacteroides_distasonis_56985,700015702,ERR912061,7347,2533165,356557,1642646,3114,1312,92809,423715,3068,1147,263748,1218931,46,165,185883,3464373,6537,63431,1205635,2079,1,163,1,4,1142,1
Parabacteroides_distasonis_56985,700015702,ERR912065,7422,2533622,356631,1642920,3137,1334,87485,398717,3084,1164,269146,1244203,53,170,189676,3536225,6708,59676,1134561,1914,1,168,1,4,1159,1
Parabacteroides_distasonis_56985,700015702,ERR912110,6667,2539691,357405,1646853,2848,1208,80138,365024,2792,1052,277267,1281829,56,156,195352,3643241,6894,54603,1038702,1767,3,152,1,5,1046,1
Parabacteroides_distasonis_56985,700016000,700117031,3975,2548434,358507,1652571,1611,790,57943,266641,1547,650,300564,1385930,64,140,210380,3939961,7449,40359,758307,1257,2,138,0,1,648,1
Parabacteroides_distasonis_56985,700016000,700172132,223,2548520,358363,1652601,68,81,1542,6769,45,35,356821,1645832,23,46,249873,4678926,8697,1009,19280,18,0,46,0,0,35,0
Parabacteroides_distasonis_56985,700016000,ERR911954,2245,2551176,358877,1654351,950,443,30350,138952,899,352,328527,1515399,51,91,230349,4307724,8124,20691,395529,636,0,91,0,0,351,1
Parabacteroides_distasonis_56985,700016000,SRR341698,218,2533924,355907,1643054,66,81,1403,6145,43,32,354504,1636909,23,49,248772,4653207,8748,910,17507,18,0,49,0,0,32,0
Parabacteroides_distasonis_56985,700016716,700024930,6193,2517073,353802,1632132,2545,1143,88091,402108,2497,1001,265711,1230024,48,142,187372,3496190,6510,60634,1143650,2040,0,141,1,5,996,0
Parabacteroides_distasonis_56985,700021824,700037357,39,2535164,356240,1643833,7,24,107,396,4,1,356133,1643437,3,23,249838,4671746,8727,65,1123,0,0,23,0,0,1,0
Parabacteroides_distasonis_56985,700021824,700038072,38,2534792,356089,1643566,6,25,166,643,4,2,355923,1642923,2,23,249824,4670203,8742,103,1826,0,0,23,0,0,2,0
Parabacteroides_distasonis_56985,700021824,700100227,1140,2532589,355778,1642188,468,240,12183,55255,414,140,343595,1586933,54,100,241213,4511183,8403,8534,156961,270,4,96,0,0,140,0
Parabacteroides_distasonis_56985,700021824,700107930,1761,2533228,355976,1642602,719,384,27933,128313,691,278,328043,1514289,28,106,230193,4304694,7980,19492,364751,696,4,102,0,1,277,0
Parabacteroides_distasonis_56985,700021876,700024086,102,2520612,354160,1634300,13,65,157,624,2,2,354003,1633676,11,63,248420,4643932,8676,102,1770,0,1,62,0,0,2,0
Parabacteroides_distasonis_56985,700021876,700095213,274,2516033,353552,1631354,93,80,1947,9048,72,17,351605,1622306,21,63,246659,4611679,8580,1332,25770,42,1,62,0,0,17,0
Parabacteroides_distasonis_56985,700021876,700096047,573,2521412,354369,1634819,217,138,4961,22830,193,71,349408,1611989,24,67,245130,4582287,8550,3403,64961,126,2,65,0,0,71,0
Parabacteroides_distasonis_56985,700021876,ERR911959,99,2516306,353623,1631513,19,55,118,457,4,1,353505,1631056,15,54,248011,4636502,8655,76,1295,0,0,54,0,0,1,0
Parabacteroides_distasonis_56985,700021876,ERR912059,107,2521934,354410,1635166,24,61,118,448,4,2,354292,1634718,20,59,248557,4646930,8667,75,1269,0,0,59,0,0,2,0
Parabacteroides_distasonis_56985,700021876,SRR341697,121,2509736,352421,1627180,27,66,147,587,3,0,352274,1626593,24,66,247504,4623605,8670,97,1664,0,0,66,0,0,0,0
Parabacteroides_distasonis_56985,700021902,700024024,2514,2528532,355353,1639599,1051,464,30728,142236,1028,367,324625,1497363,23,97,227292,4256733,8064,21872,404161,675,3,94,0,1,365,1
