species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Parabacteroides_merdae_56972,700014386,700015981,147,2337461,341915,1520024,35,59,1576,6592,21,5,340339,1513432,14,54,215475,4316823,7998,923,18817,36,1,53,0,0,5,0
Parabacteroides_merdae_56972,700014386,700016902,1946,2401700,353820,1562115,764,414,39170,170914,738,308,314650,1391201,26,106,196935,3969510,7158,23785,488042,915,0,106,0,1,306,1
Parabacteroides_merdae_56972,700014386,700024086,1703,2359568,347562,1534668,689,372,39405,171116,661,264,308157,1363552,28,108,193082,3890581,6993,23782,488552,1014,2,106,0,1,263,0
Parabacteroides_merdae_56972,700014386,700032133,114,2409319,355063,1567047,25,61,1498,6141,4,1,353565,1560906,21,60,220470,4454118,8130,866,17518,39,0,60,0,0,1,0
Parabacteroides_merdae_56972,700014386,700033922,99,2409336,355039,1567067,23,48,1498,6147,4,1,353541,1560920,19,47,220485,4454145,8130,867,17535,39,0,47,0,0,1,0
Parabacteroides_merdae_56972,700014386,700037852,356,2401206,353504,1561719,122,110,5633,24928,109,47,347871,1536791,13,63,217286,4385089,7998,3581,71056,147,2,61,0,0,47,0
Parabacteroides_merdae_56972,700014386,700038594,108,2409295,355045,1567043,19,65,1498,6141,4,1,353547,1560902,15,64,220482,4454100,8124,866,17518,39,1,62,1,0,1,0
Parabacteroides_merdae_56972,700014386,700105312,124,2409400,355069,1567109,24,68,1498,6141,4,1,353571,1560968,20,67,220488,4454289,8127,866,17518,39,0,66,1,0,1,0
Parabacteroides_merdae_56972,700014386,700111223,113,2405642,354600,1564700,20,64,1498,6147,4,1,353102,1558553,16,63,220124,4447435,8100,866,17536,39,0,63,0,0,1,0
Parabacteroides_merdae_56972,700014386,700113177,115,2409521,355077,1567195,26,61,2016,8372,7,1,353061,1558823,19,60,220180,4448165,8124,1203,23871,42,3,57,0,0,1,0
Parabacteroides_merdae_56972,700014386,700117069,76,2408812,354993,1566724,13,48,1498,6141,4,1,353495,1560583,9,47,220426,4453193,8130,866,17518,39,2,43,2,0,1,0
Parabacteroides_merdae_56972,700014386,ERR911954,730,2396573,353097,1558727,287,172,16530,72887,265,118,336567,1485840,22,54,210119,4239646,7755,10199,208093,369,0,54,0,0,118,0
Parabacteroides_merdae_56972,700014386,ERR911975,116,2410121,355182,1567574,14,71,1498,6141,4,1,353684,1561433,10,70,220579,4455593,8127,866,17518,39,1,69,0,0,1,0
Parabacteroides_merdae_56972,700014562,700016142,119,2394845,352917,1557616,37,41,1238,5206,28,4,351679,1552410,9,37,219300,4429977,7953,695,14908,15,0,37,0,0,4,0
Parabacteroides_merdae_56972,700014562,700016542,3603,2384674,351379,1550973,1474,707,79350,349510,1438,563,272029,1201463,36,144,170209,3428036,6144,48807,997902,1821,4,140,0,1,561,1
Parabacteroides_merdae_56972,700014562,700016765,2855,2390087,352123,1554488,1158,568,64563,284818,1130,456,287560,1269670,28,112,179717,3622882,6411,39964,812975,1515,2,110,0,2,453,1
Parabacteroides_merdae_56972,700014562,700024318,2862,2378302,350355,1546778,1155,582,59650,261930,1126,450,290705,1284848,29,132,181929,3666051,6564,36606,747792,1392,2,130,0,1,448,1
Parabacteroides_merdae_56972,700014562,700034254,174,2393687,352682,1556851,54,62,1755,7168,35,19,350927,1549683,19,43,219060,4422072,7917,920,20542,42,1,42,0,0,19,0
Parabacteroides_merdae_56972,700014562,700097234,3681,2378735,350665,1547118,1504,727,79608,351151,1469,583,271057,1195967,35,144,169111,3412730,6060,49175,1002484,1794,2,142,0,0,582,1
Parabacteroides_merdae_56972,700014562,700106170,319,2392203,352391,1555838,108,94,5541,24027,97,44,346850,1531811,11,50,216425,4371136,7872,3477,68499,105,2,48,0,1,43,0
Parabacteroides_merdae_56972,700014562,700106229,124,2395322,352964,1557913,38,45,1677,6942,28,14,351287,1550971,10,31,219109,4425836,7968,953,19849,24,1,30,0,0,14,0
Parabacteroides_merdae_56972,700014562,700117172,2874,2391875,352448,1555647,1159,579,63714,280809,1130,454,288734,1274838,29,125,180404,3637588,6522,39395,801571,1461,2,123,0,1,452,1
Parabacteroides_merdae_56972,700014562,ERR912126,3208,2393054,352642,1556389,1302,660,70121,307583,1262,512,282521,1248806,40,148,177065,3563029,6324,42811,878288,1650,2,146,0,2,509,1
Parabacteroides_merdae_56972,700015702,700024673,2909,2179179,321273,1416806,1181,697,94268,414250,1126,542,227005,1002556,55,155,142266,2860413,4989,58036,1182443,2271,0,155,0,4,537,1
Parabacteroides_merdae_56972,700015702,700032944,334,2185420,322371,1420995,110,109,4435,18951,91,28,317936,1402044,19,81,198106,4001009,7017,2573,54172,108,1,80,0,1,27,0
Parabacteroides_merdae_56972,700015702,700099886,449,2211166,326028,1437774,162,126,6912,29620,141,47,319116,1408154,21,79,199169,4018141,7152,3966,84756,138,0,79,0,1,46,0
Parabacteroides_merdae_56972,700015981,700016902,1798,2331503,340937,1516176,699,379,34778,154585,676,280,306159,1361591,23,99,194077,3883559,7137,21844,441065,846,1,98,0,0,279,1
Parabacteroides_merdae_56972,700015981,700023267,644,2338584,342056,1520750,143,339,2657,11644,23,5,339399,1509106,120,334,215001,4304343,7974,1545,33297,90,11,323,0,0,5,0
Parabacteroides_merdae_56972,700015981,700024086,1627,2292089,335205,1490522,650,345,35205,155425,624,246,300000,1335097,26,99,190239,3808107,6945,21997,443312,966,3,96,0,1,245,0
Parabacteroides_merdae_56972,700015981,700032133,128,2339164,342170,1521131,34,54,128,611,17,3,342042,1520520,17,51,216490,4337000,8070,80,1753,0,1,50,0,0,3,0
Parabacteroides_merdae_56972,700015981,700033922,111,2339239,342171,1521188,30,40,128,611,17,3,342043,1520577,13,37,216508,4337153,8070,80,1753,0,1,36,0,0,3,0
Parabacteroides_merdae_56972,700015981,700037852,365,2337152,341799,1519832,130,101,4194,19113,117,47,337605,1500719,13,54,213696,4280496,7965,2753,54484,102,3,51,0,0,47,0
Parabacteroides_merdae_56972,700015981,700038594,121,2339271,342180,1521206,27,57,128,611,17,3,342052,1520595,10,54,216512,4337209,8064,80,1753,0,2,51,1,0,3,0
Parabacteroides_merdae_56972,700015981,700095058,129,2336530,341804,1519451,32,56,138,647,17,3,341666,1518804,15,53,216167,4332208,8037,83,1858,0,2,51,0,0,3,0
Parabacteroides_merdae_56972,700015981,700105312,141,2339128,342156,1521112,33,61,128,611,17,3,342028,1520501,16,58,216497,4336936,8070,80,1753,0,1,56,1,0,3,0
Parabacteroides_merdae_56972,700015981,700111223,128,2335645,341736,1518885,29,58,128,611,17,3,341608,1518274,12,55,216143,4330636,8043,80,1753,0,1,54,0,0,3,0
Parabacteroides_merdae_56972,700015981,700113177,142,2339215,342171,1521170,39,58,656,2882,20,3,341515,1518288,19,55,216171,4330626,8067,421,8222,3,4,51,0,0,3,0
Parabacteroides_merdae_56972,700015981,700117069,154,2338705,342108,1520840,32,72,128,611,17,3,341980,1520229,15,69,216443,4336174,8070,80,1753,0,3,65,1,0,3,0
Parabacteroides_merdae_56972,700015981,ERR911954,680,2325910,340135,1512475,263,154,15214,68415,245,109,324921,1444060,18,45,205721,4118785,7674,9758,195133,354,1,44,0,0,109,0
Parabacteroides_merdae_56972,700015981,ERR911975,135,2339117,342155,1521099,23,66,128,611,17,3,342027,1520488,6,63,216500,4336897,8067,80,1753,0,2,61,0,0,3,0
Parabacteroides_merdae_56972,700015981,ERR912052,198,2339018,342135,1521036,52,95,128,611,17,3,342007,1520425,35,92,216498,4336707,8070,80,1753,0,3,89,0,0,3,0
Parabacteroides_merdae_56972,700016142,700016542,3666,2386544,351666,1552229,1490,723,82159,360895,1463,589,269507,1191334,27,134,168801,3399081,6120,50361,1030434,1890,4,130,0,1,587,1
Parabacteroides_merdae_56972,700016142,700016765,2914,2391241,352291,1555267,1171,582,64765,284927,1146,460,287526,1270340,25,122,179812,3624743,6465,39972,813333,1476,2,120,0,2,457,1
Parabacteroides_merdae_56972,700016142,700024318,2923,2380169,350630,1548013,1169,596,59999,262740,1146,462,290631,1285273,23,134,181991,3667210,6618,36694,750149,1377,2,132,0,1,460,1
Parabacteroides_merdae_56972,700016142,700034254,232,2394898,352872,1557655,76,71,3323,13783,65,27,349549,1543872,11,44,218243,4405456,7917,1819,39452,78,1,43,0,0,27,0
Parabacteroides_merdae_56972,700016142,700097234,3746,2380884,350987,1548541,1521,745,82329,361186,1499,611,268658,1187355,22,134,168134,3387862,6069,50328,1031406,1824,2,132,0,0,610,1
Parabacteroides_merdae_56972,700016142,700106170,380,2393815,352613,1556913,127,109,6409,27730,122,46,346204,1529183,5,63,216089,4363558,7902,3940,79130,120,2,61,0,1,45,0
Parabacteroides_merdae_56972,700016142,700106229,179,2397343,353274,1559268,59,54,2306,9524,52,16,350968,1549744,7,38,218958,4422270,8004,1258,27281,33,1,37,0,0,16,0
