species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_stercoris_56735,700013603,700013715,5418,2187553,329492,1426863,2244,987,66066,281976,2226,934,263426,1144887,18,53,150879,3277719,6063,35961,808533,1434,0,53,0,2,931,1
Bacteroides_stercoris_56735,700013603,700016210,304,2191754,330273,1429690,110,91,1673,6953,93,50,328600,1422737,17,41,186313,4074434,7464,811,20000,48,2,39,0,0,50,0
Bacteroides_stercoris_56735,700013603,700037649,1141,2194497,330686,1431474,442,221,12924,55357,426,186,317762,1376117,16,35,180118,3941021,7212,7234,158531,306,0,35,0,1,185,0
Bacteroides_stercoris_56735,700013603,700038493,2990,2194803,330721,1431662,1201,507,39255,169310,1182,441,291466,1262352,19,66,165836,3614587,6633,21520,485510,900,3,63,0,0,440,1
Bacteroides_stercoris_56735,700013603,700038870,2994,2157056,324868,1406798,1215,557,41184,177603,1195,479,283684,1229195,20,78,161475,3519600,6510,23000,508900,909,1,77,0,1,477,1
Bacteroides_stercoris_56735,700013603,700098669,777,2173821,326936,1417677,332,140,7687,32307,315,103,319249,1385370,17,37,182259,3966576,7275,3855,92874,192,1,36,0,0,103,0
Bacteroides_stercoris_56735,700013603,700111156,611,2181198,328711,1422945,224,142,5199,21519,208,89,323512,1401426,16,53,183594,4013307,7377,2558,61879,120,1,51,1,1,88,0
Bacteroides_stercoris_56735,700013603,700164792,989,2192742,330399,1430332,405,214,10320,43887,388,161,320079,1386445,17,53,181655,3970423,7257,5534,125890,237,2,51,0,0,161,0
Bacteroides_stercoris_56735,700013603,700172813,983,2193889,330588,1431078,404,209,10280,43709,389,161,320308,1387369,15,48,181787,3973051,7269,5493,125400,234,0,47,1,0,161,0
Bacteroides_stercoris_56735,700013603,ERR911960,2984,2193945,330590,1431160,1211,551,40175,173166,1185,475,290415,1257994,26,76,164819,3602581,6582,22441,496157,900,1,74,1,1,473,1
Bacteroides_stercoris_56735,700013603,ERR912198,68,2192979,330467,1430483,15,41,107,456,2,2,330360,1430027,13,39,187103,4095478,7500,66,1302,0,1,38,0,0,2,0
Bacteroides_stercoris_56735,700013603,SRR341646,413,2136971,319705,1393125,174,81,5714,24958,163,52,313991,1368167,11,29,181059,3916092,7350,3262,71531,81,1,28,0,0,51,1
