species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_eggerthii_54457,700013597,700024673,166,2404127,354385,1567662,27,101,216205,4478321,8460,0,101,0
Bacteroides_eggerthii_54457,700013597,ERR912018,343,2402870,354135,1566833,64,220,216153,4475868,8478,11,209,0
Bacteroides_eggerthii_54457,700013597,ERR912020,111,2403547,354256,1567266,20,72,216179,4477147,8472,0,72,0
Bacteroides_eggerthii_54457,700013597,ERR912054,127,2405150,354496,1568342,27,71,216323,4480219,8484,0,71,0
Bacteroides_eggerthii_54457,700013597,ERR912070,85,2405750,354612,1568717,20,48,216377,4481299,8475,1,46,1
Bacteroides_eggerthii_54457,700016142,ERR912117,184,2365682,348789,1542572,32,122,212653,4406774,8289,3,119,0
Bacteroides_eggerthii_54457,700024673,ERR912018,403,2407334,354863,1569749,67,256,216570,4484184,8493,11,245,0
Bacteroides_eggerthii_54457,700024673,ERR912020,168,2409366,355220,1571069,25,106,216683,4488016,8508,0,106,0
Bacteroides_eggerthii_54457,700024673,ERR912054,176,2407000,354840,1569542,28,103,216448,4483673,8505,0,103,0
Bacteroides_eggerthii_54457,700024673,ERR912070,150,2408822,355167,1570722,27,86,216610,4487054,8502,1,84,1
Bacteroides_eggerthii_54457,700096865,ERR912005,94,2405752,354888,1568749,22,47,216228,4481667,8352,1,46,0
Bacteroides_eggerthii_54457,700097973,SRR341641,73,2338169,345399,1524657,13,44,209367,4356288,8316,1,43,0
Bacteroides_eggerthii_54457,700097973,SRR341691,77,2337344,345280,1524083,18,42,209279,4354645,8325,1,41,0
Bacteroides_eggerthii_54457,700097973,SRR341706,84,2338631,345526,1524927,13,58,209396,4357072,8313,1,57,0
Bacteroides_eggerthii_54457,700097973,SRR413626,77,2343081,346317,1527853,14,46,209640,4365609,8310,1,45,0
Bacteroides_eggerthii_54457,700164159,SRR341637,205,2348996,345905,1531588,38,129,211248,4375215,8301,4,125,0
Bacteroides_eggerthii_54457,SRR341641,SRR341691,80,2396074,353178,1562400,17,44,215517,4463121,8562,0,44,0
Bacteroides_eggerthii_54457,SRR341641,SRR341706,58,2397475,353435,1563300,8,44,215633,4465717,8550,0,44,0
Bacteroides_eggerthii_54457,SRR341641,SRR413626,33,2399378,353775,1564575,3,20,215684,4469494,8547,0,20,0
Bacteroides_eggerthii_54457,SRR341691,SRR341706,92,2398264,353600,1563790,17,60,215666,4467136,8568,0,60,0
Bacteroides_eggerthii_54457,SRR341691,SRR413626,83,2398659,353682,1564068,18,46,215616,4468035,8553,0,46,0
Bacteroides_eggerthii_54457,SRR341706,SRR413626,63,2400050,353957,1564980,9,46,215750,4470652,8538,0,46,0
Bacteroides_eggerthii_54457,ERR911960,ERR912144,246,2379757,350928,1551739,65,140,213804,4432968,8445,7,132,1
Bacteroides_eggerthii_54457,ERR911965,ERR912053,106,2414968,355982,1574747,27,61,217294,4498403,8544,1,60,0
Bacteroides_eggerthii_54457,ERR912018,ERR912020,338,2407306,354820,1569710,60,218,216610,4484015,8505,11,207,0
Bacteroides_eggerthii_54457,ERR912018,ERR912054,374,2406014,354653,1568903,69,229,216444,4481760,8505,11,218,0
Bacteroides_eggerthii_54457,ERR912018,ERR912070,332,2406381,354723,1569122,64,205,216501,4482363,8502,12,192,1
Bacteroides_eggerthii_54457,ERR912020,ERR912054,129,2406541,354749,1569222,25,77,216453,4482696,8517,0,77,0
Bacteroides_eggerthii_54457,ERR912020,ERR912070,92,2408375,355064,1570417,20,56,216614,4486135,8502,1,54,1
Bacteroides_eggerthii_54457,ERR912025,ERR912077,112,2409585,355539,1571181,21,73,216478,4488437,8628,7,66,0
Bacteroides_eggerthii_54457,ERR912025,ERR912185,101,2391809,352983,1559504,27,55,214766,4455157,8589,3,52,0
Bacteroides_eggerthii_54457,ERR912025,ERR912193,84,2384193,352065,1554778,15,52,213911,4441858,8565,1,51,0
Bacteroides_eggerthii_54457,ERR912053,ERR912057,90,2412378,355592,1573050,29,38,217039,4493570,8541,1,37,0
Bacteroides_eggerthii_54457,ERR912054,ERR912070,106,2409950,355289,1571475,25,57,216767,4489150,8508,1,55,1
Bacteroides_eggerthii_54457,ERR912077,ERR912185,126,2406034,354837,1568818,25,80,216323,4481500,8631,6,74,0
Bacteroides_eggerthii_54457,ERR912077,ERR912193,123,2398852,353971,1564370,13,91,215510,4468993,8607,6,85,0
Bacteroides_eggerthii_54457,ERR912185,ERR912193,111,2381142,351451,1552734,18,71,213797,4435837,8568,2,69,0
