species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Alistipes_shahii_62199,700013597,700175331,952,1458424,264492,951959,350,295,30581,110137,311,170,233911,841822,39,125,91258,2429009,5199,11921,317908,582,2,123,0,0,168,2
Alistipes_shahii_62199,700013603,700015250,1396,1456887,264389,950830,506,441,54662,195995,457,306,209727,754835,49,135,81919,2177894,4692,21015,565890,1080,4,131,0,3,303,0
Alistipes_shahii_62199,700013603,700033153,1270,1443830,261262,942030,486,368,43770,158568,446,259,217492,783462,40,109,85259,2260432,4695,17264,457465,975,3,106,0,3,256,0
Alistipes_shahii_62199,700013603,700034622,1052,1464981,265856,956219,382,318,30844,111432,318,172,235012,844787,64,146,91420,2437721,5220,12069,321648,579,3,143,0,1,171,0
Alistipes_shahii_62199,700013603,700035785,1326,1442118,261237,940919,513,373,71444,258068,469,271,189793,682851,44,102,74313,1970115,4125,28001,744682,1521,1,101,0,4,267,0
Alistipes_shahii_62199,700013603,700038870,1210,1458308,264630,951725,466,351,49624,180012,418,235,215006,771713,48,116,83506,2226923,4710,19585,519374,1077,2,114,0,2,233,0
Alistipes_shahii_62199,700013603,700103477,1012,1459054,264705,952058,375,308,26338,93570,302,166,238367,858488,73,142,93176,2477074,5214,10077,270084,549,2,140,0,2,164,0
Alistipes_shahii_62199,700013603,700116358,1240,1463956,265725,955521,471,366,42119,151205,420,238,223606,804316,51,128,87059,2320939,4950,16339,436418,858,4,124,0,1,237,0
Alistipes_shahii_62199,700013603,700164159,1284,1463958,265686,955516,512,348,73468,264021,477,254,192218,691495,35,94,74912,1995469,4104,28512,761874,1677,1,93,0,4,250,0
Alistipes_shahii_62199,700013603,700173320,1154,1460083,264899,952826,426,353,45675,163833,369,215,219224,788993,57,138,85556,2276689,4734,17673,472851,975,2,136,0,2,213,0
