species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Parabacteroides_merdae_56972,ERR912159,700110812,11328,2291695,335350,1489926,4666,2354,212034,4249968,7776,5,2345,4
Parabacteroides_merdae_56972,ERR911967,700105991,14040,2360338,347863,1535146,5886,2811,216853,4380764,7821,8,2799,4
Parabacteroides_merdae_56972,700100600,700117828,18858,1995088,294150,1297467,7898,4001,183060,3702930,6411,13,3981,7
Parabacteroides_merdae_56972,700171573,700097631,13493,2224042,326727,1446251,5632,2834,205041,4126272,7440,12,2818,4
Parabacteroides_merdae_56972,700173377,700097906,15010,2362029,347948,1536316,6237,3065,217051,4384055,7842,12,3048,5
Parabacteroides_merdae_56972,700106836,ERR912034,12256,2203932,324172,1433161,4999,2695,203024,4089082,7377,6,2686,3
Parabacteroides_merdae_56972,700037042,ERR912031,18569,2005350,295466,1303830,7692,3927,184109,3720700,6681,14,3908,5
Parabacteroides_merdae_56972,700172279,700016142,25001,2272148,334695,1478002,10546,4721,208523,4218115,7368,9,4707,5
Parabacteroides_merdae_56972,ERR912084,700172621,15561,2360580,347790,1535328,6501,3188,217024,4381049,7911,15,3165,8
Parabacteroides_merdae_56972,700109231,700038594,14741,2368600,348920,1540560,6085,2985,217653,4396098,7929,13,2965,7
Parabacteroides_merdae_56972,ERR912174,700106333,13127,2208543,325113,1436172,5445,2736,203233,4097834,7449,12,2720,4
Parabacteroides_merdae_56972,700105991,700024318,14693,2355312,346938,1531789,6142,2988,216401,4371076,7890,9,2975,4
Parabacteroides_merdae_56972,700105991,700103652,18536,1999591,294149,1300119,7671,3887,183841,3709853,6663,11,3869,7
Parabacteroides_merdae_56972,700173377,700171573,12558,2238166,328900,1455468,5158,2759,206369,4152469,7566,13,2743,3
Parabacteroides_merdae_56972,700105153,700015702,22711,2127161,313978,1383337,9476,4424,195124,3948092,6795,9,4410,5
Parabacteroides_merdae_56972,700116148,700114125,14751,2371399,349299,1542462,6071,3200,217976,4401484,7926,20,3174,6
Parabacteroides_merdae_56972,700117828,ERR911975,17344,2025862,299240,1317482,7307,3612,185484,3760317,6645,13,3592,7
Parabacteroides_merdae_56972,700165263,700099886,15200,2363438,348070,1537061,6388,3047,217238,4386088,7857,10,3034,3
Parabacteroides_merdae_56972,700109231,ERR912174,13852,2340490,344728,1522214,5653,2838,214970,4343860,7812,16,2816,6
Parabacteroides_merdae_56972,SRR413607,700099886,13649,2348003,345741,1527094,5639,2768,215801,4357741,7740,11,2755,2
