species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,clonal_n,clonal_m,clonal_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn
Bacteroides_uniformis_57318,700015702,700016142,36,1370954,206039,893961,3,25,117475,2559575,4833,5,20,0
Bacteroides_uniformis_57318,700015702,700016716,31,1376579,206851,897598,3,24,118080,2569860,4854,4,20,0
Bacteroides_uniformis_57318,700015702,700033153,27,1361466,204215,887571,1,22,117029,2540860,4824,3,19,0
Bacteroides_uniformis_57318,700015702,700095717,35,1377055,206791,897917,1,30,118326,2570541,4884,2,28,0
Bacteroides_uniformis_57318,700015702,700097837,46,1368493,205679,892261,9,33,117442,2554559,4782,7,26,0
Bacteroides_uniformis_57318,700015702,700105312,26,1368767,205585,892520,3,20,117446,2555278,4836,3,17,0
Bacteroides_uniformis_57318,700015702,700120753,28,1381309,207584,900752,2,23,118479,2578926,4851,2,21,0
Bacteroides_uniformis_57318,700015857,700024024,31,965567,142914,629316,6,20,84550,1799636,3762,1,19,0
Bacteroides_uniformis_57318,700016142,700016716,35,1375332,206573,896841,4,21,117874,2567750,4899,5,16,0
Bacteroides_uniformis_57318,700016142,700033153,37,1361891,204123,887935,2,25,116984,2541946,4875,4,21,0
Bacteroides_uniformis_57318,700016142,700095717,41,1364913,204899,889993,2,29,117119,2547943,4917,3,26,0
Bacteroides_uniformis_57318,700016142,700097837,52,1371127,206020,894004,10,32,117619,2559572,4821,8,24,0
Bacteroides_uniformis_57318,700016142,700105153,39,1341091,201117,874479,5,26,115163,2503450,4824,3,23,0
Bacteroides_uniformis_57318,700016142,700105312,35,1371195,205882,894179,4,22,117570,2560065,4902,4,18,0
Bacteroides_uniformis_57318,700016142,700120753,34,1378454,207116,898927,3,22,118002,2573886,4893,3,19,0
Bacteroides_uniformis_57318,700016456,700021824,20,960671,142756,626078,3,14,84008,1790446,3780,0,14,0
Bacteroides_uniformis_57318,700016456,700105049,17,953225,141188,621312,1,11,83576,1776577,3783,0,11,0
Bacteroides_uniformis_57318,700016456,ERR912001,22,949328,141076,618588,3,12,82975,1769021,3768,0,12,0
Bacteroides_uniformis_57318,700016456,ERR912052,22,949733,141205,618917,5,14,82986,1769988,3777,0,14,0
Bacteroides_uniformis_57318,700016456,ERR912099,16,949281,141133,618570,3,11,82960,1768961,3789,0,11,0
Bacteroides_uniformis_57318,700016716,700033153,28,1361169,204011,887370,2,20,117031,2540195,4884,3,17,0
Bacteroides_uniformis_57318,700016716,700095717,36,1367878,205335,891922,2,28,117474,2553375,4917,2,26,0
Bacteroides_uniformis_57318,700016716,700097837,45,1372825,206294,895108,10,29,117811,2562683,4830,7,22,0
Bacteroides_uniformis_57318,700016716,700105153,28,1339623,200874,873465,5,19,115162,2500415,4818,2,17,0
Bacteroides_uniformis_57318,700016716,700105312,27,1372229,205984,894829,4,18,117786,2561793,4908,3,15,0
Bacteroides_uniformis_57318,700016716,700120753,29,1380847,207413,900453,3,21,118408,2578046,4905,2,19,0
Bacteroides_uniformis_57318,700021123,700098429,21,970189,144310,632395,4,16,84373,1808966,3846,0,16,0
Bacteroides_uniformis_57318,700021123,ERR912122,32,987009,147034,643551,6,23,85718,1841071,3864,1,22,0
Bacteroides_uniformis_57318,700021261,700024509,33,988052,147211,644230,7,21,85788,1843041,3861,1,20,0
Bacteroides_uniformis_57318,700021261,700037405,46,976239,145750,636438,8,32,84458,1820998,3858,0,32,0
Bacteroides_uniformis_57318,700021261,700038546,9,1006558,150066,656386,0,7,87311,1877902,3945,0,7,0
Bacteroides_uniformis_57318,700021261,700097906,52,1019017,151867,664347,8,35,88455,1900614,3972,0,35,0
Bacteroides_uniformis_57318,700021261,700106754,51,1016726,151751,663089,7,38,87999,1897350,3918,1,37,0
Bacteroides_uniformis_57318,700021261,700113975,57,1011890,151242,659820,8,41,87560,1887994,3906,2,39,0
Bacteroides_uniformis_57318,700021261,700161429,42,1051099,156803,685443,9,25,90790,1961555,3984,1,24,0
Bacteroides_uniformis_57318,700021261,700161872,50,1012829,151413,660435,8,34,87681,1889718,3906,1,33,0
Bacteroides_uniformis_57318,700021295,700023578,55,953800,141955,621709,11,35,83302,1778081,3744,0,35,0
Bacteroides_uniformis_57318,700021295,700024086,65,944632,140479,615834,13,39,82474,1761254,3774,0,39,0
Bacteroides_uniformis_57318,700021295,700161967,61,986098,147155,643052,13,36,85519,1839812,3825,0,36,0
Bacteroides_uniformis_57318,700021824,700105049,19,963863,143251,628307,3,12,84285,1796823,3813,0,12,0
Bacteroides_uniformis_57318,700021824,ERR912001,23,952368,141873,620702,4,13,83122,1775213,3771,0,13,0
Bacteroides_uniformis_57318,700021824,ERR912052,23,951718,141881,620290,6,15,83068,1774040,3762,0,15,0
Bacteroides_uniformis_57318,700021824,ERR912099,19,952081,141864,620500,5,13,83139,1774566,3795,0,13,0
Bacteroides_uniformis_57318,700023578,700024086,48,935747,138696,609870,7,32,82069,1743776,3765,0,32,0
Bacteroides_uniformis_57318,700023578,700161967,44,976493,145067,636458,5,30,85215,1820358,3801,0,30,0
Bacteroides_uniformis_57318,700024086,700161967,53,952430,141419,620870,9,31,83151,1775652,3807,0,31,0
Bacteroides_uniformis_57318,700024509,700037405,36,944557,140851,615738,9,23,81896,1761508,3810,1,22,0
