species_name,sample 1,sample 2,pair_class,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,event_count,dedup_event_count,clonal_divergence,clonal_fraction,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
snv_table,GCF_000012825.1,GCF_048453055.1,close_recombination,5334,2055497,287345,1335859,2076,928,4,4,0.0,0.8916807322208495,31130,145407,2076,918,256215,1190452,0,10,183455,3381775,6126,22008,413535,678,0,10,0,0,917,1
snv_table,GCF_000699845.1,GCF_024047355.1,close_recombination,1909,2046943,286187,1330301,711,507,17,17,0.0002434782608695,0.8168085901875347,52430,243046,641,347,233757,1087255,70,160,167361,3088812,5592,37219,690815,1104,2,158,0,4,342,1
snv_table,GCF_000699845.1,GCF_028199355.1,close_recombination,596,2049171,286475,1331746,204,213,3,3,0.0002238267148014,0.9675887948337552,9290,41911,136,81,277185,1289835,68,132,198522,3664449,6534,6302,119239,192,3,129,0,0,81,0
snv_table,GCF_000699845.1,GCF_028200155.1,close_recombination,666,2049078,286462,1331687,224,235,4,4,0.0002101449275362,0.9667250804644246,9540,43026,159,105,276922,1288661,65,130,198363,3661092,6528,6447,122433,198,3,127,0,1,104,0
snv_table,GCF_000699845.1,GCF_028200165.1,close_recombination,586,2049239,286486,1331793,201,207,3,3,0.0002057761732851,0.9675865487318752,9290,41912,136,80,277196,1289881,65,127,198526,3664583,6534,6301,119243,192,3,124,0,0,80,0
snv_table,GCF_000699845.1,GCF_964252195.1,close_recombination,1619,2050117,286623,1332362,611,445,16,16,0.0002745901639344,0.8681438684264696,37800,173260,523,262,248823,1159102,88,183,178834,3292577,5895,26058,492924,798,2,180,1,0,262,0
snv_table,GCF_002959625.1,GCF_048453055.1,close_recombination,5334,2054602,287201,1335269,2076,928,4,4,0.0,0.8916403494416802,31130,145442,2076,921,256071,1189827,0,7,183370,3379985,6126,22009,413639,678,0,7,0,0,920,1
snv_table,GCF_003436175.1,GCF_003460125.1,close_recombination,2262,2046396,286117,1329936,870,542,15,15,8.920187793427231e-05,0.7427031598961265,73620,340323,849,461,212497,989613,21,81,152426,2811334,5079,52106,967264,1599,0,81,0,2,459,0
snv_table,GCF_003436175.1,GCF_003465015.1,close_recombination,1472,2046900,286182,1330252,556,374,7,7,6.008583690987125e-05,0.8142370938773228,53170,245359,537,312,233012,1084893,19,62,167214,3081957,5508,37373,697543,1161,0,62,0,2,310,0
snv_table,GCF_003436605.1,GCF_003436855.1,close_recombination,81,2051986,286875,1333597,24,31,2,2,2.4734982332155476e-05,0.9842265795206971,4530,20993,16,10,282345,1312604,8,21,201826,3729389,6597,3328,59537,114,3,18,0,0,10,0
