species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Ruminococcus_bromii_62047,700015181,700015250,243,1355795,187074,908582,80,54,2864,13994,71,31,184210,894588,9,23,118975,2560016,4773,1815,40089,78,1,22,0,0,31,0
Ruminococcus_bromii_62047,700015181,700033435,347,1352981,186557,906730,129,98,3658,18346,120,67,182899,888384,9,31,118095,2542284,4773,2527,52421,90,0,31,0,0,67,0
Ruminococcus_bromii_62047,700015181,700037123,225,1356233,187155,908889,66,70,1789,8547,59,31,185366,900342,7,39,119629,2576558,4839,1192,24422,27,1,38,0,0,31,0
Ruminococcus_bromii_62047,700015181,700038761,268,1351944,186381,906042,83,76,3138,14681,73,49,183243,891361,10,27,118522,2550776,4785,2009,41983,51,0,27,0,0,49,0
Ruminococcus_bromii_62047,700015181,700112433,658,1354508,186907,907700,251,147,8074,38360,243,111,178833,869340,8,36,115661,2487688,4671,4999,109883,198,0,36,0,0,111,0
Ruminococcus_bromii_62047,700015181,700161967,506,1353122,186661,906834,170,111,6250,29587,161,77,180411,877247,9,34,116574,2510499,4668,3959,84658,144,0,34,0,0,77,0
Ruminococcus_bromii_62047,700015181,700164792,182,1355343,186982,908301,65,57,1399,6700,58,14,185583,901601,7,43,119771,2580211,4821,949,19118,33,0,43,0,0,14,0
Ruminococcus_bromii_62047,700015181,700173023,108,1355561,187076,908419,31,53,564,2695,20,14,186512,905724,11,39,120415,2591894,4863,340,7742,3,1,38,0,0,14,0
Ruminococcus_bromii_62047,700015250,700024086,266,1360714,187593,911779,81,71,2878,14096,71,32,184715,897683,10,39,119496,2568579,4974,1836,40371,81,2,37,0,0,32,0
Ruminococcus_bromii_62047,700015250,700033435,551,1357533,186983,909671,201,126,6519,32427,192,100,180464,877244,9,26,116766,2510082,4884,4368,92736,177,1,25,0,0,100,0
Ruminococcus_bromii_62047,700015250,700037123,430,1360895,187615,911898,138,98,4668,22668,130,66,182947,889230,8,32,118310,2544388,4992,3035,64861,108,2,30,0,0,66,0
Ruminococcus_bromii_62047,700015250,700038761,468,1356587,186833,909031,154,103,5989,28663,144,79,180844,880368,10,24,117202,2518979,4923,3831,82023,135,1,23,0,0,79,0
Ruminococcus_bromii_62047,700015250,700112433,869,1359004,187352,910600,320,180,10947,52320,311,143,176405,858280,9,37,114361,2455679,4800,6796,149888,276,1,36,0,0,143,0
Ruminococcus_bromii_62047,700015250,700161967,709,1356983,187044,909306,240,140,9148,43815,230,110,177896,865491,10,30,115160,2476534,4779,5801,125407,237,1,29,0,0,110,0
Ruminococcus_bromii_62047,700015250,700164792,389,1359876,187433,911230,139,87,4429,21653,129,46,183004,889577,10,41,118335,2545449,4947,2895,61947,117,1,40,0,0,46,0
