species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_caccae_53434,ERR912193,ERR912124,12749,3182159,454323,2072568,4831,3172,311735,5895967,10002,13,3158,1
Bacteroides_caccae_53434,700038546,700106694,9618,3202513,457330,2085794,3610,2550,313621,5933612,10149,12,2536,2
Bacteroides_caccae_53434,700105049,ERR911997,10931,3112035,445490,2026789,4044,2774,303989,5766478,9900,18,2754,2
Bacteroides_caccae_53434,700163699,700021361,10784,3197665,456517,2082613,4125,2688,313244,5924497,10098,10,2677,1
Bacteroides_caccae_53434,ERR912124,ERR911970,10075,3174683,453453,2067673,3733,2627,310818,5882160,10041,18,2607,2
Bacteroides_caccae_53434,ERR912174,ERR912178,9275,3193250,456015,2079676,3449,2321,312659,5916247,10122,13,2307,1
Bacteroides_caccae_53434,ERR912174,mickey4-11-0-0_,12589,3180333,454047,2071325,4784,2999,311439,5892489,10047,11,2987,1
Bacteroides_caccae_53434,700164870,ERR912148,9800,3203391,457237,2086256,3697,2470,313948,5934707,10113,9,2460,1
Bacteroides_caccae_53434,700038806,ERR912074,11748,3162905,451835,2060019,4465,2867,309717,5860425,9915,6,2860,1
Bacteroides_caccae_53434,700161429,700171115,13078,3199199,456982,2083639,5018,3131,313236,5927679,10002,20,3111,0
Bacteroides_caccae_53434,ERR912201,ERR912149,12415,3194553,456385,2080526,4835,2948,312752,5918782,10044,14,2933,1
Bacteroides_caccae_53434,700113114,ERR912052,12779,3204684,457743,2087173,4933,3061,313802,5937634,10083,16,3045,0
Bacteroides_caccae_53434,ERR912074,ERR912071,13135,3175990,453702,2068567,5057,3124,310979,5884774,9948,14,3110,0
Bacteroides_caccae_53434,700114218,ERR912087,13198,3206004,457961,2088066,5060,3171,313939,5940206,10053,14,3157,0
Bacteroides_caccae_53434,700163699,700038546,12683,3195982,456335,2081551,4889,3135,313016,5921557,10080,16,3118,1
Bacteroides_caccae_53434,700035747,SRR2822459,12351,3154191,450632,2054277,4737,2942,308762,5844175,9894,18,2922,2
Bacteroides_caccae_53434,ERR912107,700122408,12748,3094292,442660,2015425,4900,3051,302627,5734102,9546,13,3038,0
Bacteroides_caccae_53434,ERR911971,ERR911997,10666,3111487,445576,2026446,4012,2674,303929,5765518,9891,14,2659,1
Bacteroides_caccae_53434,ERR912071,700099886,10598,3206757,458054,2088519,4044,2630,314046,5941533,9978,12,2617,1
Bacteroides_caccae_53434,700037852,700102586,12966,3191345,455471,2078540,4934,3221,312677,5912881,10062,20,3199,2
