species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Eubacterium_rectale_56927,700015250,SRR413666,24295,1450373,196520,965463,9972,3984,137594,2754070,4725,19,3961,4
Eubacterium_rectale_56927,700023919,700161429,20275,1534470,207989,1021508,7921,3814,145070,2914249,5205,9,3804,1
Eubacterium_rectale_56927,ERR912090,ERR912190,19699,1530497,207501,1018830,7738,3674,144909,2906256,5325,15,3656,3
Eubacterium_rectale_56927,ERR912183,SRR413654,24039,1447328,196043,963641,9822,4031,137116,2749112,4695,18,4010,3
Eubacterium_rectale_56927,ERR911995,1089279-24-0-0_,15689,1513437,205044,1007547,6106,2921,143123,2874460,5058,5,2916,0
Eubacterium_rectale_56927,ERR912085,700095287,16957,1519492,206032,1011665,6595,3189,143471,2886499,5025,5,3183,1
Eubacterium_rectale_56927,ERR911968,700095213,20985,1516001,205502,1009256,8175,3846,143385,2879346,5037,13,3830,3
Eubacterium_rectale_56927,700161856,ERR912097,16592,1549598,209860,1031396,6504,3013,146701,2942021,5466,16,2996,1
Eubacterium_rectale_56927,700122408,700172068,20767,1519594,206270,1011493,8083,3947,143632,2885753,5094,13,3934,0
Eubacterium_rectale_56927,700100022,700161429,17495,1521137,206134,1012527,6890,3064,143877,2888319,5385,11,3051,2
Eubacterium_rectale_56927,700172068,700024509,20974,1524423,206386,1014684,8164,4027,144397,2894516,5139,14,4013,0
Eubacterium_rectale_56927,ERR911955,700015181,18046,1529851,207559,1018575,6988,3390,144616,2906138,4971,11,3375,4
Eubacterium_rectale_56927,ERR912185,ERR912197,21157,1533889,207891,1021096,8170,3953,145087,2913062,5139,13,3938,2
Eubacterium_rectale_56927,SRR413663,SRR413616,17832,1399568,189519,931797,7280,2793,132683,2658241,4467,7,2783,3
Eubacterium_rectale_56927,700105685,ERR912062,17103,1555631,210742,1035390,6693,3099,147057,2953512,5601,15,3082,2
Eubacterium_rectale_56927,ERR912092,ERR912032,15772,1549327,209954,1031185,6396,2707,146420,2941546,5589,12,2692,3
Eubacterium_rectale_56927,700175181,700099002,21264,1517309,205812,1010164,8309,3986,143493,2881956,5043,18,3965,3
Eubacterium_rectale_56927,700015250,ERR911990,16317,1554338,210580,1034493,6365,2967,147153,2950740,5586,14,2950,3
Eubacterium_rectale_56927,SRR341700,ERR912085,25312,1446030,195721,962882,10217,4363,137180,2746867,4599,15,4346,2
Eubacterium_rectale_56927,700161742,ERR912113,21375,1528020,207074,1017119,8318,4127,144598,2901533,5226,16,4109,2
