species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Dialister_invisus_61905,ERR912095,700107189,13617,1117477,169372,731401,5664,3348,98780,2090581,4842,9,3336,3
Dialister_invisus_61905,700035785,ERR912062,16363,1195914,184043,782892,6988,3993,104135,2239426,5115,14,3974,5
Dialister_invisus_61905,1089274-24-28-0_,700107189,14124,1110286,168345,726651,5920,3487,98109,2077074,4770,7,3476,4
Dialister_invisus_61905,ERR911969,ERR912160,15020,1194123,183850,781794,6375,3618,103967,2236288,5127,10,3606,2
Dialister_invisus_61905,ERR912121,700123562,16942,1210262,186504,792353,7339,4068,105225,2266686,5148,15,4052,1
Dialister_invisus_61905,ERR912160,700016765,16628,1188776,182832,778135,7154,3911,103525,2225753,5127,15,3894,2
Dialister_invisus_61905,700021361,ERR912152,15953,1203425,185229,787751,6821,3907,104709,2253393,5151,13,3892,2
Dialister_invisus_61905,700102432,pluto3-11-7-0_,14994,1185425,182589,775940,6368,3786,103146,2219646,5028,9,3773,4
Dialister_invisus_61905,700163419,ERR912071,16368,1199049,184680,785044,7037,3872,104272,2245733,5127,15,3853,4
Dialister_invisus_61905,ERR911959,ERR912115,17578,1208016,186091,790852,7558,4238,105049,2262335,5172,15,4219,4
Dialister_invisus_61905,mickey4-11-7-0_,700102432,15135,1178340,181381,771251,6381,3748,102630,2206131,4992,13,3731,4
Dialister_invisus_61905,1089274-24-28-0_,700100600,13988,1193069,183521,780932,5835,3495,103917,2233803,5076,9,3482,4
Dialister_invisus_61905,700163030,700023720,15036,1182744,181587,774215,6270,3714,103355,2214142,5148,13,3694,7
Dialister_invisus_61905,ERR912085,ERR912143,16841,1197288,184230,783837,7176,4059,104349,2241993,5169,15,4040,4
Dialister_invisus_61905,ERR912107,700023788,16161,1195422,183882,782546,6856,3966,104187,2238312,5139,13,3948,5
Dialister_invisus_61905,ERR912159,ERR911969,14303,1199069,184613,785079,6190,3457,104355,2245767,5115,19,3435,3
Dialister_invisus_61905,ERR912083,700021295,17533,1197072,184353,783672,7475,4204,104042,2241868,5106,12,4187,5
Dialister_invisus_61905,pluto3-11-7-0_,ERR912048,13852,1198481,184634,784617,5902,3441,104283,2244402,5166,16,3425,0
Dialister_invisus_61905,700102242,700037868,16186,1198571,184433,784658,6987,3956,104394,2244423,5157,14,3937,5
Dialister_invisus_61905,ERR911987,700114653,16244,1202502,185001,787169,6982,3944,104718,2251644,5145,14,3925,5
