species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Phascolarctobacterium_sp_59817,700013715,700097906,97,1682392,255207,1087517,17,59,59,278,2,0,255148,1087239,15,59,150045,3105195,6477,45,789,0,1,58,0,0,0,0
Phascolarctobacterium_sp_59817,700014724,700172498,164,1681285,255066,1086776,33,101,2129,8276,6,2,252937,1078500,27,99,148964,3080044,6492,952,23840,36,5,94,0,0,2,0
Phascolarctobacterium_sp_59817,700015113,700033989,2702,1672152,253946,1081036,1207,602,67435,285193,1127,492,186511,795843,80,110,110567,2272414,4548,38449,815492,1638,3,107,0,2,490,0
Phascolarctobacterium_sp_59817,700015250,700105882,622,1685183,255733,1089375,236,171,10065,41895,211,81,245668,1047480,25,90,144522,2991636,6282,5665,119759,261,2,88,0,0,81,0
Phascolarctobacterium_sp_59817,700015250,700117625,1193,1677365,254299,1084287,490,293,22078,93730,474,216,232221,990557,16,77,137137,2828546,5988,12653,267967,570,3,74,0,0,216,0
Phascolarctobacterium_sp_59817,700015250,700161742,516,1681541,255054,1087017,205,142,8335,34334,179,66,246719,1052683,26,76,145264,3006452,6333,4729,98045,228,2,74,0,0,66,0
Phascolarctobacterium_sp_59817,700015250,700175181,756,1687474,256065,1090861,287,239,11245,47429,244,79,244820,1043432,43,160,143924,2980099,6273,6497,135496,294,4,156,0,0,79,0
Phascolarctobacterium_sp_59817,700015250,ERR912021,466,1687526,256057,1090891,185,132,7659,31466,161,58,248398,1059425,24,74,146192,3025705,6378,4239,89979,180,6,68,0,1,57,0
Phascolarctobacterium_sp_59817,700015250,SRR413616,1577,1680424,254983,1086373,678,339,25062,107687,643,264,229921,978686,35,75,134871,2795277,5910,14902,307583,576,2,73,0,1,263,0
Phascolarctobacterium_sp_59817,700015250,SRR413617,2965,1676891,254440,1084025,1304,646,61510,257079,1293,595,192930,826946,11,51,115396,2360498,4944,34158,735525,1554,0,50,1,1,593,1
Phascolarctobacterium_sp_59817,700015702,ERR911976,605,1682561,255520,1087656,207,201,10356,43035,149,112,245164,1044621,58,89,144132,2983506,6225,5801,123046,258,1,87,1,0,112,0
Phascolarctobacterium_sp_59817,700016716,700165407,1941,1598585,242649,1033607,841,466,25297,106312,797,296,217352,927295,44,170,128375,2648146,5364,14296,303980,660,3,167,0,2,294,0
Phascolarctobacterium_sp_59817,700021876,700173176,207,1677757,254420,1084563,38,133,154,542,2,2,254266,1084021,36,131,149696,3095845,6522,41,1585,0,0,131,0,0,2,0
Phascolarctobacterium_sp_59817,700105882,700117625,888,1678153,254480,1084765,356,244,15913,69056,340,157,238567,1015709,16,87,140536,2900438,6153,9280,197483,405,5,82,0,0,157,0
Phascolarctobacterium_sp_59817,700105882,700161742,226,1680685,254954,1086449,74,86,2955,12700,61,25,251999,1073749,13,61,148297,3066482,6468,1616,36409,75,2,59,0,0,25,0
Phascolarctobacterium_sp_59817,700105882,700175181,608,1686347,255939,1090117,205,216,7302,31557,160,47,248637,1058560,45,169,146143,3023174,6363,4151,90331,189,4,165,0,0,47,0
Phascolarctobacterium_sp_59817,700105882,ERR912021,380,1686545,255958,1090243,126,128,4288,18361,101,40,251670,1071882,25,88,147966,3061248,6432,2350,52628,105,9,79,0,0,40,0
Phascolarctobacterium_sp_59817,700105882,SRR413616,1146,1679703,254912,1085889,482,255,14603,63822,439,179,240309,1022067,43,76,140781,2919246,6174,8923,182243,300,2,74,0,1,178,0
Phascolarctobacterium_sp_59817,700105882,SRR413617,3205,1675722,254308,1083247,1399,708,65926,275722,1383,634,188382,807525,16,74,112884,2304861,4830,36531,788985,1650,2,71,1,1,632,1
Phascolarctobacterium_sp_59817,700117625,700161742,940,1673590,253680,1081831,376,251,15479,66627,358,170,238201,1015204,18,81,140617,2898839,6156,8891,190594,396,5,76,0,0,170,0
Phascolarctobacterium_sp_59817,700117625,700175181,1222,1678282,254468,1084856,478,341,19251,83456,432,192,235217,1001400,46,149,138666,2859480,6054,11198,238663,507,3,146,0,0,192,0
Phascolarctobacterium_sp_59817,700117625,ERR912021,993,1678456,254490,1084950,397,258,15954,68612,371,176,238536,1016338,26,82,140764,2902094,6156,9118,196316,402,10,72,0,0,176,0
