species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Bacteroides_plebeius_61623,SRR413576,SRR413651,15695,1277378,185009,834690,6823,1679,122733,2377572,3765,7,1670,2
Bacteroides_plebeius_61623,700098932,SRR413630,36069,1300251,188736,849979,15654,3511,124259,2422087,3591,19,3491,1
Bacteroides_plebeius_61623,SRR413581,700023188,22131,1231917,178122,805213,9556,2319,118409,2293561,3669,7,2312,0
Bacteroides_plebeius_61623,700109621,SRR413581,15798,1279219,185351,835956,6813,1684,122774,2381422,3672,3,1679,2
Bacteroides_plebeius_61623,700171955,SRR413575,24561,1232419,178269,805355,10647,2315,118541,2293951,3573,6,2308,1
Bacteroides_plebeius_61623,700164450,ERR912155,17581,1311343,189939,856662,7588,1845,126278,2439832,3876,7,1838,0
Bacteroides_plebeius_61623,ERR911996,ERR912006,36475,1341863,194300,876650,15580,3784,129282,2496735,3933,15,3766,3
Bacteroides_plebeius_61623,700016210,ERR912015,26866,1236694,178933,807828,11669,2626,118653,2301129,3702,11,2614,1
Bacteroides_plebeius_61623,700164450,700099886,26420,1273239,184293,831892,11635,2398,122275,2369798,3603,5,2393,0
Bacteroides_plebeius_61623,700114911,SRR413624,36400,1344119,194631,878172,15893,3187,129297,2501250,3969,15,3171,1
Bacteroides_plebeius_61623,ERR912148,700164450,27105,1254800,181624,819841,11784,2696,120673,2335181,3669,7,2689,0
Bacteroides_plebeius_61623,SRR413630,SRR341623,24186,1435707,207226,937416,10272,2782,139260,2668614,4374,12,2769,1
Bacteroides_plebeius_61623,700119562,700106412,24420,1258009,182165,822085,10586,2447,120852,2341791,3612,9,2438,0
Bacteroides_plebeius_61623,SRR413651,700171955,15722,1284958,186102,839484,6713,1646,123521,2391115,3816,6,1638,2
Bacteroides_plebeius_61623,700023188,SRR413630,34077,1263441,182793,825899,14666,3391,121230,2352711,3756,17,3373,1
Bacteroides_plebeius_61623,SRR341715,700116865,25977,1225869,176692,801056,11121,2548,118479,2281011,3678,10,2538,0
Bacteroides_plebeius_61623,SRR413559,700015415,33100,1287032,185530,840538,14016,3202,124575,2393202,3837,17,3185,0
Bacteroides_plebeius_61623,700119987,SRR413616,14729,1268348,183320,828888,6328,1590,121986,2360961,3717,5,1583,2
Bacteroides_plebeius_61623,ERR912053,SRR413651,25884,1256104,181840,820730,11334,2396,120678,2337873,3639,5,2387,4
Bacteroides_plebeius_61623,ERR912053,SRR413643,25970,1251890,180675,818082,11335,2417,120606,2329896,3744,7,2408,2
