species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Odoribacter_splanchnicus_62174,700015702,700037868,6863,2501659,355559,1608212,2483,1823,252944,4562812,8880,15,1803,5
Odoribacter_splanchnicus_62174,700024545,700024318,12561,2489284,353478,1600190,4668,3267,251893,4539848,8829,10,3251,6
Odoribacter_splanchnicus_62174,700097196,1089279-24-28-0_,12776,2466808,350768,1585734,4728,3285,249492,4499397,8313,17,3258,10
Odoribacter_splanchnicus_62174,700161856,700116358,12266,2495899,354345,1604430,4548,3162,252683,4551763,8844,17,3137,8
Odoribacter_splanchnicus_62174,700117625,700117755,11862,2478265,351732,1593114,4362,3039,250884,4519653,8805,18,3015,6
Odoribacter_splanchnicus_62174,1089279-24-28-0_,700120753,12541,2470142,350802,1587842,4609,3233,250019,4504948,8559,14,3208,11
Odoribacter_splanchnicus_62174,700102432,700037453,12318,2494607,354484,1603667,4561,3256,252249,4550106,8646,11,3235,10
Odoribacter_splanchnicus_62174,700100540,700164686,8959,2513665,356704,1615893,3360,2354,254503,4584239,8937,12,2336,6
Odoribacter_splanchnicus_62174,700014837,700116358,12560,2491335,353744,1601611,4689,3247,252018,4543944,8871,13,3226,8
Odoribacter_splanchnicus_62174,700015181,700097906,8455,2447865,347882,1573747,3165,2218,247559,4465108,8574,11,2198,9
Odoribacter_splanchnicus_62174,700096865,700172726,7021,2522049,358392,1621309,2590,1841,255106,4599839,8982,13,1823,5
Odoribacter_splanchnicus_62174,700116358,700105580,12442,2471191,350260,1588560,4618,3158,250513,4506485,8682,13,3135,10
Odoribacter_splanchnicus_62174,700015250,700117755,13235,2476281,351320,1591798,4868,3451,250783,4515866,8745,21,3423,7
Odoribacter_splanchnicus_62174,700116358,pluto4-11-7-0_,12612,2482933,352708,1596150,4677,3221,251167,4528472,8811,19,3195,7
Odoribacter_splanchnicus_62174,700034166,700116358,13246,2503264,355615,1609252,4890,3423,253215,4565715,8826,15,3400,8
Odoribacter_splanchnicus_62174,700100600,700117755,12568,2479813,351700,1594048,4655,3219,251279,4522180,8685,14,3197,8
Odoribacter_splanchnicus_62174,700037453,700015702,12056,2478887,352485,1593623,4486,3099,250517,4521733,8619,12,3079,8
Odoribacter_splanchnicus_62174,700171441,700120753,7833,2484388,352505,1596928,2915,2022,251840,4530166,8778,14,2005,3
Odoribacter_splanchnicus_62174,700102586,700097906,8934,2460162,349551,1581566,3400,2266,248652,4487289,8757,9,2249,8
Odoribacter_splanchnicus_62174,1089279-24-28-0_,700172726,12090,2482988,352594,1596160,4477,3111,251266,4528514,8700,15,3092,4
