species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,core_n,core_m,core_nn,core_mut_n,core_mut_m,core_mut_nn
Coprococcus_sp_62244,ERR911966,ERR912159,8336,1462258,207983,959701,3309,1905,127574,2745376,6153,5,1900,0
Coprococcus_sp_62244,700105153,ERR912000,8621,1465137,208767,961652,3395,1971,127700,2751136,6120,12,1955,4
Coprococcus_sp_62244,ERR912062,ERR912049,9123,1466080,208969,962175,3587,1999,127783,2752670,6072,6,1992,1
Coprococcus_sp_62244,ERR912104,donald3-11-7-0_,9253,1437192,204690,943345,3594,2128,125335,2698694,6006,8,2117,3
Coprococcus_sp_62244,700105580,700105153,9896,1437391,204684,943574,3888,2227,125409,2699292,6021,5,2218,4
Coprococcus_sp_62244,ERR912083,ERR912062,9246,1461316,208305,959087,3669,2059,127384,2743805,6072,7,2051,1
Coprococcus_sp_62244,ERR912158,700015250,8850,1454384,207232,954491,3409,2058,126834,2730570,6069,10,2048,0
Coprococcus_sp_62244,700171115,ERR912062,8961,1465396,208779,961696,3476,2115,127737,2751267,6084,7,2106,2
Coprococcus_sp_62244,ERR912102,ERR912034,8376,1470873,209600,965333,3300,1896,128178,2761686,6135,6,1888,2
Coprococcus_sp_62244,ERR912046,700015250,7285,1379063,196258,904825,2808,1757,120245,2588341,5889,8,1746,3
Coprococcus_sp_62244,donald3-11-7-0_,SRR413613,11149,1382014,196598,907115,4279,2614,120560,2595109,5676,7,2605,2
Coprococcus_sp_62244,ERR912133,700105580,9854,1429553,203575,938428,3970,2197,124836,2684511,5937,10,2186,1
Coprococcus_sp_62244,700105153,700015250,8508,1453130,206924,953759,3316,1951,126696,2728512,6069,8,1938,5
Coprococcus_sp_62244,ERR911994,ERR912133,8962,1458208,207667,957096,3575,2052,127257,2737932,6099,12,2035,5
Coprococcus_sp_62244,ERR912000,700105153,8621,1465137,208767,961652,3395,1971,127700,2751136,6120,12,1955,4
Coprococcus_sp_62244,donald3-11-0-0_,ERR912074,8868,1435104,204455,941946,3469,2079,125069,2694760,6009,12,2064,3
Coprococcus_sp_62244,ERR912046,ERR912102,7672,1385218,197128,908823,3012,1780,120676,2599928,5865,6,1772,2
Coprococcus_sp_62244,700105580,ERR912174,10090,1430986,203757,939321,3931,2247,124863,2687100,6000,8,2236,3
Coprococcus_sp_62244,700171115,700037539,8668,1447120,205856,949753,3442,1899,126196,2717078,5985,7,1888,4
Coprococcus_sp_62244,SRR413650,donald3-11-0-0_,12563,1381382,196775,906812,4894,2859,120399,2594331,5706,10,2845,4
