species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Dialister_invisus_61905,700015415,ERR911972,4156,1207211,185778,790229,1876,923,39852,165576,1848,856,145926,624653,28,67,84699,1785126,4134,20383,475262,1083,0,67,0,3,852,1
Dialister_invisus_61905,700015415,ERR911992,3976,1208432,185994,791126,1801,854,39723,161979,1774,793,146271,629147,27,61,85750,1797512,4179,19471,465407,1059,0,61,0,1,791,1
Dialister_invisus_61905,700015415,ERR912099,5082,1210317,186251,792281,2296,1058,46899,190474,2272,999,139352,601807,24,59,82936,1718450,4035,22505,547738,1179,1,58,0,3,995,1
Dialister_invisus_61905,700015702,700016765,3954,1211173,186468,792855,1753,863,40938,168225,1735,785,145530,624630,18,78,84879,1784856,4155,20573,483061,1041,0,78,0,2,782,1
Dialister_invisus_61905,700015702,700024318,4601,1214993,187244,795384,2006,1071,48137,200574,1977,992,139107,594810,29,79,80782,1699739,3909,24917,575491,1314,1,77,1,3,987,2
Dialister_invisus_61905,700015702,700037868,5010,1213886,187048,794654,2226,1128,51285,212302,2210,1045,135763,582352,16,83,79213,1663967,3876,26401,609167,1338,2,81,0,3,1041,1
Dialister_invisus_61905,700015702,700163419,4336,1214879,187311,795353,1891,1006,45120,185437,1873,948,142191,609916,18,58,82950,1742838,3960,22633,532457,1221,0,58,0,2,945,1
Dialister_invisus_61905,700015702,700164735,5510,1215718,187500,795900,2397,1302,54901,227014,2378,1221,132599,568886,19,81,77470,1625456,3732,28180,651401,1461,0,80,1,3,1217,1
Dialister_invisus_61905,700015702,700172279,4355,1216472,187514,796403,1900,1019,45228,186883,1882,957,142286,609520,18,62,82734,1741818,4008,23064,536382,1203,2,60,0,2,953,2
Dialister_invisus_61905,700015702,ERR911957,4749,1212337,186845,793689,2139,1043,50855,207830,2112,973,135990,585859,27,70,80422,1673300,3855,25074,597069,1347,0,70,0,4,967,2
Dialister_invisus_61905,700015702,ERR912152,5262,1208882,186312,791329,2379,1117,51578,211667,2361,1060,134734,579662,18,57,79614,1655580,3792,25582,608039,1380,1,56,0,4,1054,2
Dialister_invisus_61905,700016765,700024318,2951,1218720,187576,797767,1273,691,29286,122354,1250,618,158290,675413,23,73,90914,1930780,4545,15106,351209,747,0,72,1,3,614,1
Dialister_invisus_61905,700016765,700035785,3583,1211290,186349,792901,1576,763,33345,136453,1561,692,153004,656448,15,71,88951,1875992,4401,16507,392018,834,0,71,0,2,690,0
Dialister_invisus_61905,700016765,700037868,2579,1217599,187339,797052,1094,611,21940,92025,1078,534,165399,705027,16,77,94359,2015985,4737,11592,263934,549,2,75,0,0,534,0
Dialister_invisus_61905,700016765,700163419,2429,1215828,187122,795909,1011,551,19583,80331,992,498,167539,715578,19,53,96176,2045830,4728,9600,230898,495,1,52,0,1,497,0
Dialister_invisus_61905,700016765,700164735,4045,1215345,187110,795569,1740,948,32800,136138,1720,888,154310,659431,20,60,88957,1884950,4386,16754,390814,846,1,58,1,2,886,0
Dialister_invisus_61905,700016765,700172279,3247,1215073,186962,795390,1392,758,28529,118101,1376,684,158433,677289,16,74,91545,1935804,4518,14232,339351,720,2,72,0,1,682,1
Dialister_invisus_61905,700016765,ERR911953,3496,1212539,186578,793693,1539,752,30030,125083,1526,703,156548,668610,13,49,90353,1911040,4437,15159,359289,801,2,47,0,3,700,0
Dialister_invisus_61905,700016765,ERR911957,2249,1213425,186713,794293,1008,465,24107,97430,984,399,162606,696863,24,66,94481,1991467,4641,11194,280493,603,1,65,0,1,397,1
Dialister_invisus_61905,700016765,ERR911976,3217,1216446,187217,796293,1420,718,29976,123214,1399,651,157241,673079,21,67,90957,1923780,4500,14899,353963,780,1,65,1,4,647,0
Dialister_invisus_61905,700016765,ERR911987,3758,1214427,186892,794960,1595,902,35190,147600,1576,836,151702,647360,19,66,86600,1851193,4287,19114,422747,939,0,65,1,1,834,1
Dialister_invisus_61905,700016765,ERR912028,2977,1215205,186968,795446,1320,685,28067,115468,1289,599,158901,679978,31,86,91775,1943653,4506,14094,331548,762,2,84,0,1,598,0
Dialister_invisus_61905,700016765,ERR912029,3761,1211146,186376,792808,1630,867,35120,146402,1605,800,151256,646406,25,67,87391,1847570,4257,18077,420205,924,2,65,0,5,791,4
Dialister_invisus_61905,700016765,ERR912085,3189,1214540,186930,795027,1323,778,30430,126500,1299,706,156500,668527,24,72,90317,1910944,4320,15399,363165,936,0,72,0,3,703,0
Dialister_invisus_61905,700016765,ERR912115,4000,1217152,187359,796742,1751,931,36881,152529,1710,853,150478,644213,41,78,87059,1841359,4221,18804,437769,1014,0,78,0,3,850,0
Dialister_invisus_61905,700016765,ERR912121,3165,1211720,186418,793162,1375,718,26301,108552,1353,631,160117,684610,22,87,92233,1957082,4515,13327,311624,705,3,84,0,3,627,1
Dialister_invisus_61905,700016765,ERR912133,3293,1216930,187315,796596,1423,771,32158,135024,1401,714,155157,661572,22,57,88924,1891409,4383,16953,387240,879,1,56,0,3,709,2
Dialister_invisus_61905,700016765,ERR912152,2326,1210601,186277,792358,1033,484,21190,87494,1015,424,165087,704864,18,60,95126,2014858,4608,10275,251604,603,2,58,0,3,420,1
Dialister_invisus_61905,700021295,700163030,2651,1215401,186954,795672,1191,617,24709,103217,1155,532,162245,692455,36,85,92905,1979993,4467,12960,295893,798,2,83,0,1,530,1
Dialister_invisus_61905,700021295,700164417,1897,1222613,188451,800488,855,445,13981,57572,820,373,174470,742916,35,72,99340,2124503,4905,6860,165478,378,1,71,0,1,371,1
Dialister_invisus_61905,700021361,ERR912034,4648,1222967,188418,800627,2093,1032,38957,160190,2060,922,149461,640437,33,110,87179,1829881,4251,19063,460544,963,0,110,0,3,916,3
Dialister_invisus_61905,700023578,700023788,2678,1215995,187010,795947,1197,634,27471,113369,1175,564,159539,682578,22,70,92095,1951082,4557,13855,325544,708,0,70,0,1,562,1
Dialister_invisus_61905,700023578,700099512,2719,1221372,187698,799493,1182,670,29873,124764,1163,598,157825,674729,19,72,90804,1928934,4449,15639,357816,837,0,72,0,3,595,0
Dialister_invisus_61905,700023788,700099512,2998,1216591,187006,796408,1281,724,28840,119114,1263,657,158166,677294,18,67,91284,1936125,4473,14660,341899,783,0,67,0,4,652,1
Dialister_invisus_61905,700024318,700035785,5030,1213289,186789,794216,2173,1155,49742,206591,2159,1071,137047,587625,14,84,80080,1678817,3978,25505,592972,1296,0,83,1,3,1067,1
Dialister_invisus_61905,700024318,700037868,4497,1220051,187838,798655,1956,1060,42199,176481,1935,964,145639,622174,21,96,83995,1778273,4254,22126,506228,1089,2,93,1,3,960,1
Dialister_invisus_61905,700024318,700163419,4027,1219399,187810,798278,1717,939,37569,155777,1697,872,150241,642501,20,67,86997,1836186,4320,19015,447362,954,1,65,1,2,869,1
Dialister_invisus_61905,700024318,700164735,4905,1219851,187957,798571,2105,1189,45707,189597,2083,1106,142250,608974,22,83,82539,1740246,4137,23498,544153,1140,1,82,0,3,1102,1
Dialister_invisus_61905,700024318,700172279,4522,1218541,187626,797681,1906,1127,41730,174303,1890,1051,145896,623378,16,76,84483,1781439,4212,21518,500305,1086,2,74,0,2,1048,1
Dialister_invisus_61905,700024318,ERR911953,4712,1216241,187267,796125,2020,1104,45821,191939,2005,1033,141446,604186,15,71,81990,1726497,4071,23814,550776,1227,2,68,1,4,1028,1
Dialister_invisus_61905,700024318,ERR911957,3688,1216336,187287,796216,1643,851,36800,152097,1616,770,150487,644119,27,81,87536,1840447,4374,18360,437001,930,1,79,1,4,764,2
Dialister_invisus_61905,700024318,ERR911976,4567,1220488,187960,798959,1981,1085,44184,183953,1964,1004,143776,615006,17,81,83511,1757283,4224,22657,528089,1113,1,80,0,5,998,1
Dialister_invisus_61905,700024318,ERR911987,5363,1217638,187529,797085,2278,1303,52189,219189,2267,1213,135340,577896,11,90,77846,1651948,3894,28072,628100,1395,0,90,0,2,1209,2
