species_name,sample 1,sample 2,core_diff,core_len,core_len_4D,core_len_1D,core_diff_4D,core_diff_1D,recomb_len_4D,recomb_len_1D,recomb_diff_4D,recomb_diff_1D,clonal_len_4D,clonal_len_1D,clonal_diff_4D,clonal_diff_1D,clonal_n,clonal_m,clonal_nn,recomb_n,recomb_m,recomb_nn,clonal_mut_n,clonal_mut_m,clonal_mut_nn,recomb_mut_n,recomb_mut_m,recomb_mut_nn
Bacteroides_eggerthii_54457,700013597,700097482,2328,2397484,353445,1563324,881,578,56551,246170,836,459,296894,1317154,45,119,182281,3762005,7176,33215,704104,1191,3,116,0,1,457,1
Bacteroides_eggerthii_54457,700013597,ERR911967,3948,2393369,352771,1560670,1563,740,111730,487709,1520,640,241041,1072961,43,100,149772,3063372,5739,65500,1394921,2706,1,99,0,2,638,0
Bacteroides_eggerthii_54457,700013597,ERR912001,218,2401490,353905,1565899,67,79,1794,8377,40,17,352111,1557522,27,62,214877,4449247,8442,1189,23906,36,0,62,0,0,17,0
Bacteroides_eggerthii_54457,700013597,ERR912165,137,2380108,351117,1552032,32,77,70,270,8,0,351047,1551762,24,77,213786,4433079,8421,28,782,0,3,74,0,0,0,0
Bacteroides_eggerthii_54457,700013597,SRR413585,2020,2396590,353219,1562692,775,427,49789,216658,723,307,303430,1346034,52,120,186550,3844172,7380,29086,619835,1053,2,118,0,1,306,0
Bacteroides_eggerthii_54457,700013597,SRR413613,2321,2401985,354025,1566281,910,465,62227,272878,874,360,291798,1293403,36,105,179195,3693991,7023,36904,780335,1395,1,104,0,1,359,0
Bacteroides_eggerthii_54457,700013672,700096865,1224,2394697,353210,1561608,453,279,26483,117676,430,245,326727,1443932,23,34,198561,4125534,7701,16570,335909,549,0,34,0,1,244,0
Bacteroides_eggerthii_54457,700013672,ERR912005,1230,2395037,353123,1561806,451,286,26534,118012,435,245,326589,1443794,16,41,198544,4125050,7788,16653,336816,567,1,40,0,1,244,0
Bacteroides_eggerthii_54457,700015981,700023337,659,2327284,340417,1517175,202,237,9596,42490,127,48,330821,1474685,75,189,205289,4210594,8172,5668,121595,207,2,187,0,0,48,0
Bacteroides_eggerthii_54457,700015981,ERR911960,419,2343686,342860,1527929,141,118,9706,42976,126,46,333154,1484953,15,72,206663,4239964,8232,5734,122984,210,2,70,0,0,46,0
Bacteroides_eggerthii_54457,700015981,ERR912144,579,2314582,338772,1508896,188,197,9626,42677,123,45,329146,1466219,65,152,203791,4186715,8151,5690,122131,210,7,144,1,0,45,0
Bacteroides_eggerthii_54457,700023337,ERR911960,338,2389629,352101,1558147,83,184,70,292,6,1,352031,1557855,77,183,215024,4450081,8460,36,840,0,2,181,0,0,1,0
Bacteroides_eggerthii_54457,700023337,ERR912144,262,2362746,348322,1540577,61,142,70,279,6,0,348252,1540298,55,142,212310,4400181,8403,33,804,0,4,137,1,0,0,0
Bacteroides_eggerthii_54457,700024673,700097482,2377,2399673,353873,1564752,884,606,56703,246803,839,463,297170,1317949,45,143,182307,3764346,7194,33306,705912,1191,3,140,0,1,461,1
Bacteroides_eggerthii_54457,700024673,ERR911967,3997,2395020,353088,1561742,1566,771,106698,464707,1518,646,246390,1097035,48,125,153381,3131817,5907,62014,1329551,2556,2,123,0,1,645,0
Bacteroides_eggerthii_54457,700024673,ERR912001,277,2403017,354208,1566892,70,115,1804,8439,40,14,352404,1558453,30,101,214984,4451918,8457,1205,24076,36,0,101,0,0,14,0
Bacteroides_eggerthii_54457,700024673,ERR912165,187,2381479,351390,1552941,31,108,70,279,8,0,351320,1552662,23,108,213886,4435658,8442,30,807,0,3,105,0,0,0,0
Bacteroides_eggerthii_54457,700024673,SRR413585,2068,2397451,353403,1563246,774,458,50774,221223,732,322,302629,1342023,42,136,185961,3832734,7374,29730,632865,1074,2,134,0,1,321,0
Bacteroides_eggerthii_54457,700024673,SRR413613,2378,2403634,354324,1567370,911,498,62698,274842,876,368,291626,1292528,35,130,179063,3691498,7023,37151,785959,1416,1,129,0,1,367,0
Bacteroides_eggerthii_54457,700096865,ERR911967,4972,2395584,353344,1562121,1992,1021,146070,642927,1968,967,207274,919194,24,54,128265,2624292,5025,87119,1838359,3303,0,54,0,2,965,0
Bacteroides_eggerthii_54457,700097482,ERR912001,2436,2395442,353151,1561938,924,591,58081,253150,877,473,295070,1308788,47,118,181156,3738053,7155,34225,724001,1224,3,115,0,1,471,1
Bacteroides_eggerthii_54457,700097482,ERR912018,2561,2397110,353424,1563072,923,727,56886,247437,851,481,296538,1315635,72,246,182100,3757626,7179,33396,707709,1206,10,236,0,5,475,1
Bacteroides_eggerthii_54457,700097482,ERR912020,2325,2398979,353750,1564277,880,577,56886,247539,838,459,296864,1316738,42,118,182171,3760858,7185,33422,707995,1200,3,115,0,1,457,1
Bacteroides_eggerthii_54457,700097482,ERR912054,2342,2400577,353958,1565344,882,581,57665,250708,843,462,296293,1314636,39,119,181989,3754734,7185,33775,717137,1212,3,116,0,1,460,1
Bacteroides_eggerthii_54457,700097482,ERR912070,2308,2402232,354254,1566416,881,560,56728,246835,840,455,297526,1319581,41,105,182581,3768959,7203,33310,705998,1197,4,100,1,1,453,1
Bacteroides_eggerthii_54457,700097482,ERR912165,2316,2373974,350349,1548024,879,573,55814,242506,841,455,294535,1305518,38,118,180491,3728902,7161,32631,693714,1173,5,113,0,2,452,1
Bacteroides_eggerthii_54457,700097482,SRR413585,2446,2392164,352696,1559776,940,568,57219,250123,902,458,295477,1309653,38,110,181507,3740282,7170,33569,715621,1179,3,107,0,0,457,1
Bacteroides_eggerthii_54457,700097482,SRR413613,2744,2398330,353623,1563892,1073,603,68712,301687,1043,500,284911,1262205,30,103,174852,3604893,6870,40741,862838,1482,2,101,0,0,499,1
Bacteroides_eggerthii_54457,700161219,ERR912155,3074,2422983,357292,1579948,1227,614,91516,400392,1207,519,265776,1179556,20,95,163931,3368194,6543,54013,1145096,2067,1,94,0,1,518,0
Bacteroides_eggerthii_54457,700161219,ERR912193,3730,2396964,353704,1563142,1475,779,112692,491533,1445,672,241012,1071609,30,107,149276,3059638,5913,66050,1405927,2622,0,107,0,1,671,0
Bacteroides_eggerthii_54457,ERR911965,ERR912057,105,2415946,356193,1575374,22,59,80,387,6,0,356113,1574987,16,59,217208,4499203,8550,69,1086,6,2,57,0,0,0,0
Bacteroides_eggerthii_54457,ERR911967,ERR912001,4056,2392260,352623,1559884,1607,756,103170,449043,1554,646,249453,1110841,53,110,155468,3171055,6000,59776,1284890,2463,2,108,0,1,645,0
Bacteroides_eggerthii_54457,ERR911967,ERR912005,4982,2396455,353330,1562669,1999,1025,144793,637274,1977,978,208537,925395,22,47,129349,2641724,5112,86147,1822357,3318,1,46,0,2,976,0
Bacteroides_eggerthii_54457,ERR911967,ERR912020,3957,2394856,353042,1561613,1566,743,102824,447168,1513,631,250218,1114445,53,112,155891,3181447,5997,59525,1279510,2469,2,110,0,1,630,0
Bacteroides_eggerthii_54457,ERR911967,ERR912054,3965,2396421,353289,1562654,1568,742,102301,444554,1515,631,250988,1118100,53,111,156492,3191787,6021,59036,1272178,2448,2,109,0,1,630,0
Bacteroides_eggerthii_54457,ERR911967,ERR912070,3938,2396697,353346,1562827,1567,725,113104,493870,1527,637,240242,1068957,40,88,149332,3051806,5733,66246,1412628,2736,2,85,1,2,635,0
Bacteroides_eggerthii_54457,ERR911967,ERR912165,3977,2371067,349851,1546157,1569,750,102811,446959,1523,636,247040,1099198,46,114,153591,3138057,5946,59410,1279001,2466,4,110,0,2,634,0
Bacteroides_eggerthii_54457,ERR911981,ERR912137,208,2338710,345327,1524974,67,74,2696,11874,47,26,342631,1513100,20,48,207893,4323145,8262,1677,33879,66,2,46,0,0,26,0
Bacteroides_eggerthii_54457,ERR912001,ERR912018,455,2402296,354063,1566418,104,236,1794,8365,40,14,352269,1558053,64,222,215002,4450694,8463,1195,23867,33,11,211,0,0,14,0
Bacteroides_eggerthii_54457,ERR912001,ERR912020,221,2402366,354094,1566445,65,85,1794,8400,40,14,352300,1558045,25,71,214971,4450701,8463,1203,23964,33,0,71,0,0,14,0
Bacteroides_eggerthii_54457,ERR912001,ERR912054,234,2404337,354386,1567754,70,83,1794,8318,40,14,352592,1559436,30,69,215150,4454671,8487,1178,23743,33,0,69,0,0,14,0
Bacteroides_eggerthii_54457,ERR912001,ERR912070,195,2404757,354479,1568024,65,63,1794,8377,40,14,352685,1559647,25,49,215194,4455293,8454,1197,23898,36,1,47,1,0,14,0
Bacteroides_eggerthii_54457,ERR912001,ERR912165,219,2379588,351051,1551684,60,87,1794,8364,36,14,349257,1543320,24,73,212645,4408906,8409,1194,23865,33,3,70,0,0,14,0
Bacteroides_eggerthii_54457,ERR912018,ERR912165,374,2381121,351303,1552715,71,232,70,291,8,0,351233,1552424,63,232,213915,4434918,8439,31,839,3,14,218,0,0,0,0
Bacteroides_eggerthii_54457,ERR912020,ERR912165,141,2380950,351293,1552576,30,82,70,279,8,0,351223,1552297,22,82,213885,4434564,8442,30,807,0,3,79,0,0,0,0
Bacteroides_eggerthii_54457,ERR912025,ERR912148,2599,2406270,354931,1569044,1013,577,75536,328054,983,471,279395,1240990,30,106,172250,3543808,6912,43922,938548,1692,2,104,0,2,469,0
Bacteroides_eggerthii_54457,ERR912025,ERR912155,1828,2409236,355485,1570949,738,407,46162,200069,683,311,309323,1370880,55,96,189915,3915111,7614,26555,572644,1008,3,93,0,1,310,0
Bacteroides_eggerthii_54457,ERR912054,ERR912165,146,2383121,351614,1554020,31,78,70,277,8,0,351544,1553743,23,78,214054,4438721,8454,30,801,0,3,75,0,0,0,0
Bacteroides_eggerthii_54457,ERR912070,ERR912165,116,2383232,351645,1554085,30,61,70,291,8,0,351575,1553794,22,61,214090,4438844,8448,31,839,3,4,56,1,0,0,0
Bacteroides_eggerthii_54457,ERR912077,ERR912148,2634,2420882,356833,1578607,1011,613,77138,334883,987,479,279695,1243724,24,134,172778,3551506,6888,44989,957905,1755,6,128,0,1,478,0
Bacteroides_eggerthii_54457,ERR912077,ERR912155,1864,2423867,357389,1580523,736,442,46910,203224,693,308,310479,1377299,43,134,191042,3933223,7632,27025,581618,1029,7,127,0,0,308,0
Bacteroides_eggerthii_54457,ERR912148,ERR912155,2019,2421433,356920,1578951,758,477,54108,235349,733,370,302812,1343602,25,107,186094,3837269,7443,31743,673092,1212,3,104,0,1,369,0
Bacteroides_eggerthii_54457,ERR912148,ERR912185,2626,2403428,354351,1567139,1015,594,80030,349984,979,478,274321,1217155,36,116,168849,3475851,6765,47225,1000888,1839,2,114,0,1,477,0
